規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,調査産業計,436309,412148,381406,30742,24161,109526,108639,104422,4217,887
５人以上,"鉱業,採石業,砂利採取業",598697,596548,563023,33525,2149,151636,151636,151636,－,－
５人以上,建設業,497410,454273,405902,48371,43137,149955,148913,146520,2393,1042
５人以上,製造業,445116,416358,388267,28091,28758,136447,135519,128808,6711,928
５人以上,電気・ガス・熱供給・水道業,538600,518734,452364,66370,19866,162765,149939,148852,1087,12826
５人以上,情報通信業,466720,425988,392479,33509,40732,112500,111489,109146,2343,1011
５人以上,"運輸業,郵便業",416629,406618,353357,53261,10011,145695,142472,126683,15789,3223
５人以上,"卸売業,小売業",445851,422564,400986,21578,23287,109491,108522,104942,3580,969
５人以上,"金融業,保険業",520214,509687,473999,35688,10527,146181,143569,139135,4434,2612
５人以上,"不動産業,物品賃貸業",433606,396888,366461,30427,36718,100634,100086,97790,2296,548
５人以上,"学術研究,専門・技術サービス業",492190,474581,443296,31285,17609,153563,148559,143848,4711,5004
５人以上,"宿泊業,飲食サービス業",315852,308860,276421,32439,6992,83244,82849,79319,3530,395
５人以上,"生活関連サービス業,娯楽業",355731,330235,307474,22761,25496,95488,94924,91844,3080,564
５人以上,"教育,学習支援業",479509,436910,419077,17833,42599,90949,90127,88406,1721,822
５人以上,"医療,福祉",378433,369106,342594,26512,9327,126689,125923,122721,3202,766
５人以上,複合サービス事業,456494,412363,373977,38386,44131,145304,143658,134489,9169,1646
５人以上,サービス業（他に分類されないもの）,342366,326848,299436,27412,15518,137404,136402,129264,7138,1002
30人以上,調査産業計,454758,427829,393170,34659,26929,123169,122007,116522,5485,1162
30人以上,"鉱業,採石業,砂利採取業",598697,596548,563023,33525,2149,151636,151636,151636,－,－
30人以上,建設業,548409,485744,424847,60897,62665,123655,123644,121555,2089,11
30人以上,製造業,473404,437370,405649,31721,36034,161302,160232,146843,13389,1070
30人以上,電気・ガス・熱供給・水道業,550167,528451,456711,71740,21716,166371,152459,151280,1179,13912
30人以上,情報通信業,477494,434018,398402,35616,43476,119935,118007,115004,3003,1928
30人以上,"運輸業,郵便業",419834,408434,349655,58779,11400,147226,143668,127924,15744,3558
30人以上,"卸売業,小売業",464690,440951,416534,24417,23739,117442,116044,112224,3820,1398
30人以上,"金融業,保険業",550109,540657,502537,38120,9452,155508,152234,146507,5727,3274
30人以上,"不動産業,物品賃貸業",453077,416816,383937,32879,36261,102319,101319,99256,2063,1000
30人以上,"学術研究,専門・技術サービス業",510170,488275,451999,36276,21895,165153,157923,153994,3929,7230
30人以上,"宿泊業,飲食サービス業",341834,330631,300451,30180,11203,88176,87089,82889,4200,1087
30人以上,"生活関連サービス業,娯楽業",398278,366973,338734,28239,31305,94637,94202,90330,3872,435
30人以上,"教育,学習支援業",506892,460815,442070,18745,46077,102193,101334,99860,1474,859
30人以上,"医療,福祉",399405,390400,358574,31826,9005,145740,145282,140241,5041,458
30人以上,複合サービス事業,479224,426670,378655,48015,52554,134334,132474,117572,14902,1860
30人以上,サービス業（他に分類されないもの）,333532,319463,289454,30009,14069,139974,139203,131483,7720,771
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,,,,,,,,
第５表  規模、産業、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
