産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,2.21,1.97,1.76,1.76
"鉱業,採石業,砂利採取業",ｘ,ｘ,ｘ,ｘ
建設業,1.43,1.34,1.49,1.29
製造業,0.83,1.27,0.91,1.43
電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ
情報通信業,1.32,1.23,1.1,1.06
"運輸業,郵便業",2.1,2.08,2.34,2.32
"卸売業,小売業",1.83,1.86,1.19,1.59
"金融業,保険業",1.05,1.09,0.87,1.14
"不動産業,物品賃貸業",1.51,1.72,1.11,1.22
"学術研究,専門・技術サービス業",0.94,1.25,0.93,1.24
"宿泊業,飲食サービス業",6.99,4.4,4.37,3.67
"生活関連サービス業,娯楽業",3.37,2.53,3.07,2.01
"教育,学習支援業",2.73,2.13,2.93,2.21
"医療,福祉",2.13,1.67,2.17,1.34
複合サービス事業,0.59,0.8,0.4,0.7
サービス業（他に分類されないもの）,2.37,2.53,2.53,2.76
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和元年６月分,,,,
第４表  規模、産業別労働異動率,,,,
