事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,TL 調査産業計,平成26,2014,年平均,508626,400365,369921,30444,108261,105028,102438,98284,4154,2590
５人以上,TL 調査産業計,平成27,2015,年平均,503844,398030,369518,28512,105814,106863,104242,100358,3884,2621
５人以上,TL 調査産業計,平成28,2016,年平均,507506,398842,370696,28146,108664,107305,104595,100884,3711,2710
５人以上,TL 調査産業計,平成29,2017,年平均,512403,401177,373347,27830,111226,108174,105686,102103,3583,2488
５人以上,TL 調査産業計,平成30,2018,年平均,521638,405574,378100,27474,116064,111177,108686,104435,4251,2491
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,521996,406791,377571,29220,115205,109857,107432,103332,4100,2425
５人以上,TL 調査産業計,平成31,2019,1月,429140,400612,373432,27180,28528,105388,104282,100016,4266,1106
５人以上,TL 調査産業計,平成31,2019,2月,415480,404523,376129,28394,10957,105737,105066,101011,4055,671
５人以上,TL 調査産業計,平成31,2019,3月,466522,408483,378766,29717,58039,110520,107734,103481,4253,2786
５人以上,TL 調査産業計,平成31,2019,4月,436309,412148,381406,30742,24161,109526,108639,104422,4217,887
５人以上,TL 調査産業計,令和元,2019,5月,442333,402904,373385,29519,39429,107900,107049,102632,4417,851
５人以上,TL 調査産業計,令和元,2019,6月,804305,405635,376503,29132,398670,114071,108385,104481,3904,5686
５人以上,TL 調査産業計,令和元,2019,7月,581149,406804,377580,29224,174345,112773,108347,104403,3944,4426
５人以上,TL 調査産業計,令和元,2019,8月,422739,407375,378155,29220,15364,109692,108754,104826,3928,938
５人以上,TL 調査産業計,令和元,2019,9月,426193,407606,379499,28107,18587,108280,107150,103164,3986,1130
５人以上,TL 調査産業計,令和元,2019,10月,428588,410968,381527,29441,17620,107482,106669,102593,4076,813
５人以上,TL 調査産業計,令和元,2019,11月,461654,407855,377440,30415,53799,109072,108060,104008,4052,1012
５人以上,TL 調査産業計,令和元,2019,12月,939831,406466,376962,29504,533365,117830,109074,104958,4116,8756
５人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,743424,518729,487917,30812,224695,197396,187894,175902,11992,9502
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,728116,546464,518505,27959,181652,117294,117294,117294,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,808423,581695,549289,32406,226728,153129,141479,141458,21,11650
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,1月,576068,575958,546956,29002,110,129214,129214,129214,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,2月,605240,605133,571935,33198,107,118000,118000,118000,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成31,2019,3月,611496,577842,543763,34079,33654,142833,142833,142583,250,－
