事業所規模,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
100～499人,平成29,2017,年平均,526764,409388,377749,31639,117376,124026,119935,114893,5042,4091
100～499人,平成30,2018,年平均,527074,408702,380640,28062,118372,128763,125234,119753,5481,3529
100～499人,平成31・令和元,2019,年平均,535113,414462,385443,29019,120651,135763,131998,126600,5398,3765
100～499人,平成31,2019,1月,428698,406565,377921,28644,22133,130579,127964,122274,5690,2615
100～499人,平成31,2019,2月,426199,410257,380782,29475,15942,129318,128854,123481,5373,464
100～499人,平成31,2019,3月,505301,420349,390268,30081,84952,132167,130310,125145,5165,1857
100～499人,平成31,2019,4月,443243,420905,390436,30469,22338,135405,133513,127851,5662,1892
100～499人,令和元,2019,5月,477992,406334,377238,29096,71658,130164,129093,124294,4799,1071
100～499人,令和元,2019,6月,845330,412619,384228,28391,432711,142469,134505,129207,5298,7964
100～499人,令和元,2019,7月,555490,414090,386162,27928,141400,143951,134231,128541,5690,9720
100～499人,令和元,2019,8月,426569,415441,387110,28331,11128,132725,131970,126716,5254,755
100～499人,令和元,2019,9月,435064,418398,390747,27651,16666,130550,129515,124375,5140,1035
100～499人,令和元,2019,10月,436110,421478,392190,29288,14632,134569,133309,127495,5814,1260
100～499人,令和元,2019,11月,483958,415104,385468,29636,68854,137573,136546,131194,5352,1027
100～499人,令和元,2019,12月,948434,412034,382757,29277,536400,150083,134372,128818,5554,15711
500人以上,平成26,2014,年平均,676183,497927,455044,42883,178256,125201,120635,113137,7498,4566
500人以上,平成27,2015,年平均,617118,458427,418657,39770,158691,137059,133192,125668,7524,3867
500人以上,平成28,2016,年平均,622429,460330,421093,39237,162099,133921,130001,123229,6772,3920
500人以上,平成29,2017,年平均,620864,456202,419895,36307,164662,133293,129483,123383,6100,3810
500人以上,平成30,2018,年平均,643622,464737,427814,36923,178885,161171,156929,147461,9468,4242
500人以上,平成31・令和元,2019,年平均,626761,462551,423397,39154,164210,150537,146895,138595,8300,3642
500人以上,平成31,2019,1月,479688,453842,418028,35814,25846,144615,143770,134615,9155,845
500人以上,平成31,2019,2月,469399,460328,422103,38225,9071,143176,141816,133245,8571,1360
500人以上,平成31,2019,3月,533883,464501,423523,40978,69382,151139,149181,140305,8876,1958
500人以上,平成31,2019,4月,496613,469662,426812,42850,26951,155513,154540,145214,9326,973
500人以上,令和元,2019,5月,505016,463445,421463,41982,41571,157118,155977,144118,11859,1141
500人以上,令和元,2019,6月,1097418,459990,421331,38659,637428,158186,146051,138521,7530,12135
500人以上,令和元,2019,7月,694503,462299,424134,38165,232204,150652,147453,140226,7227,3199
500人以上,令和元,2019,8月,473979,461145,421998,39147,12834,151072,147852,140440,7412,3220
500人以上,令和元,2019,9月,488369,460793,424651,36142,27576,148272,146293,138837,7456,1979
500人以上,令和元,2019,10月,492447,465653,428213,37440,26794,148594,146900,139310,7590,1694
500人以上,令和元,2019,11月,530718,465411,424091,41320,65307,143336,140757,133385,7372,2579
500人以上,令和元,2019,12月,1242222,463378,424240,39138,778844,155281,143324,135738,7586,11957
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成31年・令和元年年報,,,,,,,,,,,,,
第４表　規模、就業形態別常用労働者の１人平均月間現金給与額（調査産業計）,,,,,,,,,,,,,
