事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成26,2014,年平均,99.1,100.5,100.8,94.2,98.6,102.1,98.7,98.4,99.9,97.4,95.7,105.2,100.3,99.5,99.1,96
５人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,100.1,100.6,100.5,105.8,101.1,100.9,100.3,99.1,100.3,102.4,95,92.5,104.7,98.5,101.6,98.2
５人以上,平成29,2017,年平均,100.7,99.8,102,103,102.1,101.2,103,101.3,99.9,100.7,95.7,91.4,102.9,101.2,99.1,96.3
５人以上,平成30,2018,年平均,100.7,97.8,100.8,111.1,104,99.2,109.4,102.4,101.7,103.1,94.9,93.5,99.3,98.9,108.8,96.2
５人以上,平成31・令和元,2019,年平均,100.8,106,101.1,113.3,105.1,100.1,106.9,102.4,96.5,108.2,87.8,96.9,95.8,97.3,101.5,99
５人以上,平成31,2019,1月,99,105.2,98.5,123.3,103.7,103.3,103,101.5,96.8,106.2,88.5,99.2,93.1,95.2,101,96.3
５人以上,平成31,2019,2月,99.8,104.3,98.7,126.3,103.9,104.5,104.4,101.4,97.3,110.5,84.1,96.9,95.6,96.1,100.4,97.4
５人以上,平成31,2019,3月,100.8,107.3,99.9,126.1,105.6,98.3,105.8,103.7,97.9,109.5,87,97.1,98.8,95.9,103.1,99.1
５人以上,平成31,2019,4月,101.9,110.7,100.5,112.5,105.5,100.7,108,102.8,98.7,109.5,87.3,101,100.4,98.5,102.6,97.9
５人以上,令和元,2019,5月,100.1,107.5,98.5,117.7,104.7,97.8,106.2,101.3,96.7,108.2,88,98,94.4,95.5,101.4,97.3
５人以上,令和元,2019,6月,100.7,104.8,101.7,ｘ,103.4,99.3,107.9,101.8,98,108.1,87.6,96.5,93.9,97.1,99.6,99.1
５人以上,令和元,2019,7月,101.2,105.7,102.9,ｘ,105.1,99.5,106.9,102.9,94.4,109,87.9,98.6,96.9,97.8,101,101
５人以上,令和元,2019,8月,101.2,106.8,102,108.8,105.4,98.3,107.8,103.3,94.6,106.9,89.1,95.9,96.8,99.1,101,100.4
５人以上,令和元,2019,9月,101.4,104.7,102.3,108.3,106.1,97.2,108.2,105,96.2,106.1,87.6,96.2,98.6,98,103.9,100.6
５人以上,令和元,2019,10月,101.7,105.3,102.9,111.9,106.6,103.6,108.4,104.2,96.9,108.8,88.5,96.6,92,98.7,101.2,99.9
５人以上,令和元,2019,11月,100.8,104.6,102.3,107.7,105.7,99.6,108.1,101.1,96,107.2,88.2,91.3,93.6,97.6,101.3,100.1
５人以上,令和元,2019,12月,100.9,105.3,102.9,103.7,105.1,99.6,108.1,99.8,94,107.8,89.6,95.2,95.8,98.4,101.4,99.1
