規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.6,164.7,149.5,15.2,12.9,79.5,76.4,3.1
５人以上,"鉱業,採石業,砂利採取業",18.8,157.2,138.5,18.7,18.7,138.7,138.7,－
５人以上,建設業,21.3,184.3,159.1,25.2,14.1,93,91.2,1.8
５人以上,製造業,19.5,165.1,150.5,14.6,16.5,112.5,107.6,4.9
５人以上,電気・ガス・熱供給・水道業,17.6,150.9,133.8,17.1,15.1,99.2,98.4,0.8
５人以上,情報通信業,19.5,166.7,149.8,16.9,11.4,74,72.5,1.5
５人以上,"運輸業,郵便業",19.7,172.4,149.1,23.3,14.6,105.4,96,9.4
５人以上,"卸売業,小売業",19.6,161.7,150.4,11.3,14.4,89.9,86.1,3.8
５人以上,"金融業,保険業",18.7,154,136.4,17.6,16,100.4,98,2.4
５人以上,"不動産業,物品賃貸業",19.9,169.1,151.9,17.2,14,80.1,78.8,1.3
５人以上,"学術研究,専門・技術サービス業",19.3,160.7,145.3,15.4,12.8,86.9,83.2,3.7
５人以上,"宿泊業,飲食サービス業",20.8,186.1,165.5,20.6,11.8,71.2,68.1,3.1
５人以上,"生活関連サービス業,娯楽業",20.6,169.9,156.7,13.2,12.9,74.6,72.7,1.9
５人以上,"教育,学習支援業",19.7,160.4,147.9,12.5,8.6,48.1,46.8,1.3
５人以上,"医療,福祉",20.1,162.5,154.3,8.2,11.7,65.3,64,1.3
５人以上,複合サービス事業,19.5,166.7,151.1,15.6,17.4,107.6,101.7,5.9
５人以上,サービス業（他に分類されないもの）,19.1,158.3,145.1,13.2,14.5,98.3,94.2,4.1
30人以上,調査産業計,19.4,163.5,147.1,16.4,13.5,85.3,81.5,3.8
30人以上,"鉱業,採石業,砂利採取業",18.8,157.2,138.5,18.7,18.7,138.7,138.7,－
30人以上,建設業,21.2,187.9,156,31.9,12.6,76.6,75.2,1.4
30人以上,製造業,19.2,163.3,147.3,16,17.4,130.1,120.3,9.8
30人以上,電気・ガス・熱供給・水道業,17.5,149.9,131.9,18,15.3,99.2,98.3,0.9
30人以上,情報通信業,19.4,167,149.4,17.6,12.4,81.8,79.5,2.3
30人以上,"運輸業,郵便業",19.3,170.1,145.3,24.8,14.2,104.8,95.5,9.3
30人以上,"卸売業,小売業",19.1,158.2,146.2,12,15.9,100,95.1,4.9
30人以上,"金融業,保険業",18.5,153.4,134.7,18.7,15.6,99.2,96.3,2.9
30人以上,"不動産業,物品賃貸業",19.4,165.6,147.4,18.2,15.2,80.5,79.3,1.2
30人以上,"学術研究,専門・技術サービス業",19.2,160.9,143.3,17.6,12,84.5,80.8,3.7
30人以上,"宿泊業,飲食サービス業",20.2,179.5,162.3,17.2,12.3,72.3,68.9,3.4
30人以上,"生活関連サービス業,娯楽業",19.8,167.7,151.8,15.9,13,70.4,68.2,2.2
30人以上,"教育,学習支援業",19.9,162.1,149.3,12.8,8,49.1,47.9,1.2
30人以上,"医療,福祉",20.2,163,154.5,8.5,11.8,69.8,68.1,1.7
30人以上,複合サービス事業,19.7,170.8,153.4,17.4,17.8,98,89.1,8.9
30人以上,サービス業（他に分類されないもの）,19.1,159.2,144.8,14.4,14.8,100.5,96.1,4.4
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３１年４月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
