"課税標準額段階","納税義務者数[人]","納税義務者数 構成比[%]","総所得金額等[千円]","所得割額[千円]","所得割額 構成比[%]"
"10万円以下の金額","3078","2.1","2117030","737472","0.8"
"10万円を超える金額","21152","14.2","30812657","978460","1.1"
"100万円を超える金額","25752","17.3","65143962","2516564","2.9"
"200万円を超える金額","20268","13.6","75937196","3061658","3.5"
"300万円を超える金額","14377","9.7","71071401","2931167","3.4"
"400万円を超える金額","14580","9.8","93315549","3907591","4.5"
"550万円を超える金額","9500","6.4","76527019","3656716","4.2"
"700万円を超える金額","12201","8.2","126400308","5998285","6.9"
"1000万円を超える金額","27680","18.6","1049039967","63241292","72.7"
"合計","148588","100.0","1590365089","87029205","100.0"

"令和5年度港区行政資料集　令和５年度特別区民税課税標準額段階別納税義務者数等","Ver202307",,,,
