"年度[西暦]","会社名","路線名","駅名","定期[千人]","普通[千人]","合計[千人]"
"2019","ＪＲ線",,"新橋","64931","36939","101870"
"2019","ＪＲ線",,"浜松町","38586","21307","59894"
"2019","ＪＲ線",,"田町","41773","16362","58135"
"2019","ＪＲ線",,"品川","80620","57486","138105"
"2019","ＪＲ線",,"（参考）東京","90927","78380","169308"
"2019","ＪＲ線",,"渋谷","70545","63457","134003"
"2019","ＪＲ線",,"新宿","153577","130215","283791"
"2019","東京地下鉄（株）","銀座線","表参道","3737","7592","11329"
"2019","東京地下鉄（株）","銀座線","外苑前","6984","7597","14581"
"2019","東京地下鉄（株）","銀座線","青山一丁目","4755","5384","10139"
"2019","東京地下鉄（株）","銀座線","赤坂見附","5495","5175","10670"
"2019","東京地下鉄（株）","銀座線","溜池山王","7201","5943","13144"
"2019","東京地下鉄（株）","銀座線","虎ノ門","12286","7963","20249"
"2019","東京地下鉄（株）","銀座線","新橋","23918","21623","45541"
"2019","東京地下鉄（株）","丸ノ内線","赤坂見附","6163","5812","11975"
"2019","東京地下鉄（株）","日比谷線","神谷町","12032","7515","19547"
"2019","東京地下鉄（株）","日比谷線","六本木","10103","14023","24126"
"2019","東京地下鉄（株）","日比谷線","広尾","5833","5680","11513"
"2019","東京地下鉄（株）","千代田線","赤坂","9623","7969","17592"
"2019","東京地下鉄（株）","千代田線","乃木坂","3285","4293","7578"
"2019","東京地下鉄（株）","千代田線","表参道","4815","6138","10953"
"2019","東京地下鉄（株）","半蔵門線","表参道","3947","6376","10323"
"2019","東京地下鉄（株）","半蔵門線","青山一丁目","6153","4970","11123"
"2019","東京地下鉄（株）","南北線","白金台","1735","1574","3309"
"2019","東京地下鉄（株）","南北線","白金高輪","4230","3743","7973"
"2019","東京地下鉄（株）","南北線","麻布十番","4091","4945","9036"
"2019","東京地下鉄（株）","南北線","六本木一丁目","10248","5841","16089"
"2019","東京地下鉄（株）","南北線","溜池山王","5368","3145","8513"
"2019","都営地下鉄","浅草線","高輪台","1558","1102","2660"
"2019","都営地下鉄","浅草線","泉岳寺","22679","18079","40757"
"2019","都営地下鉄","浅草線","三田","12320","8546","20867"
"2019","都営地下鉄","浅草線","大門","11467","9365","20832"
"2019","都営地下鉄","浅草線","新橋","10264","8132","18396"
"2019","都営地下鉄","三田線","白金台","1019","804","1823"
"2019","都営地下鉄","三田線","白金高輪","2804","2286","5090"
"2019","都営地下鉄","三田線","三田","12466","7880","20346"
"2019","都営地下鉄","三田線","芝公園","3802","2228","6030"
"2019","都営地下鉄","三田線","御成門","6155","3320","9475"
"2019","都営地下鉄","三田線","内幸町","4980","3097","8077"
"2019","都営地下鉄","大江戸線","汐留","5404","4401","9805"
"2019","都営地下鉄","大江戸線","大門","14031","11102","25133"
"2019","都営地下鉄","大江戸線","赤羽橋","4322","3558","7880"
"2019","都営地下鉄","大江戸線","麻布十番","3122","3702","6824"
"2019","都営地下鉄","大江戸線","六本木","8234","9677","17911"
"2019","都営地下鉄","大江戸線","青山一丁目","7594","6727","14321"
"2019","私鉄","京浜急行","泉岳寺","19710","17126","36836"
"2019","私鉄","京浜急行","品川","28784","22907","51691"
