地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,英国,インド,タイ,ブラジル,フランス,オーストラリア,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,364653,123611,106697,31077,18848,7696,6993,6096,5012,4759,4174,49690,353826,10827
1,13100,区部,302086,103455,90007,24013,15516,6831,6369,4919,2923,4485,3677,39891,293124,8962
4,13101,千代田区,2346,706,427,72,242,80,82,20,14,210,38,455,2074,272
4,13102,中央区,3597,1276,883,102,254,131,159,56,20,75,60,581,3024,573
4,13103,港区,19920,2397,2978,1028,4608,1562,866,188,293,828,916,4256,18182,1738
4,13104,新宿区,29765,9410,12678,778,759,465,197,597,165,998,236,3482,28272,1493
4,13105,文京区,6665,2339,2171,214,343,111,165,126,44,227,72,853,6457,208
4,13106,台東区,10329,3462,4476,796,162,67,424,149,28,60,36,669,9920,409
4,13107,墨田区,8003,3116,2241,1184,78,58,59,358,38,18,14,839,7939,64
4,13108,江東区,15437,6636,4492,1533,243,101,431,320,149,59,110,1363,14496,941
4,13109,品川区,10553,3409,2377,807,665,326,564,133,96,133,156,1887,9958,595
4,13110,目黒区,8162,1571,1587,669,962,383,234,142,73,195,238,2108,8036,126
4,13111,大田区,16181,5467,3952,2164,541,271,289,349,377,88,102,2581,15716,465
4,13112,世田谷区,14475,3212,3930,906,1483,557,387,191,160,319,336,2994,14587,-112
4,13113,渋谷区,11259,1625,1767,458,2258,1093,244,158,143,575,533,2405,10813,446
4,13114,中野区,10658,4048,3065,467,363,242,364,163,63,110,150,1623,10587,71
4,13115,杉並区,10675,3761,3021,546,681,295,137,146,95,105,164,1724,10988,-313
4,13116,豊島区,15306,8455,3215,465,340,225,106,214,76,159,101,1950,15610,-304
4,13117,北区,13834,7140,3300,946,158,123,133,127,176,41,54,1636,13576,258
4,13118,荒川区,13549,4209,7439,594,108,64,88,129,42,22,29,825,13055,494
4,13119,板橋区,15537,7716,3585,1483,265,189,85,190,173,69,77,1705,15372,165
4,13120,練馬区,12114,4245,3865,1017,457,174,283,251,139,91,78,1514,12114,0
4,13121,足立区,21405,6096,8928,3648,170,95,108,390,321,29,52,1568,21249,156
4,13122,葛飾区,12106,4678,4126,1503,141,80,51,194,95,26,38,1174,11542,564
4,13123,江戸川区,20210,8481,5504,2633,235,139,913,328,143,48,87,1699,19557,653
1,13200,市部,61559,20046,16529,6746,3269,858,619,1146,1979,273,494,9600,59751,1808
4,13201,八王子市,8069,2931,1889,998,245,82,47,97,300,31,51,1398,7783,286
4,13202,立川市,3253,1356,927,329,121,24,23,33,134,5,12,289,3304,-51
4,13203,武蔵野市,2392,899,554,96,245,80,40,34,28,31,34,351,2342,50
4,13204,三鷹市,2961,911,722,168,347,104,22,63,35,51,51,487,2878,83
4,13205,青梅市,1445,305,277,346,64,10,9,58,116,0,3,257,1319,126
4,13206,府中市,4211,1300,1033,535,300,61,94,77,113,19,36,643,4038,173
4,13207,昭島市,2136,707,757,211,55,9,11,15,65,4,2,300,2148,-12
4,13208,調布市,3665,1187,1207,303,170,47,58,70,38,29,35,521,3539,126
4,13209,町田市,4476,1641,1147,433,245,89,64,86,52,14,40,665,4206,270
4,13210,小金井市,2371,995,429,116,181,43,38,38,11,20,39,461,2323,48
4,13211,小平市,4103,1014,1913,216,99,28,16,49,278,10,27,453,3859,244
4,13212,日野市,2205,943,479,216,67,31,21,32,18,5,6,387,2212,-7
4,13213,東村山市,1737,482,584,264,71,20,7,37,10,2,10,250,1719,18
4,13214,国分寺市,1617,644,446,97,93,36,12,22,19,6,35,207,1531,86
4,13215,国立市,1397,509,416,71,64,23,21,33,12,3,11,234,1375,22
4,13218,福生市,2298,406,429,430,150,5,10,168,131,2,6,561,2352,-54
4,13219,狛江市,800,260,196,111,59,19,8,21,3,8,7,108,808,-8
4,13220,東大和市,904,182,306,269,34,10,4,15,23,0,8,53,865,39
4,13221,清瀬市,858,312,193,131,30,6,2,23,8,2,10,141,826,32
4,13222,東久留米市,1573,358,306,215,277,37,30,35,16,4,26,269,1462,111
4,13223,武蔵村山市,958,252,209,197,29,2,1,18,156,1,5,88,956,2
4,13224,多摩市,2003,799,552,265,62,28,19,21,19,9,19,210,1994,9
4,13225,稲城市,963,363,290,97,35,10,8,17,27,0,5,111,922,41
4,13227,羽村市,1812,256,169,281,76,2,27,21,299,0,0,681,1808,4
4,13228,あきる野市,605,110,167,88,39,2,1,17,31,0,0,150,563,42
4,13229,西東京市,2747,924,932,263,111,50,26,46,37,17,16,325,2619,128
1,13550,町村部,1008,110,161,318,63,7,5,31,110,1,3,199,951,57
2,13300,西多摩郡,770,94,75,235,51,4,5,24,106,1,0,175,722,48
4,13303,瑞穂町,676,81,55,213,32,3,5,23,102,1,0,161,635,41
4,13305,日の出町,62,10,12,12,8,1,0,1,4,0,0,14,56,6
4,13307,檜原村,13,0,3,4,6,0,0,0,0,0,0,0,15,-2
4,13308,奥多摩町,19,3,5,6,5,0,0,0,0,0,0,0,16,3
2,13350,島部,238,16,86,83,12,3,0,7,4,0,3,24,229,9
3,13360,大島支庁,52,10,10,7,2,0,0,3,4,0,0,16,47,5
3,13380,三宅支庁,36,0,19,14,2,0,0,0,0,0,0,1,38,-2
3,13400,八丈支庁,135,5,52,61,4,3,0,4,0,0,2,4,132,3
3,13420,小笠原支庁,15,1,5,1,4,0,0,0,0,0,1,3,12,3
,,,,,,,,,,,,,,,,
外国人登録人口　平成18年1月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人登録人口（平成18年1月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１８年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
