年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前月比(％)／平成19年2月,2007,2,-0.5,-0.5,-0.8,0,0,-0.3,-0.5,-2.3,0,-0.9,0.1,-0.1,0.1
前月比(％)／平成19年3月,2007,3,0.3,0.3,0.3,-0.1,0,-0.1,-0.5,4.3,0.3,-0.1,0,0.5,-0.1
前月比(％)／平成19年4月,2007,4,0.3,0.3,0.1,0,-0.1,-0.2,0.5,3.7,0.2,0.2,0.6,0.3,0.2
前年同月比(％)／平成18年4月,2006,4,-0.1,-0.1,-0.5,0,-0.2,3.9,-2.4,0.8,-1.2,-0.2,0.7,-1.7,0.3
前年同月比(％)／平成18年5月,2006,5,0.1,0.1,0,0.1,-0.1,4.1,-2.6,0.6,-1.4,0.2,0.6,-1.3,0.4
前年同月比(％)／平成18年6月,2006,6,0.5,0.6,1.3,0.1,0,4.1,-2.1,0.9,-1.2,0.5,0.6,-0.8,0.5
前年同月比(％)／平成18年7月,2006,7,0.3,0.5,0.6,0.1,0,4,-1.8,1.3,-1,0.2,0.6,-1.5,1.5
前年同月比(％)／平成18年8月,2006,8,0.9,1,2.4,0,0.1,4.2,-1.9,1.3,-1,0.7,0.7,-1.3,1.5
前年同月比(％)／平成18年9月,2006,9,0.6,0.8,1.6,-0.2,0,4,-2,0.5,-0.9,0.4,0.7,-1.2,1.5
前年同月比(％)／平成18年10月,2006,10,0.4,0.6,1.2,-0.2,0.1,2.9,-1.9,0.9,0.2,0,0.7,-1.3,1.3
前年同月比(％)／平成18年11月,2006,11,0.3,0.4,0.7,-0.2,0.1,2.3,-1.5,0.6,0.1,0.6,0.7,-1.4,1.4
前年同月比(％)／平成18年12月,2006,12,0.3,0.4,0.8,-0.3,0.1,1.9,-1.2,0.5,0.5,0.3,0.7,-1.4,1.2
前年同月比(％)／平成19年1月,2007,1,0,0,-0.2,-0.2,0,1,-1.3,0.6,-0.3,0.4,0.7,-1.3,1.1
前年同月比(％)／平成19年2月,2007,2,-0.2,-0.1,0.1,-0.3,0.1,0.1,-1.3,0.3,-0.3,-0.4,0.8,-1.1,1.1
前年同月比(％)／平成19年3月,2007,3,-0.1,0,0.8,-0.2,0.1,0,-1.7,0.4,0,-1.1,0.8,-1.3,1.2
前年同月比(％)／平成19年4月,2007,4,0,0,0.7,-0.2,0,0.1,-1.5,0.7,1,-0.6,0.8,-1.4,1.2
,,,,,,,,,,,,,,,
東京の物価／平成１９年５月,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,
