年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成16年10月,2004,10,101,101.2,102.2,100.1,100.4,100,102.6,103,99.8,101.2,99.7,101.3,99.9
平成16年11月,2004,11,100.9,101,102.6,100.1,100.4,100,102.1,103.4,99.8,100.1,99.7,100.1,99.8
平成16年12月,2004,12,100.5,100.6,100.9,100.1,100.3,100.1,101.5,103.6,99.6,100.4,99.7,100.3,100.1
平成17年1月,2005,1,100.1,100.1,101.4,100.2,100.3,99.5,101.5,95.3,100.2,99.9,99.6,99.1,100.2
平成17年2月,2005,2,99.8,99.8,101.1,100.1,100.2,99.5,101.2,93.4,100.2,99.4,99.9,98.9,100.1
平成17年3月,2005,3,100.2,100.2,101.1,100,100.1,99.5,100.6,98.4,100.2,100.3,99.9,99.2,100.1
平成17年4月,2005,4,100.2,100.3,100.5,99.8,99.9,100.1,100.8,101.7,100.2,100,100.1,100.4,100.2
平成17年5月,2005,5,100.4,100.5,100.6,99.9,100.1,100.1,100.6,102.4,100.2,100.2,100.1,100.6,99.9
平成17年6月,2005,6,100,100,99.5,100,100,100.1,100.2,102.3,100.1,99.7,100.1,100.2,100
平成17年7月,2005,7,99.8,99.8,99.7,99.8,99.9,99.6,99.4,97.9,99.9,100.3,100.1,100.4,99.5
平成17年8月,2005,8,99.8,99.8,99,100,99.9,99.6,99.4,96,100,101.1,100.1,101.9,99.7
平成17年9月,2005,9,100.1,100,99.6,100.3,99.9,99.7,99.1,102.3,99.8,100.4,100.1,100.4,99.7
平成17年10月,2005,10,100.1,100.1,99.5,100.1,99.9,100.7,99.3,102.8,99.7,100.4,100.1,100.2,100
平成17年11月,2005,11,99.8,99.7,99,99.9,99.9,100.7,99.1,103.9,99.9,99,100.1,99.2,100.3
平成17年12月,2005,12,99.8,99.8,99,99.9,99.8,100.8,98.8,103.7,99.4,99.5,100.1,99.4,100.3
平成18年1月,2006,1,99.8,99.9,101.4,99.8,99.8,102.4,98.1,95.3,100,99.2,100.1,97.7,100.3
平成18年2月,2006,2,99.5,99.4,100.3,100,99.9,102.5,97.9,95,100,98.9,100.1,97.3,100.6
