"年度[西暦]","登録団体数","延べ利用者数[人]"
"2018","11","10318"
"2019","11","6817"
"2020","8","2213"
"2021","8","1584"
"2022","11","4754"

"令和5年度港区行政資料集　施設利用状況一覧 国際交流スペース","Ver202303",
