区分,学校数（校）,学校数／高等課程（校）,学校数／専門課程（校）,学校数／一般課程（校）,学校数／国立（校）,学校数／国立／高等課程（校）,学校数／国立／専門課程（校）,学校数／国立／一般課程（校）,学校数／公立（校）,学校数／公立／高等課程（校）,学校数／公立／専門課程（校）,学校数／公立／一般課程（校）,学校数／私立（校）,学校数／私立／高等課程（校）,学校数／私立／専門課程（校）,学校数／私立／一般課程（校）
総数,671,44,602,25,1,－,1,－,8,－,8,－,662,44,593,25
工業関係,64,1,63,－,－,－,－,－,－,－,－,－,64,1,63,－
工業関係のうち測量,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
工業関係のうち土木・建築,12,－,12,－,－,－,－,－,－,－,－,－,12,－,12,－
工業関係のうち電気・電子,7,－,7,－,－,－,－,－,－,－,－,－,7,－,7,－
工業関係のうち無線・通信,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
工業関係のうち自動車整備,7,－,7,－,－,－,－,－,－,－,－,－,7,－,7,－
工業関係のうち機械,2,－,2,－,－,－,－,－,－,－,－,－,2,－,2,－
工業関係のうち電子計算機,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
工業関係のうち情報処理,18,1,17,－,－,－,－,－,－,－,－,－,18,1,17,－
工業関係のうちその他,15,－,15,－,－,－,－,－,－,－,－,－,15,－,15,－
農業関係,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
農業関係のうち農業,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
農業関係のうち園芸,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
農業関係のうちその他,1,－,1,－,－,－,－,－,－,－,－,－,1,－,1,－
医療関係,123,6,117,－,1,－,1,－,8,－,8,－,114,6,108,－
医療関係のうち看護,35,－,35,－,1,－,1,－,8,－,8,－,26,－,26,－
医療関係のうち准看護,5,5,－,－,－,－,－,－,－,－,－,－,5,5,－,－
医療関係のうち歯科衛生,16,－,16,－,－,－,－,－,－,－,－,－,16,－,16,－
医療関係のうち歯科技工,3,－,3,－,－,－,－,－,－,－,－,－,3,－,3,－
医療関係のうち臨床検査,4,－,4,－,－,－,－,－,－,－,－,－,4,－,4,－
医療関係のうち診療放射線,4,－,4,－,－,－,－,－,－,－,－,－,4,－,4,－
医療関係のうちはり・きゅう・あんま,19,1,18,－,－,－,－,－,－,－,－,－,19,1,18,－
医療関係のうち柔道整復,15,－,15,－,－,－,－,－,－,－,－,－,15,－,15,－
医療関係のうち理学・作業療法,12,－,12,－,－,－,－,－,－,－,－,－,12,－,12,－
医療関係のうちその他,10,－,10,－,－,－,－,－,－,－,－,－,10,－,10,－
衛生関係,113,23,89,1,－,－,－,－,－,－,－,－,113,23,89,1
衛生関係のうち栄養,9,－,9,－,－,－,－,－,－,－,－,－,9,－,9,－
衛生関係のうち調理,32,13,19,－,－,－,－,－,－,－,－,－,32,13,19,－
