区分,幼稚園数（園）,幼稚園数／国立（園）,幼稚園数／公立（園）,幼稚園数／私立（園）
総数,917,2,148,767
3歳児のみ,－,－,－,－
4歳児のみ,－,－,－,－
5歳児のみ,11,－,2,9
3歳児と4歳児,2,－,－,2
3歳児と5歳児,1,－,1,－
4歳児と5歳児,78,－,67,11
3歳児と4歳児と5歳児,825,2,78,745
,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,
２－２　幼稚園　編制方式別園数,,,,
注１）在籍者のいない幼稚園は含まれていない。,,,,
注２）年齢は、令和5年4月1日現在の満年齢である。,,,,
注３）「3歳児」には、令和5年4月2日以降3歳となり、5月1日までに入園した者を含む。,,,,
