種別,和暦（年度）,西暦（年度）,学校数（校）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,昭和60,1985,303,85377,49428,35949,2143,1080,1063,2201,777
総数（国・公・私立）,昭和61,1986,296,86179,50601,35578,2138,1059,1079,2173,764
総数（国・公・私立）,昭和62,1987,285,80137,45494,34643,2030,1002,1028,2124,797
総数（国・公・私立）,昭和63,1988,279,78985,43746,35239,1986,1003,983,2011,859
総数（国・公・私立）,平成元,1989,269,76824,42044,34780,2001,1001,1000,1921,973
総数（国・公・私立）,平成2,1990,262,71685,38097,33588,1961,1024,937,1913,955
総数（国・公・私立）,平成3,1991,254,67343,35435,31908,1918,994,924,1900,891
総数（国・公・私立）,平成4,1992,238,64142,33350,30792,1892,950,942,1858,894
総数（国・公・私立）,平成5,1993,233,58101,28965,29136,1824,927,897,1783,936
総数（国・公・私立）,平成6,1994,231,53152,25455,27697,1797,906,891,1755,929
総数（国・公・私立）,平成7,1995,228,49832,23009,26823,1763,870,893,1702,919
総数（国・公・私立）,平成8,1996,221,46799,21289,25510,1672,803,869,1628,833
総数（国・公・私立）,平成9,1997,218,43035,19453,23582,1635,776,859,1516,879
総数（国・公・私立）,平成10,1998,211,41187,18506,22681,1664,795,869,1525,872
総数（国・公・私立）,平成11,1999,205,38725,17564,21161,1566,743,823,1418,868
総数（国・公・私立）,平成12,2000,202,37254,16787,20467,1553,724,829,1216,874
総数（国・公・私立）,平成13,2001,196,36316,16455,19861,1613,735,878,1254,829
総数（国・公・私立）,平成14,2002,192,34074,15632,18442,1555,734,821,1229,801
総数（国・公・私立）,平成15,2003,187,33840,15875,17965,1548,734,814,1277,858
総数（国・公・私立）,平成16,2004,182,33035,15513,17522,1486,703,783,1236,843
総数（国・公・私立）,平成17,2005,179,29900,13621,16279,1528,727,801,1160,813
総数（国・公・私立）,平成18,2006,176,29798,13405,16393,1468,677,791,1146,827
総数（国・公・私立）,平成19,2007,179,31054,13573,17481,1636,736,900,1103,901
総数（国・公・私立）,平成20,2008,178,29684,12852,16832,1603,673,930,947,910
総数（国・公・私立）,平成21,2009,173,29385,12922,16463,1658,687,971,910,874
総数（国・公・私立）,平成22,2010,171,28285,12648,15637,1643,693,950,845,922
総数（国・公・私立）,平成23,2011,168,23029,10565,12464,1662,697,965,816,899
総数（国・公・私立）,平成24,2012,163,22563,10510,12053,1608,680,928,764,898
総数（国・公・私立）,平成25,2013,161,22185,10353,11832,1603,688,915,769,806
総数（国・公・私立）,平成26,2014,157,22233,10578,11655,1684,717,967,697,837
総数（国・公・私立）,平成27,2015,155,22068,10987,11081,1690,716,974,610,861
総数（国・公・私立）,平成28,2016,152,24038,11912,12126,1827,727,1100,584,817
総数（国・公・私立）,平成29,2017,154,24696,12293,12403,1938,751,1187,584,836
総数（国・公・私立）,平成30,2018,156,26605,13223,13382,2062,800,1262,553,827
総数（国・公・私立）,令和元,2019,156,26364,13053,13311,2092,806,1286,544,930
総数（国・公・私立）,令和2,2020,157,22912,11327,11585,2144,818,1326,553,947
総数（国・公・私立）,令和3,2021,153,19919,9916,10003,2054,797,1257,515,978
総数（国・公・私立）,令和4,2022,153,19851,9834,10017,1986,772,1214,515,995
総数（国・公・私立）,令和5,2023,154,24280,12148,12132,2037,792,1245,532,1058
,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,
付表Ⅰ　学校数等の推移　１－１０学校数等の推移（各種学校）,,,,,,,,,,,
注１）教員数（本務者）の ※数値は、本務者、兼務者の合算である。,,,,,,,,,,,
注２）教員数（兼務者）／男の ※数値は、男女の合算である。,,,,,,,,,,,
注３）昭和51年度には専修学校が設置された。,,,,,,,,,,,
