種別,地域階層,地域,和暦（年度）,西暦（年度）,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／３歳児（人）,在園者数／３歳児／男（人）,在園者数／３歳児／女（人）,在園者数／３歳児／本年度入園／令和2年4月2日～令和2年5月1日生まれ（人）,在園者数／３歳児／本年度入園／平成31年4月2日～令和2年4月1日生まれ（人）,在園者数／３歳児／前年度間入園（人）,在園者数／４歳児（人）,在園者数／４歳児／男（人）,在園者数／４歳児／女（人）,在園者数／４歳児／３歳児入園（人）,在園者数／４歳児／４歳児入園（本年度入園）（人）,在園者数／５歳児（人）,在園者数／５歳児／男（人）,在園者数／５歳児／女（人）,在園者数／５歳児／３歳児入園（人）,在園者数／５歳児／４歳児入園（人）,在園者数／５歳児／５歳児入園（本年度入園）（人）,本年度入園者総数(再掲)（人）,修了者数(令和5年3月)（人）,修了者数(令和5年3月)／男（人）,修了者数(令和5年3月)／女（人）
私立,2,府中市,令和5,2023,2704,1367,1337,752,369,383,40,612,100,897,467,430,869,28,1055,531,524,979,58,18,698,1147,582,565
私立,2,昭島市,令和5,2023,717,359,358,195,93,102,3,154,38,256,135,121,237,19,266,131,135,233,26,7,183,302,152,150
私立,2,調布市,令和5,2023,1907,930,977,573,277,296,16,434,123,608,307,301,574,34,726,346,380,664,47,15,499,809,406,403
私立,2,町田市,令和5,2023,4594,2343,2251,1383,706,677,40,1107,236,1541,784,757,1467,74,1670,853,817,1507,135,28,1249,1756,884,872
私立,2,小金井市,令和5,2023,715,359,356,191,95,96,－,191,－,243,120,123,229,14,281,144,137,254,18,9,214,288,154,134
私立,2,小平市,令和5,2023,2765,1416,1349,851,438,413,5,773,73,930,481,449,895,35,984,497,487,915,54,15,828,1080,573,507
私立,2,日野市,令和5,2023,1423,722,701,424,216,208,18,313,93,488,249,239,473,15,511,257,254,472,27,12,358,551,271,280
私立,2,東村山市,令和5,2023,1613,799,814,526,268,258,5,435,86,517,264,253,466,51,570,267,303,480,59,31,522,536,275,261
私立,2,国分寺市,令和5,2023,865,455,410,263,135,128,4,259,－,303,156,147,226,77,299,164,135,197,24,78,418,339,185,154
私立,2,国立市,令和5,2023,774,389,385,224,115,109,－,207,17,248,126,122,228,20,302,148,154,268,21,13,240,316,162,154
私立,2,福生市,令和5,2023,310,163,147,100,46,54,2,64,34,105,58,47,92,13,105,59,46,85,10,10,89,133,70,63
私立,2,狛江市,令和5,2023,709,386,323,194,106,88,－,194,－,246,133,113,236,10,269,147,122,247,20,2,206,279,158,121
私立,2,東大和市,令和5,2023,568,299,269,162,79,83,3,124,35,193,100,93,182,11,213,120,93,194,16,3,141,225,114,111
私立,2,清瀬市,令和5,2023,1236,618,618,390,195,195,14,274,102,397,211,186,375,22,449,212,237,402,35,12,322,484,234,250
私立,2,東久留米市,令和5,2023,1213,593,620,380,178,202,1,359,20,425,211,214,414,11,408,204,204,383,21,4,375,444,231,213
私立,2,武蔵村山市,令和5,2023,713,363,350,198,105,93,1,180,17,246,122,124,236,10,269,136,133,247,19,3,194,263,139,124
私立,2,多摩市,令和5,2023,1355,662,693,430,214,216,10,363,57,415,196,219,399,16,510,252,258,468,36,6,395,536,248,288
私立,2,稲城市,令和5,2023,1491,741,750,463,224,239,13,352,98,490,234,256,474,16,538,283,255,503,23,12,393,551,287,264
私立,2,羽村市,令和5,2023,504,243,261,154,67,87,3,110,41,157,81,76,145,12,193,95,98,176,9,8,133,225,107,118
私立,2,あきる野市,令和5,2023,645,315,330,194,100,94,3,95,96,200,94,106,189,11,251,121,130,220,20,11,120,248,134,114
私立,2,西東京市,令和5,2023,2334,1168,1166,701,349,352,8,674,19,815,393,422,780,35,818,426,392,726,73,19,736,942,476,466
私立,1,郡部,令和5,2023,317,156,161,99,45,54,5,58,36,110,58,52,106,4,108,53,55,99,7,2,69,141,75,66
私立,2,瑞穂町,令和5,2023,240,120,120,72,33,39,4,49,19,86,43,43,83,3,82,44,38,75,5,2,58,110,59,51
私立,2,日の出町,令和5,2023,77,36,41,27,12,15,1,9,17,24,15,9,23,1,26,9,17,24,2,－,11,31,16,15
私立,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,1,島部,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,大島町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,新島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,神津島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,三宅村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,八丈町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,小笠原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２－４　幼稚園　区市町村、入園年齢別在園者数及び修了者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
