種別,性別,地域階層,地域,和暦（年度）,西暦（年度）,月,卒業者数（人）,卒業者数／大学等進学者（Ａ）（人）,卒業者数／専修学校（専門課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／就職者（人）,卒業者数／就職者／正規の職員等（人）,卒業者数／就職者／正規の職員等でない者（人）,卒業者数／一時的な仕事に就いた者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／自営業主等無期雇用労働者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／雇用契約期間が一年以上、かつフルタイム勤務相当の者（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／正規の職員等でない者（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,Ａのうち大学・短期大学の通信教育部を除く進学者（再掲）（人）,大学等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,総数（男・女）,0,総数,平成30,2018,3月,101782,65863,10839,7842,312,…,…,…,…,6567,6541,26,489,9860,10,3,…,…,2,1,…,65814,64.7,6570,6.5
総数（国・公・私立）,総数（男・女）,0,総数,令和元,2019,3月,101723,66248,11846,6901,279,…,…,…,…,6426,6377,49,539,9479,5,5,…,…,4,1,…,66150,65.1,6431,6.3
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,100178,66737,12261,6351,258,305,5860,418,251,…,…,…,…,7731,6,13,8,5,…,…,55,66643,66.6,6233,6.2
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,98943,68292,12239,5220,289,174,4975,447,114,…,…,…,…,7192,1,8,4,4,…,…,152,68181,69,5309,5.4
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,98713,70555,10847,5091,245,122,4447,400,191,…,…,…,…,6813,2,4,2,2,…,…,174,70457,71.5,4747,4.8
総数（国・公・私立）,総数（男・女）,0,総数,令和5,2023,3月,96812,70463,10101,4441,227,117,4146,328,116,…,…,…,…,6868,5,7,7,－,…,…,169,70389,72.8,4439,4.6
総数（国・公・私立）,総数（男・女）,1,区部,令和5,2023,3月,68553,50277,6358,3383,169,104,2902,148,91,…,…,…,…,5119,2,6,6,－,…,…,45,50223,73.3,3057,4.5
総数（国・公・私立）,総数（男・女）,2,千代田区,令和5,2023,3月,3744,3014,151,290,18,5,40,－,－,…,…,…,…,226,－,－,－,－,…,…,－,3012,80.5,45,1.2
総数（国・公・私立）,総数（男・女）,2,中央区,令和5,2023,3月,393,264,3,58,－,1,8,－,－,…,…,…,…,59,－,－,－,－,…,…,－,264,67.2,9,2.3
総数（国・公・私立）,総数（男・女）,2,港区,令和5,2023,3月,3998,3201,136,66,6,－,93,－,－,…,…,…,…,496,－,－,－,－,…,…,－,3196,80.1,93,2.3
総数（国・公・私立）,総数（男・女）,2,新宿区,令和5,2023,3月,2531,1956,36,218,4,3,11,－,－,…,…,…,…,303,－,1,1,－,…,…,－,1953,77.3,15,0.6
総数（国・公・私立）,総数（男・女）,2,文京区,令和5,2023,3月,4795,3887,256,190,7,5,46,1,6,…,…,…,…,397,－,－,－,－,…,…,－,3886,81.1,51,1.1
総数（国・公・私立）,総数（男・女）,2,台東区,令和5,2023,3月,1729,1052,205,69,7,－,305,7,－,…,…,…,…,84,－,－,－,－,…,…,7,1051,60.8,312,18
総数（国・公・私立）,総数（男・女）,2,墨田区,令和5,2023,3月,1886,1433,222,57,5,－,80,8,－,…,…,…,…,81,－,－,－,－,…,…,1,1433,76,81,4.3
総数（国・公・私立）,総数（男・女）,2,江東区,令和5,2023,3月,2343,1531,189,122,15,13,276,2,19,…,…,…,…,176,－,－,－,－,…,…,－,1528,65.3,289,12.3
総数（国・公・私立）,総数（男・女）,2,品川区,令和5,2023,3月,2711,2090,231,106,－,4,22,2,4,…,…,…,…,252,－,－,－,－,…,…,－,2086,77.1,26,1
総数（国・公・私立）,総数（男・女）,2,目黒区,令和5,2023,3月,2254,1843,94,122,8,1,17,1,－,…,…,…,…,168,－,1,1,－,…,…,1,1842,81.8,20,0.9
総数（国・公・私立）,総数（男・女）,2,大田区,令和5,2023,3月,3019,1883,607,64,16,7,181,16,1,…,…,…,…,244,－,－,－,－,…,…,5,1881,62.4,193,6.4
総数（国・公・私立）,総数（男・女）,2,世田谷区,令和5,2023,3月,8226,6087,818,336,15,17,187,19,14,…,…,…,…,732,1,－,－,－,…,…,14,6083,74,218,2.7
総数（国・公・私立）,総数（男・女）,2,渋谷区,令和5,2023,3月,2733,2243,117,138,－,3,34,10,－,…,…,…,…,188,－,－,－,－,…,…,－,2243,82.1,37,1.4
総数（国・公・私立）,総数（男・女）,2,中野区,令和5,2023,3月,2807,2147,297,71,5,15,93,2,－,…,…,…,…,177,－,－,－,－,…,…,1,2145,76.5,109,3.9
総数（国・公・私立）,総数（男・女）,2,杉並区,令和5,2023,3月,5151,4036,404,328,5,－,116,4,17,…,…,…,…,241,－,－,－,－,…,…,3,4034,78.4,119,2.3
総数（国・公・私立）,総数（男・女）,2,豊島区,令和5,2023,3月,3817,2900,165,350,3,2,165,4,－,…,…,…,…,227,1,1,1,－,…,…,4,2899,76,172,4.5
総数（国・公・私立）,総数（男・女）,2,北区,令和5,2023,3月,2724,1949,311,124,14,1,61,11,－,…,…,…,…,253,－,－,－,－,…,…,1,1946,71.5,63,2.3
総数（国・公・私立）,総数（男・女）,2,荒川区,令和5,2023,3月,765,380,107,156,1,2,69,－,5,…,…,…,…,45,－,－,－,－,…,…,－,379,49.7,71,9.3
総数（国・公・私立）,総数（男・女）,2,板橋区,令和5,2023,3月,3372,2511,363,150,9,2,136,2,－,…,…,…,…,199,－,3,3,－,…,…,2,2510,74.5,143,4.2
総数（国・公・私立）,総数（男・女）,2,練馬区,令和5,2023,3月,2779,1868,379,145,5,2,213,16,9,…,…,…,…,142,－,－,－,－,…,…,6,1863,67.2,221,8
総数（国・公・私立）,総数（男・女）,2,足立区,令和5,2023,3月,2195,1148,492,7,14,2,353,8,9,…,…,…,…,162,－,－,－,－,…,…,－,1139,52.3,355,16.2
総数（国・公・私立）,総数（男・女）,2,葛飾区,令和5,2023,3月,1583,788,347,117,5,5,186,13,1,…,…,…,…,121,－,－,－,－,…,…,－,787,49.8,191,12.1
総数（国・公・私立）,総数（男・女）,2,江戸川区,令和5,2023,3月,2998,2066,428,99,7,14,210,22,6,…,…,…,…,146,－,－,－,－,…,…,－,2063,68.9,224,7.5
総数（国・公・私立）,総数（男・女）,1,市部,令和5,2023,3月,27861,20016,3637,1055,43,12,1181,162,25,…,…,…,…,1727,3,1,1,－,…,…,124,19997,71.8,1318,4.7
総数（国・公・私立）,総数（男・女）,2,八王子市,令和5,2023,3月,4563,3374,650,85,10,2,146,11,－,…,…,…,…,285,－,－,－,－,…,…,5,3368,73.9,153,3.4
総数（国・公・私立）,総数（男・女）,2,立川市,令和5,2023,3月,1205,736,254,55,1,－,70,－,－,…,…,…,…,89,－,－,－,－,…,…,－,736,61.1,70,5.8
総数（国・公・私立）,総数（男・女）,2,武蔵野市,令和5,2023,3月,1266,1032,37,110,－,－,－,1,－,…,…,…,…,86,－,－,－,－,…,…,－,1032,81.5,－,－
総数（国・公・私立）,総数（男・女）,2,三鷹市,令和5,2023,3月,877,717,58,21,－,－,2,2,－,…,…,…,…,77,－,－,－,－,…,…,－,716,81.8,2,0.2
総数（国・公・私立）,総数（男・女）,2,青梅市,令和5,2023,3月,450,182,156,2,1,2,57,23,－,…,…,…,…,27,－,－,－,－,…,…,14,182,40.4,73,16.2
総数（国・公・私立）,総数（男・女）,2,府中市,令和5,2023,3月,1598,1019,225,60,2,－,171,－,4,…,…,…,…,117,－,1,1,－,…,…,－,1019,63.8,172,10.8
総数（国・公・私立）,総数（男・女）,2,昭島市,令和5,2023,3月,653,437,114,8,－,－,44,－,－,…,…,…,…,50,－,－,－,－,…,…,－,437,66.9,44,6.7
総数（国・公・私立）,総数（男・女）,2,調布市,令和5,2023,3月,1404,1240,36,38,－,－,9,－,－,…,…,…,…,78,3,－,－,－,…,…,－,1239,88.3,9,0.6
総数（国・公・私立）,総数（男・女）,2,町田市,令和5,2023,3月,2984,2085,336,146,6,4,161,1,13,…,…,…,…,232,－,－,－,－,…,…,1,2083,69.9,166,5.6
総数（国・公・私立）,総数（男・女）,2,小金井市,令和5,2023,3月,1337,1150,12,92,1,－,14,－,－,…,…,…,…,68,－,－,－,－,…,…,－,1150,86,14,1
総数（国・公・私立）,総数（男・女）,2,小平市,令和5,2023,3月,1885,1524,170,120,2,－,17,3,－,…,…,…,…,49,－,－,－,－,…,…,－,1518,80.8,17,0.9
総数（国・公・私立）,総数（男・女）,2,日野市,令和5,2023,3月,934,791,76,54,－,－,9,－,3,…,…,…,…,1,－,－,－,－,…,…,－,791,84.7,9,1
総数（国・公・私立）,総数（男・女）,2,東村山市,令和5,2023,3月,959,578,239,2,1,－,61,1,－,…,…,…,…,77,－,－,－,－,…,…,－,578,60.3,61,6.4
総数（国・公・私立）,総数（男・女）,2,国分寺市,令和5,2023,3月,706,644,1,51,－,1,1,－,－,…,…,…,…,8,－,－,－,－,…,…,－,644,91.2,2,0.3
総数（国・公・私立）,総数（男・女）,2,国立市,令和5,2023,3月,984,608,61,88,－,－,65,－,－,…,…,…,…,162,－,－,－,－,…,…,－,608,61.8,65,6.6
総数（国・公・私立）,総数（男・女）,2,福生市,令和5,2023,3月,445,156,143,－,－,－,18,104,3,…,…,…,…,21,－,－,－,－,…,…,104,156,35.1,122,27.4
総数（国・公・私立）,総数（男・女）,2,狛江市,令和5,2023,3月,319,261,11,47,－,－,－,－,－,…,…,…,…,－,－,－,－,－,…,…,－,261,81.8,－,－
総数（国・公・私立）,総数（男・女）,2,東大和市,令和5,2023,3月,551,424,78,13,－,－,8,－,－,…,…,…,…,28,－,－,－,－,…,…,－,424,77,8,1.5
総数（国・公・私立）,総数（男・女）,2,清瀬市,令和5,2023,3月,288,255,30,－,－,－,1,－,－,…,…,…,…,2,－,－,－,－,…,…,－,255,88.5,1,0.3
総数（国・公・私立）,総数（男・女）,2,東久留米市,令和5,2023,3月,519,292,143,18,5,－,13,4,2,…,…,…,…,42,－,－,－,－,…,…,－,291,56.3,13,2.5
総数（国・公・私立）,総数（男・女）,2,武蔵村山市,令和5,2023,3月,847,619,151,－,－,－,14,－,－,…,…,…,…,63,－,－,－,－,…,…,－,618,73.1,14,1.7
