区分,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数,6520,2521,3999,51,17,67,45,3,2,273,171,8,15,2115,3602,－,－,2,140,－,－,－,4,2,3,284,637
国立,230,99,131,1,－,2,2,－,－,2,1,－,－,94,118,－,－,－,6,－,－,－,4,－,－,25,27
公立,6207,2382,3825,48,15,64,43,－,－,268,166,8,15,1992,3455,－,－,2,131,－,－,－,－,－,－,255,577
私立,83,40,43,2,2,1,－,3,2,3,4,－,－,29,29,－,－,－,3,－,－,－,－,2,3,4,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,
１０－９　特別支援学校　設置者、職名別教員数,,,,,,,,,,,,,,,,,,,,,,,,,,,
