種別,地域階層,地域,和暦（年度）,西暦（年度）,学級数（学級）,学級数／単式学級（学級）,学級数／複式学級（学級）,学級数／特別支援学級（学級）,学級数／収容人員別／7人以下（学級）,学級数／収容人員別／8～１２人（学級）,学級数／収容人員別／１３～２０人（学級）,学級数／収容人員別／２１～２５人（学級）,学級数／収容人員別／２６～３０人（学級）,学級数／収容人員別／３１～３５人（学級）,学級数／収容人員別／３６～４０人（学級）,学級数／収容人員別／４１～４５人（学級）,学級数／収容人員別／４６～４７人（学級）,学級数／収容人員別／４８人以上（学級）,学級数／収容人員別／うち特別支援学級／7人以下（学級）,学級数／収容人員別／うち特別支援学級／8～１２人（学級）,学級数／収容人員別／うち特別支援学級／１３～２０人（学級）
総数（国・公・私立）,0,総数,平成30,2018,9346,8790,－,556,452,235,166,273,1220,3565,2723,638,55,19,367,187,2
総数（国・公・私立）,0,総数,令和元,2019,9448,8878,－,570,527,266,151,284,1197,3587,2740,619,59,18,356,211,3
総数（国・公・私立）,0,総数,令和2,2020,9597,8974,－,623,621,255,142,275,1132,3585,2897,610,74,6,416,202,5
総数（国・公・私立）,0,総数,令和3,2021,9638,8974,－,664,458,286,142,239,1166,3685,3034,551,65,12,419,243,2
総数（国・公・私立）,0,総数,令和4,2022,9750,9038,－,712,495,298,141,244,1157,3701,3084,562,57,11,447,260,5
総数（国・公・私立）,0,総数,令和5,2023,9835,9090,－,745,500,334,134,257,1163,3831,2990,556,59,11,449,295,1
総数（国・公・私立）,1,区部,令和5,2023,6273,5910,－,363,250,152,83,189,780,2332,1938,482,56,11,226,137,－
総数（国・公・私立）,2,千代田区,令和5,2023,177,176,－,1,1,3,6,22,7,19,39,58,17,5,1,－,－
総数（国・公・私立）,2,中央区,令和5,2023,71,68,－,3,1,2,1,4,22,25,16,－,－,－,1,2,－
総数（国・公・私立）,2,港区,令和5,2023,266,256,－,10,7,3,4,12,13,48,79,99,1,－,7,3,－
総数（国・公・私立）,2,新宿区,令和5,2023,185,177,－,8,10,3,－,7,26,26,47,52,14,－,5,3,－
総数（国・公・私立）,2,文京区,令和5,2023,295,284,－,11,12,4,13,11,42,102,81,15,10,5,10,1,－
総数（国・公・私立）,2,台東区,令和5,2023,93,88,－,5,4,1,5,5,12,39,25,2,－,－,4,1,－
総数（国・公・私立）,2,墨田区,令和5,2023,172,161,－,11,9,2,－,2,17,79,52,11,－,－,9,2,－
総数（国・公・私立）,2,江東区,令和5,2023,294,277,－,17,11,6,5,5,41,124,96,6,－,－,11,6,－
総数（国・公・私立）,2,品川区,令和5,2023,182,173,－,9,4,5,－,3,19,45,81,25,－,－,4,5,－
総数（国・公・私立）,2,目黒区,令和5,2023,154,145,－,9,6,5,3,5,32,68,35,－,－,－,6,3,－
総数（国・公・私立）,2,大田区,令和5,2023,374,348,－,26,11,18,－,18,46,167,114,－,－,－,10,16,－
総数（国・公・私立）,2,世田谷区,令和5,2023,650,617,－,33,27,12,12,9,54,226,247,62,－,1,22,11,－
総数（国・公・私立）,2,渋谷区,令和5,2023,156,150,－,6,5,1,6,4,15,75,45,5,－,－,5,1,－
総数（国・公・私立）,2,中野区,令和5,2023,198,190,－,8,6,4,3,6,14,70,73,22,－,－,5,3,－
総数（国・公・私立）,2,杉並区,令和5,2023,339,325,－,14,9,5,4,21,70,115,101,14,－,－,9,5,－
総数（国・公・私立）,2,豊島区,令和5,2023,213,202,－,11,9,2,－,2,11,58,64,53,14,－,9,2,－
総数（国・公・私立）,2,北区,令和5,2023,246,227,－,19,14,8,9,9,27,112,67,－,－,－,13,6,－
総数（国・公・私立）,2,荒川区,令和5,2023,138,126,－,12,9,3,1,4,37,39,24,21,－,－,9,3,－
総数（国・公・私立）,2,板橋区,令和5,2023,358,332,－,26,17,9,1,5,49,125,140,12,－,－,17,9,－
総数（国・公・私立）,2,練馬区,令和5,2023,489,455,－,34,25,15,2,13,64,177,172,21,－,－,19,15,－
総数（国・公・私立）,2,足立区,令和5,2023,444,413,－,31,17,14,2,9,56,252,94,－,－,－,17,14,－
総数（国・公・私立）,2,葛飾区,令和5,2023,298,275,－,23,18,5,4,10,66,109,84,2,－,－,18,5,－
総数（国・公・私立）,2,江戸川区,令和5,2023,481,445,－,36,18,22,2,3,40,232,162,2,－,－,15,21,－
総数（国・公・私立）,1,市部,令和5,2023,3461,3094,－,367,218,173,34,60,379,1478,1042,74,3,－,209,157,1
総数（国・公・私立）,2,八王子市,令和5,2023,488,441,－,47,26,23,9,19,85,176,138,12,－,－,26,21,－
総数（国・公・私立）,2,立川市,令和5,2023,120,109,－,11,5,6,－,－,5,79,25,－,－,－,5,6,－
総数（国・公・私立）,2,武蔵野市,令和5,2023,133,127,－,6,5,7,1,－,9,34,64,13,－,－,4,2,－
総数（国・公・私立）,2,三鷹市,令和5,2023,137,126,－,11,7,4,－,－,6,87,33,－,－,－,7,4,－
総数（国・公・私立）,2,青梅市,令和5,2023,112,88,－,24,15,13,5,3,19,17,40,－,－,－,14,9,1
総数（国・公・私立）,2,府中市,令和5,2023,198,184,－,14,8,6,－,2,25,99,54,4,－,－,8,6,－
総数（国・公・私立）,2,昭島市,令和5,2023,95,81,－,14,5,9,－,3,7,51,20,－,－,－,5,9,－
総数（国・公・私立）,2,調布市,令和5,2023,192,182,－,10,9,4,－,5,22,70,80,2,－,－,6,4,－
