区分,入学定員（人）,入学定員／全日制（人）,入学定員／定時制（人）
総数,114340,109569,4771
国立,1095,1095,－
公立,45835,41510,4325
私立,67410,66964,446
,,,
令和５年度　学校基本統計（学校基本調査報告）,,,
７－９　高等学校（全日制・定時制）　設置者、課程別入学定員,,,
