地域,学校数／計（校）,学校数／国立（校）,学校数／公立（校）,学校数／私立（校）,学生数／計／計（人）,学生数／計／男（人）,学生数／計／女（人）,学生数／国立／計（人）,学生数／国立／男（人）,学生数／国立／女（人）,学生数／公立／計（人）,学生数／公立／男（人）,学生数／公立／女（人）,学生数／私立／計（人）,学生数／私立／男（人）,学生数／私立／女（人）,学生数のうち本科学生数／計／計（（人）,学生数のうち本科学生数／計／男（人）,学生数のうち本科学生数／計／女（人）,学生数のうち本科学生数／国立／計（人）,学生数のうち本科学生数／国立／男（人）,学生数のうち本科学生数／国立／女（人）,学生数のうち本科学生数／公立／計（人）,学生数のうち本科学生数／公立／男（人）,学生数のうち本科学生数／公立／女（人）,学生数のうち本科学生数／私立／計（人）,学生数のうち本科学生数／私立／男（人）,学生数のうち本科学生数／私立／女（人）,教員数（本務者）／計／計（人）,教員数（本務者）／計／男（人）,教員数（本務者）／計／女（人）,教員数（本務者）／国立／計（人）,教員数（本務者）／国立／男（人）,教員数（本務者）／国立／女（人）,教員数（本務者）／公立／計（人）,教員数（本務者）／公立／男（人）,教員数（本務者）／公立／女（人）,教員数（本務者）／私立／計（人）,教員数（本務者）／私立／男（人）,教員数（本務者）／私立／女（人）
総数,3,1,1,1,3546,2943,603,1072,854,218,1686,1462,224,788,627,161,3400,2817,583,1025,815,210,1607,1393,214,768,609,159,251,223,28,77,66,11,124,111,13,50,46,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜参考＞　高等専門学校　学校数、学生数及び教員数(本務者),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１）「学校数」，「学生数」及び「教員数（本務者）」については，高等専門学校事務部の所在地による。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２）「学生数」には本科学生のほか専攻科及び科目等履修生並びに聴講生を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
