区分,学校数（校）,学校数／うち分校（校）,学校数／国立（校）,学校数／公立（校）,学校数／公立／うち分校（校）,学校数／私立（校）,学校数／私立／うち分校（校）
総数,429,－,6,186,－,237,－
男女ともにいる学校,318,－,4,186,－,128,－
男のみの学校,34,－,1,－,－,33,－
女のみの学校,74,－,1,－,－,73,－
生徒のいない学校,3,－,－,－,－,3,－
,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,
７－３　高等学校（全日制・定時制）　設置者、男女別学校数,,,,,,,
