種別,和暦（年度）,西暦（年度）,小学校児童数／指数／東京都（平成23年＝100）,小学校児童数／指数／全国（平成23年＝100）,小学校児童数／児童数／東京都（人）,小学校児童数／児童数／全国（人）,中学校生徒数／指数／東京都（平成23年＝100）,中学校生徒数／指数／全国（平成23年＝100）,中学校生徒数／生徒数／東京都（人）,中学校生徒数／生徒数／全国（人）
総数（国・公・私立）,平成18,2006,97.1,66.7,586492,7187417,104.6,75.1,298062,3601527
総数（国・公・私立）,平成19,2007,97.4,66.2,588374,7132874,106.9,75.4,304555,3614552
総数（国・公・私立）,平成20,2008,98.2,66.1,592736,7121781,107.9,75,307538,3592378
総数（国・公・私立）,平成21,2009,98.4,65.6,594326,7063606,109.3,75.1,311305,3600323
総数（国・公・私立）,平成22,2010,98.6,64.9,595669,6993376,108.5,74.2,309247,3558166
総数（国・公・私立）,平成23,2011,98.1,63.9,592192,6887292,109.5,74.6,311982,3573821
総数（国・公・私立）,平成24,2012,97.1,62.8,586412,6764619,109.4,74.1,311758,3552663
総数（国・公・私立）,平成25,2013,97,62,585535,6676920,109.8,73.8,312764,3536182
総数（国・公・私立）,平成26,2014,97.4,61.3,587983,6600006,109.4,73.1,311841,3504334
総数（国・公・私立）,平成27,2015,98.1,60.7,592158,6543104,109.1,72.3,310874,3465215
総数（国・公・私立）,平成28,2016,98.4,60.2,594053,6483515,107.7,71.1,306820,3406029
総数（国・公・私立）,平成29,2017,99.6,59.9,601414,6448658,106.8,69.6,304199,3333334
総数（国・公・私立）,平成30,2018,100.9,59.7,609512,6427867,105.3,67.8,300085,3251670
総数（国・公・私立）,令和元,2019,101.8,59.1,614873,6368550,105.4,67.1,300377,3218137
総数（国・公・私立）,令和2,2020,102.6,58.5,619291,6300693,106.8,67,304405,3211219
総数（国・公・私立）,令和3,2021,103.1,57.8,622820,6223395,109.2,67.4,311049,3229697
総数（国・公・私立）,令和4,2022,103.4,57.1,624426,6151305,110,66.9,313353,3205220
総数（国・公・私立）,令和5,2023,103.3,56.1,623631,6049685,110.4,66.3,314459,3177508
,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,
付表　全国及び他県との比較　２－４小学校児童数及び中学校生徒数の推移,,,,,,,,,,
注）全国の数値は、文部科学省公表の令和５年度学校基本調査の結果による。,,,,,,,,,,
