種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,卒業者数（人）,卒業者数／高等学校進学者（Ａ）（人）,卒業者数／専修学校（高等課程）進学者（Ｂ）（人）,卒業者数／専修学校（一般課程）等入学者（Ｃ）（人）,卒業者数／公共職業能力開発施設等入学者（D）（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／自営業主等（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／無期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／常用雇用者／有期雇用労働者（人）,卒業者数／就職者等（左記Ａ～Ｄを除く）（Ｅ）／臨時労働者（人）,卒業者数／左記以外の者（人）,卒業者数／不詳・死亡（人）,左記Ａのうち他県への進学者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ａのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｂのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｃのうち（人）,左記Ａ，Ｂ，Ｃ，Ｄのうち就職している者（再掲）／Ｄのうち（人）,左記Ｅ有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）（人）,高等学校等進学率（％）,就職者総数（再掲）（人）,卒業者に占める就職者の割合（％）
総数（国・公・私立）,女,2,目黒区,令和5,2023,3月,697,685,3,1,－,－,－,－,－,8,－,46,－,－,－,－,－,－,98.3,－,－
総数（国・公・私立）,女,2,大田区,令和5,2023,3月,1838,1811,5,4,－,1,－,－,－,17,－,146,1,－,－,1,－,－,98.5,2,0.1
総数（国・公・私立）,女,2,世田谷区,令和5,2023,3月,3678,3645,5,－,－,－,－,－,－,28,－,143,－,－,－,－,－,－,99.1,－,－
総数（国・公・私立）,女,2,渋谷区,令和5,2023,3月,1087,1075,2,－,－,－,－,－,－,10,－,18,－,－,－,－,－,－,98.9,－,－
総数（国・公・私立）,女,2,中野区,令和5,2023,3月,1002,997,1,2,－,－,－,－,－,2,－,46,－,－,－,－,－,－,99.5,－,－
総数（国・公・私立）,女,2,杉並区,令和5,2023,3月,1875,1860,4,1,－,－,－,－,－,10,－,64,－,－,－,－,－,－,99.2,－,－
総数（国・公・私立）,女,2,豊島区,令和5,2023,3月,1035,1029,2,1,－,－,－,－,1,2,－,33,－,－,－,－,－,－,99.4,－,－
総数（国・公・私立）,女,2,北区,令和5,2023,3月,1012,998,1,5,－,－,－,－,－,8,－,37,－,－,－,－,－,－,98.6,－,－
総数（国・公・私立）,女,2,荒川区,令和5,2023,3月,515,507,2,1,－,－,－,－,－,5,－,20,－,－,－,－,－,－,98.4,－,－
総数（国・公・私立）,女,2,板橋区,令和5,2023,3月,1828,1802,8,1,－,－,2,－,－,15,－,107,－,－,－,－,－,－,98.6,2,0.1
総数（国・公・私立）,女,2,練馬区,令和5,2023,3月,2399,2373,8,1,－,－,－,－,－,17,－,110,－,－,－,－,－,－,98.9,－,－
総数（国・公・私立）,女,2,足立区,令和5,2023,3月,2173,2145,6,－,－,－,－,1,－,21,－,131,－,－,－,－,－,－,98.7,－,－
総数（国・公・私立）,女,2,葛飾区,令和5,2023,3月,1501,1480,4,3,1,－,－,－,2,11,－,128,－,－,－,－,－,－,98.6,－,－
総数（国・公・私立）,女,2,江戸川区,令和5,2023,3月,2689,2652,8,9,－,2,－,1,－,17,－,196,－,－,－,－,－,1,98.6,3,0.1
総数（国・公・私立）,女,1,市部,令和5,2023,3月,17728,17435,117,40,－,2,3,1,3,127,－,1174,－,－,－,－,－,－,98.3,5,－
総数（国・公・私立）,女,2,八王子市,令和5,2023,3月,2542,2489,23,11,－,－,－,－,－,19,－,174,－,－,－,－,－,－,97.9,－,－
総数（国・公・私立）,女,2,立川市,令和5,2023,3月,648,634,6,1,－,－,1,－,－,6,－,55,－,－,－,－,－,－,97.8,1,0.2
総数（国・公・私立）,女,2,武蔵野市,令和5,2023,3月,857,851,3,1,－,－,－,－,－,2,－,25,－,－,－,－,－,－,99.3,－,－
総数（国・公・私立）,女,2,三鷹市,令和5,2023,3月,679,663,4,3,－,－,－,－,－,9,－,51,－,－,－,－,－,－,97.6,－,－
総数（国・公・私立）,女,2,青梅市,令和5,2023,3月,548,518,4,11,－,－,－,－,2,13,－,47,－,－,－,－,－,－,94.5,－,－
総数（国・公・私立）,女,2,府中市,令和5,2023,3月,973,964,4,1,－,1,－,－,－,3,－,45,－,－,－,－,－,－,99.1,1,0.1
総数（国・公・私立）,女,2,昭島市,令和5,2023,3月,445,437,2,－,－,－,－,－,－,6,－,31,－,－,－,－,－,－,98.2,－,－
総数（国・公・私立）,女,2,調布市,令和5,2023,3月,1140,1129,7,－,－,－,－,－,－,4,－,34,－,－,－,－,－,－,99,－,－
総数（国・公・私立）,女,2,町田市,令和5,2023,3月,2036,2002,17,5,－,－,－,－,－,12,－,216,－,－,－,－,－,－,98.3,－,－
総数（国・公・私立）,女,2,小金井市,令和5,2023,3月,594,582,11,－,－,－,－,－,－,1,－,20,－,－,－,－,－,－,98,－,－
総数（国・公・私立）,女,2,小平市,令和5,2023,3月,777,770,1,1,－,－,－,－,－,5,－,26,－,－,－,－,－,－,99.1,－,－
総数（国・公・私立）,女,2,日野市,令和5,2023,3月,681,667,6,－,－,－,－,－,－,8,－,71,－,－,－,－,－,－,97.9,－,－
総数（国・公・私立）,女,2,東村山市,令和5,2023,3月,645,637,5,－,－,－,－,－,－,3,－,52,－,－,－,－,－,－,98.8,－,－
総数（国・公・私立）,女,2,国分寺市,令和5,2023,3月,456,450,2,－,－,－,－,－,－,4,－,23,－,－,－,－,－,－,98.7,－,－
総数（国・公・私立）,女,2,国立市,令和5,2023,3月,256,254,－,1,－,－,－,－,－,1,－,14,－,－,－,－,－,－,99.2,－,－
総数（国・公・私立）,女,2,福生市,令和5,2023,3月,178,175,1,－,－,－,－,－,－,2,－,11,－,－,－,－,－,－,98.3,－,－
総数（国・公・私立）,女,2,狛江市,令和5,2023,3月,225,224,－,1,－,－,－,－,－,－,－,13,－,－,－,－,－,－,99.6,－,－
総数（国・公・私立）,女,2,東大和市,令和5,2023,3月,355,353,－,－,－,－,－,1,－,1,－,25,－,－,－,－,－,－,99.4,－,－
総数（国・公・私立）,女,2,清瀬市,令和5,2023,3月,301,299,1,－,－,－,－,－,－,1,－,27,－,－,－,－,－,－,99.3,－,－
総数（国・公・私立）,女,2,東久留米市,令和5,2023,3月,464,454,3,1,－,－,－,－,－,6,－,26,－,－,－,－,－,－,97.8,－,－
総数（国・公・私立）,女,2,武蔵村山市,令和5,2023,3月,368,360,3,1,－,1,1,－,1,1,－,20,－,－,－,－,－,－,97.8,2,0.5
総数（国・公・私立）,女,2,多摩市,令和5,2023,3月,753,739,5,－,－,－,－,－,－,9,－,31,－,－,－,－,－,－,98.1,－,－
総数（国・公・私立）,女,2,稲城市,令和5,2023,3月,443,435,3,1,－,－,1,－,－,3,－,34,－,－,－,－,－,－,98.2,1,0.2
総数（国・公・私立）,女,2,羽村市,令和5,2023,3月,221,218,2,－,－,－,－,－,－,1,－,25,－,－,－,－,－,－,98.6,－,－
総数（国・公・私立）,女,2,あきる野市,令和5,2023,3月,357,354,3,－,－,－,－,－,－,－,－,30,－,－,－,－,－,－,99.2,－,－
総数（国・公・私立）,女,2,西東京市,令和5,2023,3月,786,777,1,1,－,－,－,－,－,7,－,48,－,－,－,－,－,－,98.9,－,－
総数（国・公・私立）,女,1,郡部,令和5,2023,3月,218,212,3,1,－,－,－,－,1,1,－,21,－,－,－,－,－,－,97.2,－,－
総数（国・公・私立）,女,2,瑞穂町,令和5,2023,3月,122,117,2,1,－,－,－,－,1,1,－,9,－,－,－,－,－,－,95.9,－,－
総数（国・公・私立）,女,2,日の出町,令和5,2023,3月,80,79,1,－,－,－,－,－,－,－,－,8,－,－,－,－,－,－,98.8,－,－
総数（国・公・私立）,女,2,檜原村,令和5,2023,3月,4,4,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,2,奥多摩町,令和5,2023,3月,12,12,－,－,－,－,－,－,－,－,－,4,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,1,島部,令和5,2023,3月,105,103,1,－,－,－,－,－,－,1,－,4,－,－,－,－,－,－,98.1,－,－
総数（国・公・私立）,女,2,大島町,令和5,2023,3月,31,31,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,2,利島村,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,2,新島村,令和5,2023,3月,10,10,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,2,神津島村,令和5,2023,3月,12,11,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,91.7,－,－
総数（国・公・私立）,女,2,三宅村,令和5,2023,3月,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,2,御蔵島村,令和5,2023,3月,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
総数（国・公・私立）,女,2,八丈町,令和5,2023,3月,31,30,1,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,96.8,－,－
総数（国・公・私立）,女,2,青ヶ島村,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,女,2,小笠原村,令和5,2023,3月,17,17,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,0,総数,平成30,2018,3月,77147,76040,343,137,14,62,43,25,16,464,3,4526,17,15,2,－,－,12,98.6,134,0.2
公立,総数（男・女）,0,総数,平成31,2019,3月,76579,75430,332,154,16,56,43,13,18,509,8,4712,18,15,－,－,3,3,98.5,120,0.2
公立,総数（男・女）,0,総数,令和2,2020,3月,75454,74385,317,103,18,49,48,16,14,504,－,4996,36,31,2,2,1,8,98.6,141,0.2
公立,総数（男・女）,0,総数,令和3,2021,3月,72920,71861,347,135,11,41,36,8,20,460,1,5125,27,25,－,2,－,4,98.5,108,0.1
公立,総数（男・女）,0,総数,令和4,2022,3月,76235,75138,316,150,6,33,29,7,9,543,4,5647,12,7,1,3,1,4,98.6,78,0.1
公立,総数（男・女）,0,総数,令和5,2023,3月,77453,76241,313,150,8,38,29,9,16,647,2,6417,20,18,1,1,－,5,98.4,92,0.1
公立,総数（男・女）,1,区部,令和5,2023,3月,46083,45424,124,74,5,20,15,6,10,404,1,3506,9,8,－,1,－,5,98.6,49,0.1
公立,総数（男・女）,2,千代田区,令和5,2023,3月,293,278,－,－,－,－,－,－,－,15,－,41,－,－,－,－,－,－,94.9,－,－
公立,総数（男・女）,2,中央区,令和5,2023,3月,545,532,1,－,－,－,－,－,－,12,－,70,2,2,－,－,－,－,97.6,2,0.4
公立,総数（男・女）,2,港区,令和5,2023,3月,753,728,3,6,－,－,1,－,－,15,－,85,－,－,－,－,－,－,96.7,1,0.1
公立,総数（男・女）,2,新宿区,令和5,2023,3月,955,938,8,1,1,1,－,－,－,6,－,68,－,－,－,－,－,－,98.2,1,0.1
公立,総数（男・女）,2,文京区,令和5,2023,3月,806,800,2,－,－,－,－,－,－,4,－,77,－,－,－,－,－,－,99.3,－,－
公立,総数（男・女）,2,台東区,令和5,2023,3月,932,920,2,3,－,1,－,－,－,6,－,61,－,－,－,－,－,－,98.7,1,0.1
公立,総数（男・女）,2,墨田区,令和5,2023,3月,1435,1417,2,1,1,1,－,－,－,13,－,81,－,－,－,－,－,－,98.7,1,0.1
公立,総数（男・女）,2,江東区,令和5,2023,3月,2697,2665,2,3,－,－,1,－,1,25,－,181,－,－,－,－,－,－,98.8,1,0
公立,総数（男・女）,2,品川区,令和5,2023,3月,988,980,1,1,－,－,－,－,－,6,－,86,1,1,－,－,－,－,99.2,1,0.1
公立,総数（男・女）,2,目黒区,令和5,2023,3月,999,987,3,1,－,－,－,－,－,8,－,117,－,－,－,－,－,－,98.8,－,－
公立,総数（男・女）,2,大田区,令和5,2023,3月,3639,3588,7,8,－,2,2,－,－,32,－,309,1,－,－,1,－,－,98.6,5,0.1
公立,総数（男・女）,2,世田谷区,令和5,2023,3月,3890,3845,11,1,－,－,－,－,－,33,－,350,1,1,－,－,－,－,98.8,1,0
公立,総数（男・女）,2,渋谷区,令和5,2023,3月,641,631,2,1,－,－,－,－,－,7,－,42,－,－,－,－,－,－,98.4,－,－
公立,総数（男・女）,2,中野区,令和5,2023,3月,1256,1240,3,5,－,1,－,－,－,7,－,90,－,－,－,－,－,－,98.7,1,0.1
公立,総数（男・女）,2,杉並区,令和5,2023,3月,2296,2264,12,1,－,－,－,－,－,19,－,146,－,－,－,－,－,－,98.6,－,－
公立,総数（男・女）,2,豊島区,令和5,2023,3月,898,887,3,2,－,－,－,－,1,5,－,66,－,－,－,－,－,－,98.8,－,－
公立,総数（男・女）,2,北区,令和5,2023,3月,1450,1430,1,6,－,－,－,－,－,13,－,92,－,－,－,－,－,－,98.6,－,－
公立,総数（男・女）,2,荒川区,令和5,2023,3月,1123,1107,2,3,－,－,－,－,－,11,－,51,－,－,－,－,－,－,98.6,－,－
公立,総数（男・女）,2,板橋区,令和5,2023,3月,3144,3108,14,1,－,－,3,－,－,18,－,219,－,－,－,－,－,－,98.9,3,0.1
公立,総数（男・女）,2,練馬区,令和5,2023,3月,4646,4581,13,5,－,3,1,－,－,42,1,320,3,3,－,－,－,－,98.6,7,0.2
公立,総数（男・女）,2,足立区,令和5,2023,3月,4597,4525,12,2,2,3,5,1,－,47,－,312,－,－,－,－,－,－,98.4,8,0.2
公立,総数（男・女）,2,葛飾区,令和5,2023,3月,2977,2935,7,4,1,2,2,－,5,21,－,236,1,1,－,－,－,－,98.6,5,0.2
公立,総数（男・女）,2,江戸川区,令和5,2023,3月,5123,5038,13,19,－,6,－,5,3,39,－,406,－,－,－,－,－,5,98.3,11,0.2
公立,総数（男・女）,1,市部,令和5,2023,3月,30734,30199,182,74,3,18,13,3,4,237,1,2860,11,10,1,－,－,－,98.3,42,0.1
公立,総数（男・女）,2,八王子市,令和5,2023,3月,4300,4200,36,15,－,3,5,2,－,39,－,419,2,2,－,－,－,－,97.7,10,0.2
公立,総数（男・女）,2,立川市,令和5,2023,3月,1297,1263,10,7,－,1,2,－,－,13,1,142,－,－,－,－,－,－,97.4,3,0.2
公立,総数（男・女）,2,武蔵野市,令和5,2023,3月,830,818,5,4,－,－,－,－,－,3,－,44,1,1,－,－,－,－,98.6,1,0.1
公立,総数（男・女）,2,三鷹市,令和5,2023,3月,1199,1162,10,4,－,－,1,－,－,22,－,97,1,1,－,－,－,－,96.9,2,0.2
公立,総数（男・女）,2,青梅市,令和5,2023,3月,1080,1033,9,12,－,1,1,－,2,22,－,131,1,1,－,－,－,－,95.6,3,0.3
公立,総数（男・女）,2,府中市,令和5,2023,3月,1970,1953,9,－,1,2,－,－,－,5,－,136,1,－,1,－,－,－,99.1,3,0.2
公立,総数（男・女）,2,昭島市,令和5,2023,3月,820,803,3,－,2,－,－,－,－,12,－,64,1,1,－,－,－,－,97.9,1,0.1
公立,総数（男・女）,2,調布市,令和5,2023,3月,1519,1496,8,3,－,－,－,－,－,12,－,86,－,－,－,－,－,－,98.5,－,－
公立,総数（男・女）,2,町田市,令和5,2023,3月,3501,3456,15,14,－,1,－,－,－,15,－,505,1,1,－,－,－,－,98.7,2,0.1
公立,総数（男・女）,2,小金井市,令和5,2023,3月,733,720,10,1,－,－,－,－,－,2,－,50,－,－,－,－,－,－,98.2,－,－
公立,総数（男・女）,2,小平市,令和5,2023,3月,1398,1387,2,2,－,－,－,－,－,7,－,102,－,－,－,－,－,－,99.2,－,－
公立,総数（男・女）,2,日野市,令和5,2023,3月,1412,1389,8,－,－,1,－,－,－,14,－,171,－,－,－,－,－,－,98.4,1,0.1
公立,総数（男・女）,2,東村山市,令和5,2023,3月,1201,1188,6,－,－,1,1,－,1,4,－,133,2,2,－,－,－,－,98.9,4,0.3
公立,総数（男・女）,2,国分寺市,令和5,2023,3月,823,816,3,－,－,－,－,－,－,4,－,69,－,－,－,－,－,－,99.1,－,－
公立,総数（男・女）,2,国立市,令和5,2023,3月,471,465,1,2,－,1,－,－,－,2,－,34,1,1,－,－,－,－,98.7,2,0.4
公立,総数（男・女）,2,福生市,令和5,2023,3月,348,340,1,－,－,－,－,－,－,7,－,32,－,－,－,－,－,－,97.7,－,－
公立,総数（男・女）,2,狛江市,令和5,2023,3月,468,465,2,1,－,－,－,－,－,－,－,28,－,－,－,－,－,－,99.4,－,－
公立,総数（男・女）,2,東大和市,令和5,2023,3月,714,705,1,3,－,1,－,1,－,3,－,55,－,－,－,－,－,－,98.7,1,0.1
公立,総数（男・女）,2,清瀬市,令和5,2023,3月,565,558,1,－,－,1,－,－,－,5,－,60,－,－,－,－,－,－,98.8,1,0.2
公立,総数（男・女）,2,東久留米市,令和5,2023,3月,867,850,8,1,－,－,－,－,－,8,－,80,－,－,－,－,－,－,98,－,－
公立,総数（男・女）,2,武蔵村山市,令和5,2023,3月,751,736,4,1,－,4,2,－,1,3,－,59,－,－,－,－,－,－,98,6,0.8
公立,総数（男・女）,2,多摩市,令和5,2023,3月,1070,1043,11,－,－,－,－,－,－,16,－,65,－,－,－,－,－,－,97.5,－,－
公立,総数（男・女）,2,稲城市,令和5,2023,3月,855,840,6,2,－,－,1,－,－,6,－,84,－,－,－,－,－,－,98.2,1,0.1
公立,総数（男・女）,2,羽村市,令和5,2023,3月,454,451,2,－,－,－,－,－,－,1,－,54,－,－,－,－,－,－,99.3,－,－
公立,総数（男・女）,2,あきる野市,令和5,2023,3月,703,695,6,－,－,1,－,－,－,1,－,61,－,－,－,－,－,－,98.9,1,0.1
公立,総数（男・女）,2,西東京市,令和5,2023,3月,1385,1367,5,2,－,－,－,－,－,11,－,99,－,－,－,－,－,－,98.7,－,－
公立,総数（男・女）,1,郡部,令和5,2023,3月,442,429,6,1,－,－,1,－,2,3,－,41,－,－,－,－,－,－,97.1,1,0.2
公立,総数（男・女）,2,瑞穂町,令和5,2023,3月,259,250,3,1,－,－,－,－,2,3,－,22,－,－,－,－,－,－,96.5,－,－
公立,総数（男・女）,2,日の出町,令和5,2023,3月,155,152,2,－,－,－,1,－,－,－,－,13,－,－,－,－,－,－,98.1,1,0.6
公立,総数（男・女）,2,檜原村,令和5,2023,3月,9,9,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,2,奥多摩町,令和5,2023,3月,19,18,1,－,－,－,－,－,－,－,－,6,－,－,－,－,－,－,94.7,－,－
公立,総数（男・女）,1,島部,令和5,2023,3月,194,189,1,1,－,－,－,－,－,3,－,10,－,－,－,－,－,－,97.4,－,－
公立,総数（男・女）,2,大島町,令和5,2023,3月,55,55,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,2,利島村,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数（男・女）,2,新島村,令和5,2023,3月,14,14,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,2,神津島村,令和5,2023,3月,15,14,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,93.3,－,－
公立,総数（男・女）,2,三宅村,令和5,2023,3月,12,12,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,2,御蔵島村,令和5,2023,3月,2,2,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,2,八丈町,令和5,2023,3月,61,58,1,－,－,－,－,－,－,2,－,4,－,－,－,－,－,－,95.1,－,－
公立,総数（男・女）,2,青ヶ島村,令和5,2023,3月,1,1,－,－,－,－,－,－,－,－,－,1,－,－,－,－,－,－,100,－,－
公立,総数（男・女）,2,小笠原村,令和5,2023,3月,34,33,－,1,－,－,－,－,－,－,－,2,－,－,－,－,－,－,97.1,－,－
私立,総数（男・女）,0,総数,平成30,2018,3月,24192,24005,35,6,1,－,－,1,1,139,4,488,－,－,－,－,－,－,99.2,－,－
私立,総数（男・女）,0,総数,平成31,2019,3月,24663,24474,40,2,－,－,－,－,－,144,3,485,1,1,－,－,－,－,99.2,1,0
私立,総数（男・女）,0,総数,令和2,2020,3月,24098,23935,41,2,－,－,－,－,－,117,3,540,－,－,－,－,－,－,99.3,－,－
私立,総数（男・女）,0,総数,令和3,2021,3月,24459,24355,29,1,－,－,－,－,－,73,1,544,－,－,－,－,－,－,99.6,－,－
私立,総数（男・女）,0,総数,令和4,2022,3月,25331,25176,40,5,－,－,－,－,－,107,3,560,－,－,－,－,－,－,99.4,－,－
私立,総数（男・女）,0,総数,令和5,2023,3月,25798,25615,46,2,－,1,－,－,－,134,－,514,－,－,－,－,－,－,99.3,1,0
私立,総数（男・女）,1,区部,令和5,2023,3月,20444,20332,3,1,－,1,－,－,－,107,－,410,－,－,－,－,－,－,99.5,1,－
私立,総数（男・女）,2,千代田区,令和5,2023,3月,1790,1785,－,－,－,－,－,－,－,5,－,9,－,－,－,－,－,－,99.7,－,－
私立,総数（男・女）,2,中央区,令和5,2023,3月,168,168,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,港区,令和5,2023,3月,2396,2380,－,－,－,－,－,－,－,16,－,164,－,－,－,－,－,－,99.3,－,－
私立,総数（男・女）,2,新宿区,令和5,2023,3月,1164,1161,－,－,－,－,－,－,－,3,－,8,－,－,－,－,－,－,99.7,－,－
私立,総数（男・女）,2,文京区,令和5,2023,3月,1691,1685,－,－,－,－,－,－,－,6,－,19,－,－,－,－,－,－,99.6,－,－
私立,総数（男・女）,2,台東区,令和5,2023,3月,41,40,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,97.6,－,－
私立,総数（男・女）,2,墨田区,令和5,2023,3月,370,367,－,－,－,－,－,－,－,3,－,7,－,－,－,－,－,－,99.2,－,－
私立,総数（男・女）,2,江東区,令和5,2023,3月,450,445,－,－,－,－,－,－,－,5,－,11,－,－,－,－,－,－,98.9,－,－
私立,総数（男・女）,2,品川区,令和5,2023,3月,1032,1022,－,－,－,－,－,－,－,10,－,9,－,－,－,－,－,－,99,－,－
私立,総数（男・女）,2,目黒区,令和5,2023,3月,561,556,1,－,－,－,－,－,－,4,－,3,－,－,－,－,－,－,99.1,－,－
私立,総数（男・女）,2,大田区,令和5,2023,3月,205,205,－,－,－,－,－,－,－,－,－,21,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,世田谷区,令和5,2023,3月,2896,2874,－,－,－,1,－,－,－,21,－,22,－,－,－,－,－,－,99.2,1,0
私立,総数（男・女）,2,渋谷区,令和5,2023,3月,1005,993,－,－,－,－,－,－,－,12,－,6,－,－,－,－,－,－,98.8,－,－
私立,総数（男・女）,2,中野区,令和5,2023,3月,813,813,－,－,－,－,－,－,－,－,－,17,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,杉並区,令和5,2023,3月,1376,1373,－,－,－,－,－,－,－,3,－,14,－,－,－,－,－,－,99.8,－,－
私立,総数（男・女）,2,豊島区,令和5,2023,3月,1621,1614,－,1,－,－,－,－,－,6,－,14,－,－,－,－,－,－,99.6,－,－
私立,総数（男・女）,2,北区,令和5,2023,3月,704,698,2,－,－,－,－,－,－,4,－,29,－,－,－,－,－,－,99.1,－,－
私立,総数（男・女）,2,荒川区,令和5,2023,3月,321,321,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,板橋区,令和5,2023,3月,721,718,－,－,－,－,－,－,－,3,－,9,－,－,－,－,－,－,99.6,－,－
私立,総数（男・女）,2,練馬区,令和5,2023,3月,566,565,－,－,－,－,－,－,－,1,－,－,－,－,－,－,－,－,99.8,－,－
私立,総数（男・女）,2,足立区,令和5,2023,3月,181,181,－,－,－,－,－,－,－,－,－,3,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,葛飾区,令和5,2023,3月,182,179,－,－,－,－,－,－,－,3,－,34,－,－,－,－,－,－,98.4,－,－
私立,総数（男・女）,2,江戸川区,令和5,2023,3月,190,189,－,－,－,－,－,－,－,1,－,6,－,－,－,－,－,－,99.5,－,－
私立,総数（男・女）,1,市部,令和5,2023,3月,5354,5283,43,1,－,－,－,－,－,27,－,104,－,－,－,－,－,－,98.7,－,－
私立,総数（男・女）,2,八王子市,令和5,2023,3月,828,825,－,－,－,－,－,－,－,3,－,10,－,－,－,－,－,－,99.6,－,－
私立,総数（男・女）,2,立川市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,武蔵野市,令和5,2023,3月,651,648,－,－,－,－,－,－,－,3,－,12,－,－,－,－,－,－,99.5,－,－
私立,総数（男・女）,2,三鷹市,令和5,2023,3月,273,273,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,青梅市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,府中市,令和5,2023,3月,130,126,－,1,－,－,－,－,－,3,－,1,－,－,－,－,－,－,96.9,－,－
私立,総数（男・女）,2,昭島市,令和5,2023,3月,67,65,－,－,－,－,－,－,－,2,－,6,－,－,－,－,－,－,97,－,－
私立,総数（男・女）,2,調布市,令和5,2023,3月,590,586,2,－,－,－,－,－,－,2,－,3,－,－,－,－,－,－,99.3,－,－
私立,総数（男・女）,2,町田市,令和5,2023,3月,724,714,5,－,－,－,－,－,－,5,－,27,－,－,－,－,－,－,98.6,－,－
私立,総数（男・女）,2,小金井市,令和5,2023,3月,421,389,32,－,－,－,－,－,－,－,－,6,－,－,－,－,－,－,92.4,－,－
私立,総数（男・女）,2,小平市,令和5,2023,3月,253,253,－,－,－,－,－,－,－,－,－,2,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,日野市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,東村山市,令和5,2023,3月,178,177,1,－,－,－,－,－,－,－,－,8,－,－,－,－,－,－,99.4,－,－
私立,総数（男・女）,2,国分寺市,令和5,2023,3月,232,227,－,－,－,－,－,－,－,5,－,4,－,－,－,－,－,－,97.8,－,－
私立,総数（男・女）,2,国立市,令和5,2023,3月,324,324,－,－,－,－,－,－,－,－,－,7,－,－,－,－,－,－,100,－,－
私立,総数（男・女）,2,福生市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,狛江市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,東大和市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,清瀬市,令和5,2023,3月,27,26,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,96.3,－,－
私立,総数（男・女）,2,東久留米市,令和5,2023,3月,79,77,－,－,－,－,－,－,－,2,－,－,－,－,－,－,－,－,97.5,－,－
私立,総数（男・女）,2,武蔵村山市,令和5,2023,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,総数（男・女）,2,多摩市,令和5,2023,3月,313,313,－,－,－,－,－,－,－,－,－,7,－,－,－,－,－,－,100,－,－
