種別,和暦（年度）,西暦（年度）,学校数（校）,学校数／本校（校）,学校数／分校（校）,学級数（学級）,児童数（人）,児童数／男（人）,児童数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）
総数（国・公・私立）,平成23,2011,819,818,1,9466,311982,157266,154716,19055,11062,7993
総数（国・公・私立）,平成24,2012,819,818,1,9521,311758,157495,154263,19209,11058,8151
総数（国・公・私立）,平成25,2013,818,817,1,9662,312764,158290,154474,19406,11097,8309
総数（国・公・私立）,平成26,2014,817,816,1,9662,311841,157836,154005,19491,11060,8431
総数（国・公・私立）,平成27,2015,815,814,1,9652,310874,157418,153456,19586,11096,8490
総数（国・公・私立）,平成28,2016,808,807,1,9524,306820,155675,151145,19387,10982,8405
総数（国・公・私立）,平成29,2017,807,806,1,9450,304199,154402,149797,19471,11030,8441
総数（国・公・私立）,平成30,2018,804,803,1,9346,300085,152361,147724,19301,10912,8389
総数（国・公・私立）,令和元,2019,804,803,1,9448,300377,152593,147784,19524,11058,8466
総数（国・公・私立）,令和2,2020,803,802,1,9597,304405,155077,149328,19736,11140,8596
総数（国・公・私立）,令和3,2021,801,800,1,9638,311049,158644,152405,20183,11359,8824
総数（国・公・私立）,令和4,2022,801,800,1,9750,313353,159682,153671,20199,11381,8818
総数（国・公・私立）,令和5,2023,800,799,1,9835,314459,160228,154231,20415,11496,8919
,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,
付表　学校数等の推移　１－４学校数等の推移（中学校）,,,,,,,,,,,,
注）学級数の昭和53年度までの数値は、在籍生徒のいない学級、通級制の学級及び日本語学級等を除いた実学級を計上したが、昭和54年度からは認可届出学級数で計上している。また、平成10年度から通級制の学級は計上していない。,,,,,,,,,,,,
