種別,区分,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／０歳児（人）,在園者数／１歳児（人）,在園者数／２歳児（人）,在園者数／３歳児（人）,在園者数／４歳児（人）,在園者数／５歳児（人）,本年度入園者数（人）,本年度入園者数／男（人）,本年度入園者数／女（人）,本年度入園者数／３歳児（人）,本年度入園者数／４歳児（人）,本年度入園者数／５歳児（人）
総数（国・公・私立）,総数,8709,4445,4264,323,845,978,2121,2210,2232,1932,1008,924,1250,396,286
国立,総数,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,総数,983,533,450,32,99,127,200,252,273,140,79,61,69,64,7
私立,総数,7726,3912,3814,291,746,851,1921,1958,1959,1792,929,863,1181,332,279
私立,学校法人立,4811,2408,2403,111,321,371,1300,1349,1359,1248,648,600,919,183,146
私立,社会福祉法人立,2915,1504,1411,180,425,480,621,609,600,544,281,263,262,149,133
,,,,,,,,,,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,,,,,,,,,,
３－３  幼保連携型認定こども園　設置者、年齢別在園者数及び本年度入園者数,,,,,,,,,,,,,,,,
