種別,地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／校長／男（人）,教員数（本務者）／校長／女（人）,教員数（本務者）／副校長／男（人）,教員数（本務者）／副校長／女（人）,教員数（本務者）／教頭／男（人）,教員数（本務者）／教頭／女（人）,教員数（本務者）／主幹教諭／男（人）,教員数（本務者）／主幹教諭／女（人）,教員数（本務者）／指導教諭／男（人）,教員数（本務者）／指導教諭／女（人）,教員数（本務者）／教諭／男（人）,教員数（本務者）／教諭／女（人）,教員数（本務者）／助教諭／男（人）,教員数（本務者）／助教諭／女（人）,教員数（本務者）／養護教諭／男（人）,教員数（本務者）／養護教諭／女（人）,教員数（本務者）／養護助教諭／男（人）,教員数（本務者）／養護助教諭／女（人）,教員数（本務者）／栄養教諭／男（人）,教員数（本務者）／栄養教諭／女（人）,教員数（本務者）／講師／男（人）,教員数（本務者）／講師／女（人）,教員数（兼務者）／男（人）,教員数（兼務者）／女（人）
総数（国・公・私立）,0,総数,平成30,2018,19333,12760,6573,345,50,307,40,183,35,930,216,86,37,10554,5516,－,－,－,426,－,－,－,－,355,253,5556,5095
総数（国・公・私立）,0,総数,令和元,2019,19265,12711,6554,348,48,294,49,181,39,902,216,96,29,10510,5515,－,－,1,429,－,－,－,－,379,229,5439,5193
総数（国・公・私立）,0,総数,令和2,2020,19254,12705,6549,347,48,290,54,186,39,877,215,100,30,10544,5509,－,1,1,439,－,－,－,－,360,214,5486,5173
総数（国・公・私立）,0,総数,令和3,2021,19238,12626,6612,354,41,292,59,176,43,848,219,108,37,10413,5528,－,－,－,443,－,－,－,－,435,242,5616,5039
総数（国・公・私立）,0,総数,令和4,2022,19096,12437,6659,353,46,287,60,186,45,852,215,91,30,10309,5587,－,－,1,448,－,－,－,－,358,228,5527,5023
総数（国・公・私立）,0,総数,令和5,2023,19216,12443,6773,343,58,288,58,192,43,804,210,82,30,10364,5684,－,－,2,459,－,－,－,－,368,231,5534,4974
総数（国・公・私立）,1,区部,令和5,2023,13647,8876,4771,241,43,193,38,151,37,525,149,52,25,7450,3993,－,－,1,328,－,－,－,－,263,158,4083,3711
総数（国・公・私立）,2,千代田区,令和5,2023,736,428,308,15,3,7,－,14,6,10,10,10,6,340,239,－,－,－,13,－,－,－,－,32,31,184,279
総数（国・公・私立）,2,中央区,令和5,2023,91,47,44,2,－,1,－,1,－,5,4,－,－,38,39,－,－,－,1,－,－,－,－,－,－,46,20
総数（国・公・私立）,2,港区,令和5,2023,802,512,290,12,4,10,－,12,2,33,12,4,1,431,245,－,－,－,17,－,－,－,－,10,9,289,315
総数（国・公・私立）,2,新宿区,令和5,2023,497,348,149,8,2,7,－,4,2,19,4,2,1,308,125,－,－,－,15,－,－,－,－,－,－,196,232
総数（国・公・私立）,2,文京区,令和5,2023,863,568,295,18,2,9,2,14,2,17,4,10,2,470,244,－,－,－,18,－,－,－,－,30,21,390,355
総数（国・公・私立）,2,台東区,令和5,2023,398,258,140,4,2,6,3,1,1,15,9,－,－,225,113,－,－,1,10,－,－,－,－,6,2,110,118
総数（国・公・私立）,2,墨田区,令和5,2023,366,251,115,6,－,7,1,1,－,23,3,1,－,213,104,－,－,－,7,－,－,－,－,－,－,95,56
総数（国・公・私立）,2,江東区,令和5,2023,525,339,186,11,1,10,1,4,1,34,9,－,－,275,158,－,－,－,14,－,－,－,－,5,2,121,67
総数（国・公・私立）,2,品川区,令和5,2023,531,343,188,12,－,8,1,7,3,12,8,1,1,276,157,－,－,－,11,－,－,－,－,27,7,173,162
総数（国・公・私立）,2,目黒区,令和5,2023,491,321,170,9,1,11,1,7,2,13,4,1,2,275,146,－,－,－,12,－,－,－,－,5,2,122,114
総数（国・公・私立）,2,大田区,令和5,2023,659,435,224,12,2,15,2,4,2,30,12,－,－,357,184,－,－,－,15,－,－,－,－,17,7,171,103
総数（国・公・私立）,2,世田谷区,令和5,2023,1600,1027,573,28,8,18,3,22,5,57,13,4,6,866,476,－,－,－,39,－,－,－,－,32,23,507,510
総数（国・公・私立）,2,渋谷区,令和5,2023,474,268,206,7,3,6,3,6,3,11,3,2,1,235,178,－,－,－,13,－,－,－,－,1,2,88,107
総数（国・公・私立）,2,中野区,令和5,2023,584,418,166,11,－,8,2,7,－,26,8,3,－,344,132,－,－,－,20,－,－,－,－,19,4,124,101
総数（国・公・私立）,2,杉並区,令和5,2023,931,610,321,15,3,11,2,10,2,34,10,2,－,514,280,－,－,－,19,－,－,－,－,24,5,225,251
総数（国・公・私立）,2,豊島区,令和5,2023,668,470,198,13,1,5,2,12,2,23,4,7,3,403,166,－,－,－,12,－,－,－,－,7,8,334,224
総数（国・公・私立）,2,北区,令和5,2023,717,460,257,12,2,11,3,9,3,18,7,－,－,391,208,－,－,－,18,－,－,－,－,19,16,163,166
総数（国・公・私立）,2,荒川区,令和5,2023,171,128,43,3,－,3,－,2,－,7,4,－,－,113,32,－,－,－,4,－,－,－,－,－,3,50,23
総数（国・公・私立）,2,板橋区,令和5,2023,585,394,191,11,1,10,－,5,1,29,3,－,1,339,170,－,－,－,15,－,－,－,－,－,－,188,148
総数（国・公・私立）,2,練馬区,令和5,2023,550,348,202,10,2,7,3,3,－,27,4,－,－,299,177,－,－,－,13,－,－,－,－,2,3,225,131
総数（国・公・私立）,2,足立区,令和5,2023,505,315,190,8,3,8,5,1,－,31,9,3,1,257,148,－,－,－,16,－,－,－,－,7,8,88,65
総数（国・公・私立）,2,葛飾区,令和5,2023,368,240,128,6,1,9,－,2,－,21,3,－,－,197,111,－,－,－,11,－,－,－,－,5,2,77,72
総数（国・公・私立）,2,江戸川区,令和5,2023,535,348,187,8,2,6,4,3,－,30,2,2,－,284,161,－,－,－,15,－,－,－,－,15,3,117,92
総数（国・公・私立）,1,市部,令和5,2023,5328,3396,1932,94,15,82,20,41,6,264,57,30,5,2779,1632,－,－,1,124,－,－,－,－,105,73,1432,1235
総数（国・公・私立）,2,八王子市,令和5,2023,841,542,299,15,3,11,3,7,1,36,10,5,2,453,256,－,－,－,20,－,－,－,－,15,4,230,156
総数（国・公・私立）,2,立川市,令和5,2023,266,164,102,4,－,4,1,2,－,10,2,2,1,128,78,－,－,－,6,－,－,－,－,14,14,85,41
総数（国・公・私立）,2,武蔵野市,令和5,2023,237,143,94,5,－,2,1,3,－,7,3,2,－,124,86,－,－,－,4,－,－,－,－,－,－,86,91
総数（国・公・私立）,2,三鷹市,令和5,2023,148,101,47,2,1,2,－,1,－,1,－,－,－,80,37,－,－,－,2,－,－,－,－,15,7,66,48
総数（国・公・私立）,2,青梅市,令和5,2023,116,67,49,1,1,2,1,－,－,9,3,－,－,55,39,－,－,－,5,－,－,－,－,－,－,18,14
総数（国・公・私立）,2,府中市,令和5,2023,332,223,109,6,－,5,2,2,－,22,5,－,－,179,87,－,－,－,8,－,－,－,－,9,7,39,42
総数（国・公・私立）,2,昭島市,令和5,2023,124,78,46,3,－,2,－,1,－,5,1,－,－,66,42,－,－,－,2,－,－,－,－,1,1,38,31
総数（国・公・私立）,2,調布市,令和5,2023,281,169,112,6,－,6,1,2,1,13,3,－,－,140,97,－,－,－,8,－,－,－,－,2,2,148,180
総数（国・公・私立）,2,町田市,令和5,2023,587,384,203,8,3,9,2,5,－,38,5,1,－,318,177,－,－,－,14,－,－,－,－,5,2,162,132
総数（国・公・私立）,2,小金井市,令和5,2023,240,171,69,5,－,3,1,3,1,10,－,1,－,149,62,－,－,－,5,－,－,－,－,－,－,105,98
総数（国・公・私立）,2,小平市,令和5,2023,311,208,103,6,－,4,1,3,－,10,1,2,－,168,87,－,－,－,6,－,－,－,－,15,8,67,59
総数（国・公・私立）,2,日野市,令和5,2023,157,98,59,2,1,2,1,－,－,14,2,－,－,80,52,－,－,－,3,－,－,－,－,－,－,14,9
総数（国・公・私立）,2,東村山市,令和5,2023,208,129,79,4,1,5,－,2,－,6,1,－,－,95,61,－,－,1,5,－,－,－,－,16,11,34,45
総数（国・公・私立）,2,国分寺市,令和5,2023,109,80,29,2,－,1,－,1,－,4,1,1,－,71,26,－,－,－,2,－,－,－,－,－,－,25,20
総数（国・公・私立）,2,国立市,令和5,2023,187,121,66,3,1,4,1,1,－,10,2,3,1,96,58,－,－,－,3,－,－,－,－,4,－,99,71
総数（国・公・私立）,2,福生市,令和5,2023,99,69,30,2,－,3,－,－,－,10,1,1,－,53,25,－,－,－,4,－,－,－,－,－,－,22,12
総数（国・公・私立）,2,狛江市,令和5,2023,52,30,22,1,－,－,1,－,－,5,1,－,－,24,19,－,－,－,1,－,－,－,－,－,－,6,2
総数（国・公・私立）,2,東大和市,令和5,2023,93,59,34,2,－,1,1,－,－,6,1,－,－,50,30,－,－,－,2,－,－,－,－,－,－,9,7
総数（国・公・私立）,2,清瀬市,令和5,2023,65,40,25,2,－,1,－,－,1,5,－,－,－,31,22,－,－,－,2,－,－,－,－,1,－,13,13
総数（国・公・私立）,2,東久留米市,令和5,2023,134,77,57,3,－,2,1,2,－,9,4,1,－,60,42,－,－,－,4,－,－,－,－,－,6,22,12
総数（国・公・私立）,2,武蔵村山市,令和5,2023,162,97,65,2,1,1,1,2,－,6,2,9,－,77,59,－,－,－,2,－,－,－,－,－,－,18,32
総数（国・公・私立）,2,多摩市,令和5,2023,93,52,41,2,1,1,－,1,－,4,1,2,－,41,37,－,－,－,2,－,－,－,－,1,－,29,40
総数（国・公・私立）,2,稲城市,令和5,2023,77,38,39,1,1,1,－,－,1,3,1,－,－,33,34,－,－,－,2,－,－,－,－,－,－,8,22
総数（国・公・私立）,2,羽村市,令和5,2023,48,31,17,1,－,1,－,－,－,2,2,－,－,27,14,－,－,－,1,－,－,－,－,－,－,2,1
総数（国・公・私立）,2,あきる野市,令和5,2023,150,105,45,2,1,5,1,2,－,7,1,－,－,83,31,－,－,－,5,－,－,－,－,6,6,38,20
総数（国・公・私立）,2,西東京市,令和5,2023,211,120,91,4,－,4,－,1,1,12,4,－,1,98,74,－,－,－,6,－,－,－,－,1,5,49,37
総数（国・公・私立）,1,郡部,令和5,2023,59,37,22,1,－,2,－,－,－,3,2,－,－,31,18,－,－,－,2,－,－,－,－,－,－,9,11
総数（国・公・私立）,2,瑞穂町,令和5,2023,59,37,22,1,－,2,－,－,－,3,2,－,－,31,18,－,－,－,2,－,－,－,－,－,－,9,11
総数（国・公・私立）,2,日の出町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,檜原村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,奥多摩町,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,1,島部,令和5,2023,182,134,48,7,－,11,－,－,－,12,2,－,－,104,41,－,－,－,5,－,－,－,－,－,－,10,17
総数（国・公・私立）,2,大島町,令和5,2023,75,57,18,2,－,5,－,－,－,7,－,－,－,43,16,－,－,－,2,－,－,－,－,－,－,4,2
総数（国・公・私立）,2,利島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,新島村,令和5,2023,15,11,4,1,－,1,－,－,－,－,－,－,－,9,3,－,－,－,1,－,－,－,－,－,－,3,2
総数（国・公・私立）,2,神津島村,令和5,2023,15,10,5,1,－,1,－,－,－,1,－,－,－,7,5,－,－,－,－,－,－,－,－,－,－,3,1
総数（国・公・私立）,2,三宅村,令和5,2023,24,14,10,1,－,1,－,－,－,1,－,－,－,11,8,－,－,－,2,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,御蔵島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,八丈町,令和5,2023,37,29,8,1,－,2,－,－,－,3,1,－,－,23,7,－,－,－,－,－,－,－,－,－,－,－,10
総数（国・公・私立）,2,青ヶ島村,令和5,2023,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
総数（国・公・私立）,2,小笠原村,令和5,2023,16,13,3,1,－,1,－,－,－,－,1,－,－,11,2,－,－,－,－,－,－,－,－,－,－,－,2
総数（国・公・私立）,0,総数のうち全日制（再掲）,令和5,2023,17871,11584,6287,330,57,230,51,188,43,721,183,82,30,9679,5310,－,－,2,388,－,－,－,－,352,225,5237,4669
