種別,和暦（年度）,西暦（年度）,学校数（校）,学級数（学級）,生徒数（人）,担当教員数／本務者（人）,担当教員数／兼務者（人）
総数（公立）,平成30,2018,8,32,340,77,33
総数（公立）,令和元,2019,8,31,269,75,40
総数（公立）,令和2,2020,8,28,211,77,39
総数（公立）,令和3,2021,8,30,244,74,40
総数（公立）,令和4,2022,8,29,214,72,32
総数（公立）,令和5,2023,8,30,206,75,39
,,,,,,,
令和５年度　学校基本統計（学校基本調査報告）,,,,,,,
５－９　中学校　夜間その他特別な時間において授業を行っている学級数・生徒数・教員数,,,,,,,
注）国立・私立は、夜間その他特別な時間において授業を行っていない。,,,,,,,
