種別,性別,地域階層,地域,和暦（年）,西暦（年）,月,高等学校等進学者数（人）,高等学校等進学者数／高等学校本科（人）,高等学校等進学者数／高等学校本科／全日制（人）,高等学校等進学者数／高等学校本科／定時制（人）,高等学校等進学者数／高等学校本科／通信制（人）,高等学校等進学者数／中等教育学校後期課程本科（人）,高等学校等進学者数／中等教育学校後期課程本科／全日制（人）,高等学校等進学者数／中等教育学校後期課程本科／定時制（人）,高等学校等進学者数／高等学校別科（人）,高等学校等進学者数／中等教育学校後期課程別科（人）,高等学校等進学者数／高等専門学校（人）,高等学校等進学者数／特別支援学校高等部（人）,高等学校等進学者数／特別支援学校高等部／本科（人）,高等学校等進学者数／特別支援学校高等部／別科（人）
総数（国・公・私立）,総数（男・女）,0,総数,平成30,2018,3月,100962,99425,94405,2510,2510,3,3,－,－,－,462,1072,1072,－
総数（国・公・私立）,総数（男・女）,0,総数,平成31,2019,3月,100819,99381,93737,2471,3173,－,－,－,－,－,460,978,978,－
総数（国・公・私立）,総数（男・女）,0,総数,令和2,2020,3月,99230,97831,91736,2512,3583,2,2,－,－,－,471,926,926,－
総数（国・公・私立）,総数（男・女）,0,総数,令和3,2021,3月,97068,95654,89406,2246,4002,－,－,－,－,－,435,979,979,－
総数（国・公・私立）,総数（男・女）,0,総数,令和4,2022,3月,101173,99693,92580,2548,4565,1,1,－,1,－,459,1019,1019,－
総数（国・公・私立）,総数（男・女）,0,総数,令和5,2023,3月,102702,101199,93406,2606,5187,1,1,－,－,－,478,1024,1024,－
総数（国・公・私立）,総数（男・女）,1,区部,令和5,2023,3月,66466,65603,61071,1553,2979,－,－,－,－,－,264,599,599,－
総数（国・公・私立）,総数（男・女）,2,千代田区,令和5,2023,3月,2063,2054,2001,6,47,－,－,－,－,－,4,5,5,－
総数（国・公・私立）,総数（男・女）,2,中央区,令和5,2023,3月,700,687,619,19,49,－,－,－,－,－,6,7,7,－
総数（国・公・私立）,総数（男・女）,2,港区,令和5,2023,3月,3108,3088,3001,22,65,－,－,－,－,－,10,10,10,－
