,,,,,,,,,（単位：TEU）,
航路別,合計,,,出貨,,,入貨,,,
,計,実入,空,計,実入,空,計,実入,空,
合計,"5,007,165","3,586,794","1,420,371","2,455,264","1,064,935","1,390,329","2,551,901","2,521,859","30,042",
外航計,"4,513,742","3,310,715","1,203,027","2,128,992","934,492","1,194,500","2,384,750","2,376,223","8,527",
外航定期計,"4,513,742","3,310,715","1,203,027","2,128,992","934,492","1,194,500","2,384,750","2,376,223","8,527",
世界一周,-,-,-,-,-,-,-,-,-,
北米西岸(メキシコ含む),"541,318","373,567","167,751","275,739","110,764","164,975","265,579","262,803","2,776",
北米東岸(カリビア海含む),"142,129","114,187","27,942","81,448","53,675","27,773","60,681","60,512",169,
北欧・地中海,"357,100","326,203","30,897","204,892","174,469","30,423","152,208","151,734",474,
南米西岸,"53,724","32,888","20,836","25,019","4,524","20,495","28,705","28,364",341,
南米東岸,-,-,-,-,-,-,-,-,-,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,
アフリカ,-,-,-,-,-,-,-,-,-,
オセアニア,"25,531","17,819","7,712","10,419","2,844","7,575","15,112","14,975",137,
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,
東南アジア,"1,719,464","1,430,352","289,112","686,510","399,925","286,585","1,032,954","1,030,427","2,527",
台湾,-,-,-,-,-,-,-,-,-,
韓国,"186,659","129,978","56,681","90,663","34,728","55,935","95,996","95,250",746,
中国(香港含む),"1,487,816","885,720","602,096","754,302","153,563","600,739","733,514","732,157","1,357",
ナホトカ,-,-,-,-,-,-,-,-,-,
外航不定期,-,-,-,-,-,-,-,-,-,
内航計,"493,423","276,079","217,344","326,272","130,443","195,829","167,151","145,636","21,515",
内航定期計,"277,881","226,195","51,686","135,183","104,201","30,982","142,698","121,994","20,704",
北海道,"85,163","80,541","4,622","45,464","41,142","4,322","39,699","39,399",300,
東北,"50,750","39,431","11,319","28,603","17,986","10,617","22,147","21,445",702,
関東,261,91,170,178,8,170,83,83,-,
伊豆諸島,307,307,-,222,222,-,85,85,-,
中部,"37,254","25,976","11,278","15,118","3,992","11,126","22,136","21,984",152,
近畿,"16,568","11,852","4,716","5,630","1,066","4,564","10,938","10,786",152,
中国,-,-,-,-,-,-,-,-,-,
四国,-,-,-,-,-,-,-,-,-,
九州,"33,950","33,094",856,"12,977","12,833",144,"20,973","20,261",712,
沖縄,"53,628","34,903","18,725","26,991","26,952",39,"26,637","7,951","18,686",
内航不定期,"215,534","49,878","165,656","191,085","26,238","164,847","24,449","23,640",809,
,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,
*端数処理（四捨五入）のため総数と内訳の計とが一致しない場合がある。,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
