,,(単位：隻、総トン）,,,
国籍,隻数,総トン数,,,
中国,"1,491","22,905,950",,,
(香港),"1,413","21,260,394",,,
パナマ,917,"37,783,779",,,
シンガポール,547,"17,281,316",,,
リベリア,478,"13,224,811",,,
韓国,327,"3,086,647",,,
バハマ,296,"5,431,342",,,
マーシャル諸島,269,"10,633,986",,,
アンティグア･バーブーダ,235,"2,429,474",,,
キプロス,153,"1,961,935",,,
ポルトガル,96,"3,196,849",,,
マルタ,88,"2,614,465",,,
台湾,68,"3,124,106",,,
イギリス,59,"3,125,530",,,
蘭領アンティル,55,"492,782",,,
ドイツ,32,"2,890,059",,,
タイ,27,"263,439",,,
ベリーズ,26,"128,815",,,
日本,17,"1,226,868",,,
シエラレオネ,16,"68,863",,,
モントセラト,10,"783,160",,,
イタリア,9,"667,833",,,
デンマーク,8,"215,591",,,
ノルウェー,7,"267,874",,,
カタール,3,"114,960",,,
ベトナム,3,"29,859",,,
ベルギー,2,"84,719",,,
パラオ,2,"9,448",,,
トーゴ,2,"4,579",,,
ニウエ,1,"4,519",,,
チリ,1,"3,673",,,
キリバス,1,"2,911",,,
フィリピン,1,"2,098",,,
,,,,,
,,,,,
合計,"5,247","134,062,240",,,
