７　外貿コンテナ貨物　‐取扱動向‐,,,,,
,,,,,
,外貿コンテナ貨物量,,,,
,,貨物量,前年比,（外貿貨物量）,コンテナ化率
,合計,"46,663千トン",97.30%,"48,494千トン",96.20%
,輸出,"12,155千トン",95.20%,"12,735千トン",95.40%
,輸入,"34,508千トン",98.00%,"35,759千トン",96.50%
