,,,,,,(単位：隻、総トン）
トン数階級別,計,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"23,382","179,911,843","5,247","134,062,240","18,135","45,849,603"
500トン未満,"9,540","3,646,908",1,379,"9,539","3,646,529"
5～99,291,"19,894",-,-,291,"19,894"
100～199,"1,683","297,477",-,-,"1,683","297,477"
200～299,"1,419","367,952",-,-,"1,419","367,952"
300～399,289,"115,006",1,379,288,"114,627"
400～499,"5,858","2,846,579",-,-,"5,858","2,846,579"
500トン以上5000トン未満,"5,438","8,552,055",89,"294,213","5,349","8,257,842"
500～699,634,"400,406",-,-,634,"400,406"
700～999,"2,375","1,785,841",-,-,"2,375","1,785,841"
"1,000～1,999",804,"1,072,676",28,"52,728",776,"1,019,948"
"2,000～2,999",961,"2,445,724",15,"36,967",946,"2,408,757"
"3,000～3,999",309,"1,132,161",9,"32,628",300,"1,099,533"
"4,000～4,999",355,"1,715,247",37,"171,890",318,"1,543,357"
"5,000トン以上10,000トン未満","3,544","30,403,334","2,463","22,896,087","1,081","7,507,247"
"5,000～5,999",647,"3,558,820",24,"131,383",623,"3,427,437"
"6,000～6,999",94,"615,175",64,"417,827",30,"197,348"
"7,000～7,999",396,"2,936,140",279,"2,048,818",117,"887,322"
"8,000～8,999",196,"1,657,295",157,"1,343,072",39,"314,223"
"9,000～9,999","2,211","21,635,904","1,939","18,954,987",272,"2,680,917"
"10,000トン以上30,000トン未満","3,533","55,337,997","1,369","29,000,296","2,164","26,337,701"
"10,000～19,999","2,943","39,730,645",782,"13,469,480","2,161","26,261,165"
"20,000～29,999",590,"15,607,352",587,"15,530,816",3,"76,536"
"30,000トン以上60,000トン未満",812,"34,282,692",810,"34,182,408",2,"100,284"
"30,000～39,999",288,"9,916,089",288,"9,916,089",-,-
"40,000～49,999",347,"14,781,603",347,"14,781,603",-,-
"50,000～59,999",177,"9,585,000",175,"9,484,716",2,"100,284"
"60,000トン以上",515,"47,688,857",515,"47,688,857",-,-
,,,,,,
*入港最大船舶,船名,MSC NATASHA,,,"141,649",トン
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
