 10 輸出貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,,
品種,,ロサンゼルス,上海,タコマ,レムチャバン,ロッテルダム,ハイフォン,寧波－舟山,香港,品種,,サバンナ,ジャカルタ,釜山,ポートケラン,シンガポール,ハンブルグ,仁川,,,,,
合計,,"1,199,339","772,034","602,849","563,927","472,876","466,397","443,110","426,006",合計,,"419,908","276,361","274,102","239,775","225,101","220,690","198,920",,,,,
農水産品,,"7,460",443,"1,505","28,341",193,"8,510",494,"20,354",農水産品,,-,230,"4,279","1,458","10,898",286,15,,,,,
1,麦,-,-,-,-,-,-,-,-,1,麦,-,-,-,-,-,-,-,,,,,
2,米,"1,309",-,-,-,90,-,-,589,2,米,-,54,-,12,494,24,-,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,3,とうもろこし,-,-,-,-,30,-,-,,,,,
4,豆類,-,-,33,-,30,-,-,59,4,豆類,-,-,-,-,-,-,-,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,5,その他雑穀,-,-,-,-,-,-,-,,,,,
6,野菜・果物,141,-,45,"1,078",-,390,45,"6,674",6,野菜・果物,-,60,-,369,"2,543",75,-,,,,,
7,綿花,-,65,-,-,-,-,30,-,7,綿花,-,-,-,-,-,-,-,,,,,
8,その他農産品,"2,110",371,-,10,68,57,419,408,8,その他農産品,-,12,55,714,"2,092",142,15,,,,,
9,羊毛,-,-,-,-,-,-,-,-,9,羊毛,-,-,-,-,-,-,-,,,,,
10,その他畜産品,612,-,-,"12,182",-,"2,400",-,"7,101",10,その他畜産品,-,-,885,-,"1,333",-,-,,,,,
11,水産品,"3,288",7,"1,427","15,071",5,"5,663",-,"5,523",11,水産品,-,104,"3,339",363,"4,406",45,-,,,,,
林産品,,-,"1,430",-,141,-,37,127,3,林産品,,-,124,105,-,5,-,11,,,,,
12,原木,-,84,-,-,-,-,-,-,12,原木,-,-,104,-,-,-,11,,,,,
13,製材,-,"1,285",-,-,-,-,-,1,13,製材,-,61,-,-,-,-,-,,,,,
14,樹脂類,-,61,-,10,-,37,81,-,14,樹脂類,-,60,1,-,5,-,-,,,,,
15,木材チップ,-,-,-,131,-,-,-,-,15,木材チップ,-,-,-,-,-,-,-,,,,,
16,その他林産品,-,-,-,-,-,-,46,-,16,その他林産品,-,3,-,-,-,-,-,,,,,
17,薪炭,-,-,-,-,-,-,-,2,17,薪炭,-,-,-,-,-,-,-,,,,,
鉱産品,,"1,156","4,980",-,487,31,90,276,361,鉱産品,,795,893,867,160,75,86,45,,,,,
18,石炭,-,37,-,225,-,-,-,-,18,石炭,-,-,-,-,-,-,-,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,19,鉄鉱石,-,-,-,-,-,-,-,,,,,
20,金属鉱,1,-,-,-,-,-,-,-,20,金属鉱,-,-,-,-,-,-,-,,,,,
21,砂利・砂,-,30,-,-,-,-,-,-,21,砂利・砂,-,260,-,76,-,23,-,,,,,
22,石材,2,-,-,-,-,-,-,-,22,石材,510,-,9,-,-,-,-,,,,,
23,原油,-,-,-,-,-,-,-,-,23,原油,-,-,-,-,-,-,-,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,24,りん鉱石,-,-,-,-,-,-,-,,,,,
25,石灰石,-,-,-,-,-,-,-,-,25,石灰石,-,-,-,-,-,1,-,,,,,
26,原塩,-,10,-,34,-,-,-,-,26,原塩,-,-,-,-,-,-,-,,,,,
27,非金属鉱物,"1,153","4,903",-,228,31,90,276,361,27,非金属鉱物,285,633,858,84,75,62,45,,,,,
金属機械工業品,,"831,021","254,524","533,709","289,476","307,724","128,594","10,088","136,317",金属機械工業品,,"355,650","174,457","97,629","86,672","101,219","135,794","7,565",,,,,
28,鉄鋼,"1,145","1,588",200,"3,001",214,-,105,440,28,鉄鋼,42,829,"12,800",914,3,61,45,,,,,
29,鋼材,"13,858","6,805","2,210","10,835",820,"38,185",739,"2,642",29,鋼材,"7,936","6,444","4,619","1,072","2,895",766,492,,,,,
30,非鉄金属,"5,248","7,004","1,762","2,909","1,174",593,216,"5,391",30,非鉄金属,472,178,"1,253","1,783","1,039","2,169",64,,,,,
31,金属製品,"34,115","18,917","15,842","18,433","4,321","3,701","3,945","6,799",31,金属製品,"3,557","7,389","9,883","19,220","12,889","6,085",504,,,,,
32,鉄道車両,177,249,-,-,-,-,-,1,32,鉄道車両,-,-,-,-,1,12,-,,,,,
33,完成自動車,525,110,34,972,104,"10,004",-,166,33,完成自動車,"3,885","32,861",874,"10,743",426,616,25,,,,,
34,その他輸送用車両,100,167,76,118,9,83,15,97,34,その他輸送用車両,-,64,53,15,24,124,41,,,,,
35,二輪自動車,"18,842",-,-,25,40,17,12,332,35,二輪自動車,-,4,4,6,-,4,-,,,,,
36,自動車部品,"340,909","54,781","366,164","147,770","29,564","4,780",91,"16,946",36,自動車部品,"52,237","74,207","2,000","32,849","4,881","16,162",5,,,,,
37,その他輸送機械,"25,348",432,"10,592",181,"1,305",29,158,304,37,その他輸送機械,"6,883",155,794,62,625,906,-,,,,,
38,産業機械,"274,330","90,374","75,842","60,454","224,365","64,046","2,366","33,786",38,産業機械,"242,690","42,500","42,729","9,457","43,513","42,807","2,633",,,,,
39,電気機械,"85,318","51,127","48,658","27,087","25,494","5,502","1,981","60,496",39,電気機械,"31,961","4,925","19,156","4,846","25,084","30,392","1,991",,,,,
40,測量・光学・医療用機械,"26,933","21,234","11,848","15,636","19,044","1,571",299,"5,031",40,測量・光学・医療用機械,"5,789","4,601","3,100","3,463","5,018","35,202","1,694",,,,,
41,事務用機器,"3,797","1,672",16,"1,755","1,198",68,53,"3,320",41,事務用機器,168,266,307,287,"3,971",461,3,,,,,
42,その他機械,376,64,465,300,72,15,108,566,42,その他機械,30,34,57,"1,955",850,27,68,,,,,
化学工業品,,"93,282","352,269","24,452","97,019","80,776","26,745","75,072","100,214",化学工業品,,"31,860","50,301","82,665","37,111","46,829","48,272","14,180",,,,,
43,陶磁器,852,242,-,225,294,-,13,243,43,陶磁器,-,-,44,4,413,50,1,,,,,
44,セメント,72,2,-,-,15,120,-,-,44,セメント,-,-,7,-,-,30,-,,,,,
45,ガラス類,"4,308","12,201",468,184,"2,214",5,150,"1,192",45,ガラス類,15,98,"2,497",839,"2,000","1,907",585,,,,,
46,窯業品,"4,472","9,470",784,"1,968","2,915","10,411",133,"3,871",46,窯業品,"8,668","1,302","5,605",601,179,"10,750",172,,,,,
47,重油,-,-,-,-,-,-,-,-,47,重油,-,-,-,-,-,-,-,,,,,
48,揮発油,-,-,-,-,-,-,-,-,48,揮発油,-,-,-,-,-,-,-,,,,,
49,その他の石油,205,"2,375",-,"1,128",513,265,"9,712",542,49,その他の石油,-,335,734,196,114,46,-,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,-,-,-,-,-,-,-,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,-,-,-,-,-,-,-,,,,,
52,その他石油製品,284,"1,163",6,237,47,1,-,35,52,その他石油製品,-,180,41,"1,786",41,10,-,,,,,
53,コークス,-,-,-,-,-,-,-,-,53,コークス,-,-,-,-,-,-,-,,,,,
54,石炭製品,-,75,-,-,-,-,-,-,54,石炭製品,"1,350",-,-,285,45,-,-,,,,,
55,化学薬品,"18,454","19,900","7,858","32,127","17,818","1,089","7,329","1,784",55,化学薬品,"2,373","7,047","14,480","2,739","9,705","3,804",419,,,,,
56,化学肥料,240,30,6,-,9,-,-,-,56,化学肥料,1,-,61,120,15,-,-,,,,,
57,その他化学工業品,"64,395","306,811","15,330","61,150","56,951","14,854","57,735","92,547",57,その他化学工業品,"19,453","41,339","59,196","30,541","34,317","31,675","13,003",,,,,
軽工業品,,"75,655","17,080","6,627","12,999","24,974","7,545","6,739","83,560",軽工業品,,"28,378","8,284","11,985","16,184","31,721","6,922","7,241",,,,,
58,紙・パルプ,"16,161","5,455",331,"8,173","18,394","2,297",693,"2,686",58,紙・パルプ,"26,069","1,886",717,"8,506","4,945","2,817","4,720",,,,,
59,糸及び紡績半製品,716,415,34,442,68,1,3,45,59,糸及び紡績半製品,251,80,17,15,9,230,-,,,,,
60,その他繊維工業品,"8,506","7,702",542,"2,196","1,496","1,700","1,705","1,643",60,その他繊維工業品,"1,126","3,780","1,465","1,180",809,830,24,,,,,
61,砂糖,42,-,-,-,-,-,-,26,61,砂糖,30,-,1,-,13,-,3,,,,,
62,製造食品,"39,239","2,014","5,116","1,959","4,150","2,941","3,392","68,531",62,製造食品,443,"2,246","9,405","3,271","22,351","2,705","1,569",,,,,
63,飲料,"10,655",838,603,214,866,582,506,"10,251",63,飲料,459,97,293,782,"2,696",340,284,,,,,
64,水,329,656,-,-,-,24,-,373,64,水,-,195,75,"2,430",868,-,641,,,,,
65,たばこ,6,-,-,-,-,-,-,-,65,たばこ,-,-,-,-,-,-,-,,,,,
66,その他食料工業品,1,-,1,15,-,-,440,5,66,その他食料工業品,-,-,12,-,30,-,-,,,,,
雑工業品,,"175,143","93,901","17,509","38,176","52,634","19,755","32,217","47,150",雑工業品,,"2,750","10,209","22,104","31,182","25,967","24,575","23,067",,,,,
67,がん具,"7,705","5,772",3,295,269,95,527,"3,063",67,がん具,-,17,572,"1,696",306,121,383,,,,,
68,衣服・身廻品・はきもの,"3,843","7,410",291,"6,019","1,988",366,"2,275","5,988",68,衣服・身廻品・はきもの,219,597,"7,772","14,601","2,496",595,"17,340",,,,,
69,文房具・運動娯楽用品・楽器,"12,122","16,807",441,603,"3,460","5,044",623,"7,145",69,文房具・運動娯楽用品・楽器,268,572,"6,457","1,138","4,428","3,679",747,,,,,
70,家具装備品,"4,694","12,868","4,613","12,306","2,310",254,654,"7,299",70,家具装備品,195,579,"1,930",716,"2,872","1,058","1,649",,,,,
71,その他日用品,"19,936","7,920","1,208","5,085","6,130","1,112","2,609","6,524",71,その他日用品,61,"2,091",670,"2,324","6,793","5,330","1,424",,,,,
72,ゴム製品,"122,198","5,267","7,415","4,819","37,687","2,310",806,"8,349",72,ゴム製品,"2,007","2,014","1,612","6,529","1,426","12,648",381,,,,,
73,木製品,759,515,48,59,113,-,45,163,73,木製品,-,73,"2,196",43,89,532,60,,,,,
74,その他製造工業品,"3,886","37,342","3,490","8,990",677,"10,574","24,678","8,619",74,その他製造工業品,-,"4,266",895,"4,135","7,557",612,"1,083",,,,,
特殊品,,"15,622","47,407","19,047","97,288","6,544","275,121","318,097","38,047",特殊品,,475,"31,863","54,468","67,008","8,387","4,755","146,796",,,,,
75,金属くず,512,"3,120",-,"3,545",17,"106,014","12,453",668,75,金属くず,60,"1,010","17,227","5,512",231,3,"141,653",,,,,
76,再利用資材,-,"22,105",-,"74,287",204,"149,719","293,831","26,143",76,再利用資材,-,"25,554","22,945","26,848","1,541",794,"3,815",,,,,
77,動植物性製造飼肥料,522,94,240,32,-,"1,187",-,"1,556",77,動植物性製造飼肥料,45,60,"2,059",-,45,48,434,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,78,廃棄物,-,-,-,-,-,-,-,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,79,廃土砂,-,-,-,-,-,-,-,,,,,
80,輸送用容器,"9,713","15,157","3,018","8,818","1,936","17,536",300,"5,091",80,輸送用容器,292,"3,326","9,967","3,391","2,478","2,422",740,,,,,
81,取合せ品,"4,875","6,931","15,789","10,606","4,387",665,"11,513","4,589",81,取合せ品,78,"1,913","2,270","31,257","4,092","1,488",154,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,分類不能のもの,,-,-,-,-,-,-,-,,,,,
