,,,,,,,,,,（単位：トン）
,,総計,,,移出,,,移入,,
,,計,前年比,構成比,計,前年比,構成比,計,前年比,構成比
総計,2019年,"39,312,245",94.2%,100.0%,"15,054,365",95.6%,100.0%,"24,257,880",93.4%,100.0%
,2018年,"41,717,661",,,"15,751,422",,,"25,966,239",,
北海道,2019年,"3,429,674",85.4%,8.7%,"1,676,080",84.9%,11.1%,"1,753,594",85.9%,7.2%
,2018年,"4,013,862",,,"1,973,516",,,"2,040,346",,
東北,2019年,"1,992,515",88.8%,5.1%,"487,584",120.5%,3.2%,"1,504,931",81.8%,6.2%
,2018年,"2,244,634",,,"404,531",,,"1,840,103",,
関東,2019年,"9,612,378",92.3%,24.5%,"1,458,467",90.0%,9.7%,"8,153,911",92.7%,33.6%
,2018年,"10,419,483",,,"1,620,040",,,"8,799,443",,
中部,2019年,"2,136,099",97.6%,5.4%,"1,611,717",89.3%,10.7%,"524,382",137.2%,2.2%
,2018年,"2,187,701",,,"1,805,598",,,"382,103",,
近畿,2019年,"2,114,629",100.0%,5.4%,"599,735",85.1%,4.0%,"1,514,894",107.4%,6.2%
,2018年,"2,114,908",,,"704,801",,,"1,410,107",,
中国,2019年,"1,328,708",98.3%,3.4%,"188,901",260.5%,1.3%,"1,139,807",89.1%,4.7%
,2018年,"1,351,989",,,"72,506",,,"1,279,483",,
四国,2019年,"971,127",71.0%,2.5%,"25,200",118.3%,0.2%,"945,927",70.3%,3.9%
,2018年,"1,367,655",,,"21,299",,,"1,346,356",,
九州･沖縄,2019年,"17,443,460",98.5%,44.4%,"8,723,026",98.6%,57.9%,"8,720,434",98.3%,35.9%
,2018年,"17,711,663",,,"8,843,508",,,"8,868,155",,
海上,2019年,"283,655",92.8%,0.7%,"283,655",92.8%,1.9%,-,-,-
,2018年,"305,766",,,"305,623",,,143,,
