,,,,,,,,,(単位：トン）,,,,,
品種,,平成31年(2019年),0,0,平成30年(2018年),0,0,前年比較,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計：増減,前年比,,,,,
合計,,"48,494,019","12,734,557","35,759,462","49,825,795","13,288,658","36,537,137","-1,331,776",97.3%,,,,,
農水産品,,"5,211,492","258,729","4,952,763","5,495,119","317,534","5,177,585","-283,627",94.8%,,,,,
1,麦,"213,900",4,"213,896","269,947",18,"269,929","-56,047",79.2%,,,,,
2,米,"23,999","4,369","19,630","23,948","3,145","20,803",51,100.2%,,,,,
3,とうもろこし,"10,138",30,"10,108","7,164",120,"7,044","2,974",141.5%,,,,,
4,豆類,"134,802",355,"134,447","149,303",342,"148,961","-14,501",90.3%,,,,,
5,その他雑穀,"6,047",-,"6,047","7,333",19,"7,314","-1,286",82.5%,,,,,
6,野菜・果物,"1,785,287","42,294","1,742,993","1,925,366","34,597","1,890,769","-140,079",92.7%,,,,,
7,綿花,495,201,294,381,-,381,114,129.9%,,,,,
8,その他農産品,"257,358","10,390","246,968","241,629","8,299","233,330","15,729",106.5%,,,,,
9,羊毛,485,-,485,833,-,833,-348,58.2%,,,,,
10,その他畜産品,"1,695,995","35,547","1,660,448","1,705,841","35,191","1,670,650","-9,846",99.4%,,,,,
11,水産品,"1,082,986","165,539","917,447","1,163,374","235,803","927,571","-80,388",93.1%,,,,,
林産品,,"1,038,201","18,960","1,019,241","1,142,773","24,010","1,118,763","-104,572",90.8%,,,,,
12,原木,"5,480","2,638","2,842","6,457","2,870","3,587",-977,84.9%,,,,,
13,製材,"902,378","15,755","886,623","993,093","20,429","972,664","-90,715",90.9%,,,,,
14,樹脂類,"73,555",315,"73,240","78,935",347,"78,588","-5,380",93.2%,,,,,
15,木材チップ,"5,914",144,"5,770","13,315",123,"13,192","-7,401",44.4%,,,,,
16,その他林産品,"1,398",53,"1,345",864,80,784,534,161.8%,,,,,
17,薪炭,"49,476",55,"49,421","50,109",161,"49,948",-633,98.7%,,,,,
鉱産品,,"507,252","23,718","483,534","466,767","18,548","448,219","40,485",108.7%,,,,,
18,石炭,"155,716",262,"155,454","116,720",1,"116,719","38,996",133.4%,,,,,
19,鉄鉱石,721,-,721,259,31,228,462,278.4%,,,,,
20,金属鉱,"4,891",4,"4,887","9,764",6,"9,758","-4,873",50.1%,,,,,
21,砂利・砂,"20,372",417,"19,955","26,071",923,"25,148","-5,699",78.1%,,,,,
22,石材,"102,105","6,082","96,023","98,174","3,213","94,961","3,931",104.0%,,,,,
23,原油,"2,266",-,"2,266","1,920",-,"1,920",346,118.0%,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,,,,,
25,石灰石,"1,057",1,"1,056","2,879",-,"2,879","-1,822",36.7%,,,,,
26,原塩,"12,413",50,"12,363","10,479",33,"10,446","1,934",118.5%,,,,,
27,非金属鉱物,"207,711","16,902","190,809","200,501","14,341","186,160","7,210",103.6%,,,,,
金属機械工業品,,"13,715,155","5,271,497","8,443,658","14,077,695","5,514,161","8,563,534","-362,540",97.4%,,,,,
28,鉄鋼,"80,478","43,421","37,057","95,535","49,453","46,082","-15,057",84.2%,,,,,
29,鋼材,"397,084","239,567","157,517","410,704","285,706","124,998","-13,620",96.7%,,,,,
30,非鉄金属,"258,195","97,517","160,678","249,418","93,886","155,532","8,777",103.5%,,,,,
31,金属製品,"1,754,528","308,231","1,446,297","1,793,400","342,822","1,450,578","-38,872",97.8%,,,,,
32,鉄道車両,"4,530",725,"3,805","4,309","1,355","2,954",221,105.1%,,,,,
33,完成自動車,"139,069","114,446","24,623","132,414","104,643","27,771","6,655",105.0%,,,,,
34,その他輸送用車両,"103,368","2,691","100,677","107,968","2,790","105,178","-4,600",95.7%,,,,,
35,二輪自動車,"78,602","24,409","54,193","62,573","7,335","55,238","16,029",125.6%,,,,,
36,自動車部品,"2,392,507","1,582,558","809,949","2,559,104","1,610,295","948,809","-166,597",93.5%,,,,,
37,その他輸送機械,"407,124","68,020","339,104","393,623","43,923","349,700","13,501",103.4%,,,,,
38,産業機械,"3,313,676","1,812,891","1,500,785","3,509,439","1,953,004","1,556,435","-195,763",94.4%,,,,,
