,,,,,,,,,(単位：トン）,,
品種,,平成31年(2019年),0,0,平成30年(2018年),0,0,前年比較,,,
,,計,移出,移入,計,移出,移入,計：増減,前年比,,
合計,,"39,312,245","15,054,365","24,257,880","41,717,661","15,751,422","25,966,239","-2,405,416",94.2%,,
農水産品,,"423,601","206,303","217,298","404,410","219,628","184,782","19,191",104.7%,,
1,麦,"92,261","13,089","79,172","87,227","14,397","72,830","5,034",105.8%,,
2,米,"53,870","38,610","15,260","47,145","32,915","14,230","6,725",114.3%,,
3,とうもろこし,427,427,-,"1,734","1,734",-,"-1,307",24.6%,,
4,豆類,"21,102","17,175","3,927","19,424","14,654","4,770","1,678",108.6%,,
5,その他雑穀,"2,382","1,897",485,"1,315","1,050",265,"1,067",181.1%,,
6,野菜・果物,"142,096","85,529","56,567","138,803","85,112","53,691","3,293",102.4%,,
7,綿花,30,-,30,95,85,10,-65,31.6%,,
8,その他農産品,"8,596","6,399","2,197","12,921","9,950","2,971","-4,325",66.5%,,
9,羊毛,21,21,-,126,126,-,-105,16.7%,,
10,その他畜産品,"42,537","15,342","27,195","35,043","24,263","10,780","7,494",121.4%,,
11,水産品,"60,279","27,814","32,465","60,577","35,342","25,235",-298,99.5%,,
林産品,,"109,823","77,669","32,154","117,774","88,608","29,166","-7,951",93.2%,,
12,原木,"1,082",22,"1,060",137,117,20,945,789.8%,,
13,製材,"81,542","64,337","17,205","91,777","74,218","17,559","-10,235",88.8%,,
14,樹脂類,"12,345","7,940","4,405","19,517","10,850","8,667","-7,172",63.3%,,
15,木材チップ,"6,562",30,"6,532",907,23,884,"5,655",723.5%,,
16,その他林産品,"7,957","5,130","2,827","5,031","3,050","1,981","2,926",158.2%,,
17,薪炭,335,210,125,405,350,55,-70,82.7%,,
鉱産品,,"4,964,468","99,655","4,864,813","5,916,806","71,630","5,845,176","-952,338",83.9%,,
18,石炭,"2,560",-,"2,560","12,813",255,"12,558","-10,253",20.0%,,
19,鉄鉱石,-,-,-,-,-,-,-,-,,
20,金属鉱,"1,950","1,950",-,"4,084","4,084",-,"-2,134",47.7%,,
21,砂利・砂,"3,739,294","31,026","3,708,268","4,449,014","48,094","4,400,920","-709,720",84.0%,,
22,石材,"832,675","11,373","821,302","1,056,222","3,268","1,052,954","-223,547",78.8%,,
23,原油,-,-,-,38,38,-,-38,-,,
24,りん鉱石,-,-,-,-,-,-,-,-,,
25,石灰石,"223,511",800,"222,711","361,649","1,100","360,549","-138,138",61.8%,,
26,原塩,"3,800",20,"3,780","3,602",102,"3,500",198,105.5%,,
27,非金属鉱物,"160,678","54,486","106,192","29,384","14,689","14,695","131,294",546.8%,,
金属機械工業品,,"15,685,502","8,282,305","7,403,197","16,079,086","8,516,137","7,562,949","-393,584",97.6%,,
28,鉄鋼,"10,985","2,610","8,375","11,731",916,"10,815",-746,93.6%,,
29,鋼材,"1,137,131","51,925","1,085,206","1,152,430","13,661","1,138,769","-15,299",98.7%,,
30,非鉄金属,"46,439","9,659","36,780","49,554","7,260","42,294","-3,115",93.7%,,
31,金属製品,"75,748","41,692","34,056","85,330","54,556","30,774","-9,582",88.8%,,
32,鉄道車両,-,-,-,15,15,-,-15,-,,
33,完成自動車,"13,746,314","7,780,084","5,966,230","14,019,140","7,994,898","6,024,242","-272,826",98.1%,,
34,その他輸送用車両,"11,327","9,162","2,165","27,704","15,472","12,232","-16,377",40.9%,,
35,二輪自動車,359,160,199,846,498,348,-487,42.4%,,
36,自動車部品,"59,775","23,252","36,523","92,070","29,904","62,166","-32,295",64.9%,,
37,その他輸送機械,"236,686","87,482","149,204","212,677","92,292","120,385","24,009",111.3%,,
38,産業機械,"183,393","139,783","43,610","254,690","177,097","77,593","-71,297",72.0%,,
39,電気機械,"60,275","46,256","14,019","60,275","43,068","17,207",-,100.0%,,
40,測量・光学・医療用機械,"43,937","30,370","13,567","28,088","14,791","13,297","15,849",156.4%,,
41,事務用機器,"45,170","44,093","1,077","61,729","60,679","1,050","-16,559",73.2%,,
42,その他機械,"27,963","15,777","12,186","22,807","11,030","11,777","5,156",122.6%,,
化学工業品,,"7,913,773","490,438","7,423,335","8,233,575","521,196","7,712,379","-319,802",96.1%,,
43,陶磁器,114,94,20,673,653,20,-559,16.9%,,
44,セメント,"2,464,080","33,339","2,430,741","2,850,761","29,612","2,821,149","-386,681",86.4%,,
45,ガラス類,"12,855","12,443",412,"18,087","16,865","1,222","-5,232",71.1%,,
46,窯業品,"86,464","35,342","51,122","62,469","31,128","31,341","23,995",138.4%,,
47,重油,"479,337","229,859","249,478","503,515","242,732","260,783","-24,178",95.2%,,
48,揮発油,"2,776",901,"1,875",823,823,-,"1,953",337.3%,,
49,その他の石油,"4,456,764","20,301","4,436,463","4,453,104","20,444","4,432,660","3,660",100.1%,,
50,LNG/液化天然ガス,5,-,5,20,-,20,-15,25.0%,,
51,LPG/液化石油ガス,"6,630","6,605",25,"6,886","6,734",152,-256,96.3%,,
52,その他石油製品,"89,677","6,550","83,127","23,702","7,606","16,096","65,975",378.4%,,
53,コークス,"49,470","15,513","33,957","28,428","7,969","20,459","21,042",174.0%,,
54,石炭製品,20,-,20,35,15,20,-15,57.1%,,
55,化学薬品,"101,539","43,072","58,467","115,823","47,475","68,348","-14,284",87.7%,,
56,化学肥料,"6,840","3,355","3,485","8,167","3,882","4,285","-1,327",83.8%,,
57,その他化学工業品,"157,202","83,064","74,138","161,082","105,258","55,824","-3,880",97.6%,,
軽工業品,,"2,474,770","781,732","1,693,038","2,806,838","848,309","1,958,529","-332,068",88.2%,,
58,紙・パルプ,"1,415,882","193,902","1,221,980","1,677,748","231,237","1,446,511","-261,866",84.4%,,
59,糸及び紡績半製品,254,194,60,"2,459",380,"2,079","-2,205",10.3%,,
60,その他繊維工業品,"2,309","2,000",309,"1,981","1,560",421,328,116.6%,,
61,砂糖,"82,192","13,121","69,071","89,759","21,473","68,286","-7,567",91.6%,,
62,製造食品,"299,002","188,730","110,272","307,302","199,336","107,966","-8,300",97.3%,,
63,飲料,"391,275","268,918","122,357","450,987","290,385","160,602","-59,712",86.8%,,
64,水,"70,692","51,307","19,385","81,590","61,403","20,187","-10,898",86.6%,,
65,たばこ,"15,150","8,415","6,735","16,600","8,785","7,815","-1,450",91.3%,,
66,その他食料工業品,"198,014","55,145","142,869","178,412","33,750","144,662","19,602",111.0%,,
雑工業品,,"473,737","374,134","99,603","443,624","358,605","85,019","30,113",106.8%,,
67,がん具,301,150,151,178,178,-,123,169.1%,,
68,衣服・身廻品・はきもの,"14,964","12,304","2,660","18,166","13,438","4,728","-3,202",82.4%,,
69,文房具・運動娯楽用品・楽器,"5,652","4,408","1,244","14,853","10,958","3,895","-9,201",38.1%,,
