,,,,,,,,,,,(単位：トン）
国名,,平成31年(2019年),,,0,,0,平成30年(2018年),0,0,計：増減
,,輸出入計,,,輸出,輸入,"コンテナ
貨物",計,輸出,輸入,
,,計,前年比,構成比,,,,,,,
総計,,"48,494,019",97.3%,100%,"12,734,557","35,759,462","46,663,348","49,825,795","13,288,658","36,537,137","-1,331,776 "
1,中国,"18,029,384",94.5%,37.2%,"3,000,110","15,029,274","17,920,496","19,079,504","3,665,569","15,413,935","-1,050,120 "
,(香港),"2,008,575",83.7%,4.1%,"426,006","1,582,569","2,008,575","2,399,664","483,528","1,916,136","-391,089 "
2,アメリカ,"7,021,847",98.0%,14.5%,"3,073,753","3,948,094","6,918,258","7,164,344","2,841,018","4,323,326","-142,497 "
3,ベトナム,"3,318,368",119.9%,6.8%,"1,115,073","2,203,295","3,040,459","2,767,063","752,394","2,014,669","551,305 "
4,タイ,"3,078,895",92.4%,6.3%,"810,604","2,268,291","3,078,895","3,331,958","899,159","2,432,799","-253,063 "
5,台湾,"2,238,077",102.8%,4.6%,"642,677","1,595,400","2,191,671","2,176,726","713,238","1,463,488","61,351 "
6,韓国,"2,031,443",97.6%,4.2%,"636,984","1,394,459","1,786,703","2,082,135","666,172","1,415,963","-50,692 "
7,カナダ,"1,487,563",90.3%,3.1%,"129,870","1,357,693","1,305,853","1,647,081","145,826","1,501,255","-159,518 "
8,マレーシア,"1,459,155",100.0%,3.0%,"424,171","1,034,984","1,448,357","1,458,984","525,563","933,421",171 
9,シンガポール,"1,412,495",104.1%,2.9%,"225,101","1,187,394","1,412,495","1,357,290","241,399","1,115,891","55,205 "
10,フィリピン,"1,355,947",93.7%,2.8%,"234,510","1,121,437","794,434","1,446,934","257,681","1,189,253","-90,987 "
11,インドネシア,"1,298,936",99.1%,2.7%,"409,037","889,899","1,297,805","1,310,726","433,094","877,632","-11,790 "
12,オランダ,"979,212",91.6%,2.0%,"494,346","484,866","979,212","1,069,052","555,357","513,695","-89,840 "
13,ドイツ,"794,529",96.9%,1.6%,"240,284","554,245","794,529","820,350","246,914","573,436","-25,821 "
14,インド,"465,498",100.8%,1.0%,"361,374","104,124","465,498","461,626","356,363","105,263","3,872 "
15,フランス,"385,339",98.5%,0.8%,"57,940","327,399","385,339","391,395","68,708","322,687","-6,056 "
16,ニュージーランド,"321,412",97.2%,0.7%,"21,378","300,034","238,698","330,513","18,646","311,867","-9,101 "
17,イギリス,"312,467",93.1%,0.6%,"147,959","164,508","312,467","335,656","168,711","166,945","-23,189 "
18,チリ,"290,345",77.4%,0.6%,"3,168","287,177","290,345","375,225","3,407","371,818","-84,880 "
19,イタリア,"216,522",106.6%,0.4%,"33,955","182,567","216,522","203,083","33,429","169,654","13,439 "
20,ブラジル,"200,634",114.6%,0.4%,"69,620","131,014","200,634","175,100","71,954","103,146","25,534 "
,その他,"1,795,951",97.6%,3.7%,"602,643","1,193,308","1,584,678","1,841,050","624,056","1,216,994","-45,099 "
,,,,,,,,,,,
,(注)コンテナ貨物は輸出入合計で内数,,,,,,,,,,
