,,,,(単位：隻、総トン）,
航路別,入港船舶,,うちコンテナ船,,
,隻数,総トン数,隻数,総トン数,
合計,"23,382","179,911,843","8,695","154,066,506",
外航計,"5,247","134,062,240","4,962","128,876,726",
外航定期計,"4,964","128,921,790","4,962","128,876,726",
世界一周,-,-,-,-,
北米西岸(メキシコ含む),442,"30,299,222",442,"30,299,222",
北米東岸(カリビア海含む),131,"8,676,652",130,"8,669,650",
北欧・地中海,103,"10,128,588",103,"10,128,588",
南米西岸,46,"5,942,082",46,"5,942,082",
南米東岸,-,-,-,-,
南米東岸･南ア経由,-,-,-,-,
アフリカ,-,-,-,-,
オセアニア,55,"2,420,932",55,"2,420,932",
印パ･ペルシャ･ベンガル,-,-,-,-,
東南アジア,"1,785","44,860,905","1,785","44,860,905",
台湾,-,-,-,-,
韓国,526,"4,623,974",526,"4,623,974",
中国(香港含む),"1,876","21,969,435","1,875","21,931,373",
ナホトカ,-,-,-,-,
外航不定期,283,"5,140,450",-,-,
内航計,"18,135","45,849,603","3,733","25,189,780",
内航定期計,"6,790","33,391,045","3,458","24,990,000",
北海道,"1,235","13,157,007","1,235","13,157,007",
東北,688,"557,104",688,"557,104",
関東,"1,113","345,128",4,"2,245",
伊豆諸島,"1,874","3,648,198",-,-,
中部,397,"435,424",397,"435,424",
近畿,145,"265,671",145,"265,671",
中国,-,-,-,-,
四国,-,-,-,-,
九州,"1,054","11,984,335",705,"7,574,371",
沖縄,284,"2,998,178",284,"2,998,178",
内航不定期,"11,345","12,458,558",275,"199,780",
,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
