２　入港船舶数,,,
,,,
,,隻数,前年比(%)
,　合計,"23,382",95.9
,　　外航船,"5,247",95.3
,　　　（コンテナ船）,"4,962",97
,　　内航船,"18,135",96.1
,　　　（カーフェリー）,349,100.6
,　　　（コンテナ船）,"3,733",107.6
,*　コンテナ船は、フルコンテナ船の他に、セミコンテナ船、ＲＯＲＯ船を含む。,,
