,,,,,,,(単位：トン）
航路別,合計,,,（コンテナ取扱貨物量）,,,コンテナ化率
,計,出貨,入貨,計,出貨,入貨,
合計,"87,806,264","27,788,922","60,017,342","49,556,014","13,750,640","35,805,374",56.4%
外航計,"48,494,019","12,734,557","35,759,462","46,663,348","12,154,980","34,508,368",96.2%
外航定期計,"47,246,756","12,170,992","35,075,764","46,663,348","12,154,980","34,508,368",98.8%
世界一周,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"5,339,197","1,422,614","3,916,583","5,310,056","1,422,614","3,887,442",99.5%
北米東岸(カリビア海含む),"1,573,910","684,349","889,561","1,573,910","684,349","889,561",100.0%
北欧・地中海,"4,506,296","2,319,642","2,186,654","4,506,296","2,319,642","2,186,654",100.0%
南米西岸,"463,836","58,240","405,596","463,836","58,240","405,596",100.0%
南米東岸,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-
オセアニア,"267,742","35,272","232,470","252,898","35,272","217,626",94.5%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-
東南アジア,"20,599,141","5,203,879","15,395,262","20,086,328","5,197,595","14,888,733",97.5%
台湾,-,-,-,-,-,-,-
韓国,"1,761,535","464,534","1,297,001","1,761,529","464,534","1,296,995",100.0%
中国(香港含む),"12,735,099","1,982,462","10,752,637","12,708,495","1,972,734","10,735,761",99.8%
ナホトカ,-,-,-,-,-,-,-
外航不定期,"1,247,263","563,565","683,698",-,-,-,-
内航計,"39,312,245","15,054,365","24,257,880","2,892,666","1,595,660","1,297,006",7.4%
内航定期計,"23,575,352","13,001,626","10,573,726","2,343,363","1,230,582","1,112,781",9.9%
北海道,"4,248,840","2,387,924","1,860,916","747,220","398,598","348,622",17.6%
東北,"403,945","215,553","188,392","398,542","215,553","182,989",98.7%
関東,"619,011","283,735","335,276","1,226",130,"1,096",0.2%
伊豆諸島,"87,414","59,990","27,424","2,415","1,747",668,2.8%
中部,"259,937","54,770","205,167","259,937","54,770","205,167",100.0%
近畿,"103,952","13,314","90,638","103,952","13,314","90,638",100.0%
中国,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-
九州,"16,469,982","8,956,845","7,513,137","330,266","131,280","198,986",2.0%
沖縄,"1,382,271","1,029,495","352,776","499,805","415,190","84,615",36.2%
内航不定期,"15,736,893","2,052,739","13,684,154","549,303","365,078","184,225",3.5%
,,,,,,,
（注1）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,
（注2）コンテナ化率=コンテナ貨物取扱量の計/合計の計,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
