,,,,,,（単位：トン）
係留施設,平成31年(2019年),,,平成30年(2018年),,
,合計,外貿,内貿,合計,外貿,内貿
合計,"87,806,264 ","48,494,019 ","39,312,245 ","91,543,456 ","49,825,795 ","41,717,661 "
公共計,"40,359,667 ","13,235,150 ","27,124,517 ","42,382,338 ","14,309,685 ","28,072,653 "
ドルフィン,"89,242 ",-,"89,242 ","78,568 ",-,"78,568 "
芝浦ふ頭,"737,508 ",-,"737,508 ","810,536 ",-,"810,536 "
芝浦物揚場,"85,270 ",-,"85,270 ","89,887 ",-,"89,887 "
日の出ふ頭,"37,290 ",-,"37,290 ","39,785 ",-,"39,785 "
竹芝ふ頭,"83,437 ",-,"83,437 ","82,896 ",-,"82,896 "
品川岸壁,"7,061,781 ","4,062,868 ","2,998,913 ","7,888,268 ","4,425,936 ","3,462,332 "
  品川コンテナ,"3,990,138 ","3,983,125 ","7,013 ","4,341,547 ","4,341,480 ",67 
  品川外貿,"79,743 ","79,743 ",-,"84,456 ","84,456 ",-
  品川内貿,"2,991,900 ",-,"2,991,900 ","3,462,265 ",-,"3,462,265 "
月島ふ頭,"16,786 ",-,"16,786 ","17,373 ",-,"17,373 "
10号西岸壁,"6,403,420 ",-,"6,403,420 ","6,392,914 ",-,"6,392,914 "
10号東岸壁,"366,063 ",-,"366,063 ","396,786 ",-,"396,786 "
東京港フェリーふ頭,"10,734,800 ",-,"10,734,800 ","10,868,450 ",-,"10,868,450 "
多目的ふ頭,100 ,-,100 ,-,-,-
辰巳ふ頭,"385,744 ",-,"385,744 ","376,394 ",-,"376,394 "
青海コンテナふ頭（公共）,"8,845,965 ","8,632,958 ","213,007 ","9,393,381 ","9,228,235 ","165,146 "
大井水産物ふ頭,100 ,50 ,50 ,"4,792 ","4,489 ",303 
大井食品ふ頭（OL）,"266,405 ","190,123 ","76,282 ","313,721 ","244,286 ","69,435 "
大井食品ふ頭（OM）,"97,613 ","97,613 ",-,"131,014 ","131,014 ",-
大井食品ふ頭（ON）,"12,836 ","11,621 ","1,215 ","14,453 ","14,453 ",-
若洲内貿ふ頭,"627,864 ",-,"627,864 ","647,898 ",-,"647,898 "
15号地木材ふ頭,"40,407 ","34,305 ","6,102 ","89,805 ","84,581 ","5,224 "
若洲建材ふ頭,"757,711 ",-,"757,711 ","666,843 ",-,"666,843 "
大井建材ふ頭,"1,364,772 ",-,"1,364,772 ","1,578,541 ",-,"1,578,541 "
城南島建設発生土ふ頭,"873,950 ",-,"873,950 ","1,010,054 ",-,"1,010,054 "
中央防波堤内側ばら物ふ頭,"264,215 ","205,612 ","58,603 ","224,477 ","176,691 ","47,786 "
中央防波堤内側建設発生土ふ頭,"183,222 ",-,"183,222 ","280,124 ",-,"280,124 "
中央防波堤内側内貿ふ頭,"1,023,166 ",-,"1,023,166 ","985,378 ",-,"985,378 "
東京港埠頭㈱計,"33,920,429 ","32,538,511 ","1,381,918 ","34,517,626 ","32,967,545 ","1,550,081 "
青海コンテナふ頭(埠頭㈱),"6,841,954 ","6,671,121 ","170,833 ","7,161,545 ","7,044,939 ","116,606 "
お台場ライナーふ頭,"873,429 ","752,029 ","121,400 ","896,848 ","709,775 ","187,073 "
大井コンテナふ頭,"26,205,046 ","25,115,361 ","1,089,685 ","26,459,233 ","25,212,831 ","1,246,402 "
民間計,"13,526,168 ","2,720,358 ","10,805,810 ","14,643,492 ","2,548,565 ","12,094,927 "
