 11 輸入貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,,,,
品種,,上海,レムチャバン,青島,蛇口,香港,バンクーバー,シンガポール,釜山,品種,,太倉,ロサンゼルス,タコマ,オークランド,高雄,大連,厦門,,,,,,,
合計,,"3,763,166","2,025,524","1,760,590","1,686,702","1,582,569","1,263,262","1,187,372","1,179,423",合計,,"1,113,782","1,080,484","996,688","951,363","849,900","747,346","726,164",,,,,,,
農水産品,,"60,043","151,805","385,725","6,759","182,104","512,147","162,230","75,650",農水産品,,833,"144,130","106,573","670,507","90,893","84,733","58,239",,,,,,,
1,麦,-,-,-,-,-,"75,015",390,150,1,麦,-,674,225,810,-,-,45,,,,,,,
2,米,-,"2,280",-,-,-,-,580,-,2,米,-,-,-,"13,530","1,095",300,-,,,,,,,
3,とうもろこし,-,45,-,-,9,"1,190",225,-,3,とうもろこし,-,"4,853",720,285,-,-,75,,,,,,,
4,豆類,418,240,427,30,"1,725","72,322",915,517,4,豆類,-,"20,940","9,350",645,45,345,30,,,,,,,
5,その他の雑穀,-,-,-,-,-,75,-,-,5,その他の雑穀,-,225,"5,440",-,-,75,-,,,,,,,
6,野菜、果物,"40,752","20,863","295,496","1,791","7,371","4,187","15,347","9,163",6,野菜、果物,428,"34,716","43,449","122,721","44,551","9,251","47,490",,,,,,,
7,綿花,-,-,-,-,-,-,15,-,7,綿花,-,-,-,-,105,-,-,,,,,,,
8,その他農産品,"11,615","2,063","39,942","4,012","1,286","2,587","19,428","1,734",8,その他農産品,180,"3,395","8,431","5,382","8,932","8,019","4,194",,,,,,,
9,羊毛,60,-,-,-,-,-,30,-,9,羊毛,-,-,-,-,-,-,-,,,,,,,
10,その他畜産品,"3,038","83,845","1,823",315,"122,578","350,910","70,026","17,621",10,その他畜産品,225,"77,063","31,539","526,294","11,591",285,978,,,,,,,
11,水産品,"4,160","42,469","48,037",611,"49,135","5,861","55,274","46,465",11,水産品,-,"2,264","7,419",840,"24,574","66,458","5,427",,,,,,,
林産品,,"19,212","6,914","2,888","5,025","9,321","375,286","13,219","28,277",林産品,,765,874,"69,326",30,"28,408","7,003","4,239",,,,,,,
12,原木,420,22,-,-,42,626,345,-,12,原木,765,37,90,-,-,15,-,,,,,,,
13,製材,"11,989",15,"2,573","4,785","9,084","374,327","1,715","28,277",13,製材,-,438,"68,727",30,"26,758","5,698","2,543",,,,,,,
14,樹脂類,600,"4,560",-,15,-,-,"9,389",-,14,樹脂類,-,270,-,-,720,-,270,,,,,,,
15,木材チップ,90,-,45,-,-,324,150,-,15,木材チップ,-,100,209,-,90,360,-,,,,,,,
16,その他林産品,-,-,-,-,30,-,-,-,16,その他林産品,-,-,-,-,690,-,-,,,,,,,
17,薪炭,"6,113","2,317",270,225,165,9,"1,620",-,17,薪炭,-,29,300,-,150,930,"1,426",,,,,,,
鉱産品,,"3,820","5,985","7,607","5,555","7,688","24,099","13,667","2,251",鉱産品,,"3,136","4,343",600,"1,281","10,886","11,783","52,694",,,,,,,
18,石炭,210,"3,075",405,-,855,"22,545","4,940",-,18,石炭,120,-,-,-,"3,150",840,-,,,,,,,
19,鉄鉱石,60,-,-,-,-,-,-,-,19,鉄鉱石,-,-,-,-,-,-,-,,,,,,,
20,金属鉱,225,-,-,-,75,-,435,45,20,金属鉱,-,300,-,-,15,-,75,,,,,,,
21,砂利、砂,175,270,"1,575",-,15,290,450,135,21,砂利、砂,-,236,450,708,"1,230","2,220",75,,,,,,,
22,石材,"2,325",15,"3,685",740,"1,652",30,"3,427",286,22,石材,172,140,-,64,888,"2,708","51,918",,,,,,,
23,原油,-,-,60,-,-,-,510,-,23,原油,-,"1,005",-,111,-,-,-,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,24,りん鉱石,-,-,-,-,-,-,-,,,,,,,
25,石灰石,-,-,-,30,-,-,-,-,25,石灰石,-,44,-,30,-,-,-,,,,,,,
26,原塩,45,-,310,-,-,-,870,60,26,原塩,"2,784",315,-,-,15,-,30,,,,,,,
27,非金属鉱物,780,"2,625","1,572","4,785","5,091","1,234","3,035","1,725",27,非金属鉱物,60,"2,303",150,368,"5,588","6,015",596,,,,,,,
金属機械工業品,,"1,245,436","769,589","167,856","596,673","504,849","27,554","163,716","277,251",金属機械工業品,,"591,170","210,082","15,484","10,537","174,654","237,986","289,071",,,,,,,
28,鉄鋼,195,75,949,-,71,15,"2,520",533,28,鉄鋼,60,175,-,-,105,180,60,,,,,,,
29,鋼材,"8,869","4,106","9,685",162,463,387,"5,590","30,241",29,鋼材,911,"2,441",187,431,"13,779","1,683",825,,,,,,,
30,非鉄金属,"36,260","19,147","3,246","3,927","5,332","1,597","2,272","9,610",30,非鉄金属,"1,131","6,592","2,308",120,"6,499","1,341","2,121",,,,,,,
31,金属製品,"164,922","156,556","18,504","55,349","34,821","6,871","17,491","46,787",31,金属製品,"136,782","85,779","4,105","2,064","66,791","61,930","79,298",,,,,,,
32,鉄道車両,30,-,-,257,-,-,-,-,32,鉄道車両,-,-,-,-,-,163,-,,,,,,,
33,完成自動車,529,366,82,390,136,"2,415","5,289","2,022",33,完成自動車,-,"2,187",15,316,191,61,-,,,,,,,
34,その他の輸送用車両,"20,386",309,"15,978","3,877","2,190",180,"1,019","2,515",34,その他の輸送用車両,"23,986",915,384,63,418,"2,630","2,161",,,,,,,
35,二輪自動車,"2,356","2,383",375,449,431,15,"1,060",57,35,二輪自動車,"25,818","5,125",26,-,397,-,30,,,,,,,
36,自動車部品,"86,484","116,406","16,167","16,781","20,530","6,615","30,267","42,724",36,自動車部品,"12,145","21,203",775,"1,405","30,943","3,721","23,358",,,,,,,
37,その他の輸送機械,"18,904",255,146,"13,622","2,251",233,478,224,37,その他の輸送機械,"29,771","2,286",515,161,"1,653",60,"1,252",,,,,,,
38,産業機械,"254,483","110,455","15,150","124,385","73,909","5,082","48,671","63,173",38,産業機械,"76,777","35,512","4,063","2,210","25,039","60,226","6,230",,,,,,,
39,電気機械,"559,284","308,496","82,392","313,725","287,296","1,133","24,773","70,068",39,電気機械,"266,238","32,326","2,654","3,300","17,307","103,517","161,584",,,,,,,
40,測量・光学・医療器械,"61,039","30,411","3,178","33,466","30,255","3,011","23,101","7,764",40,測量・光学・医療器械,"14,104","14,902",452,405,"11,339","2,213","10,813",,,,,,,
41,事務用機械,"29,010","16,501","1,788","25,316","45,508",-,180,826,41,事務用機械,"3,119",138,-,-,178,129,"1,309",,,,,,,
42,その他の機械,"2,685","4,123",216,"4,967","1,656",-,"1,005",707,42,その他の機械,328,501,-,62,15,132,30,,,,,,,
化学工業品,,"256,018","303,026","107,012","56,976","106,477","33,137","192,217","238,786",化学工業品,,"67,926","204,919","28,286","28,285","129,848","37,594","30,262",,,,,,,
43,陶磁器,"5,916","16,250","6,134","13,276","10,598",217,"16,918","2,001",43,陶磁器,89,"2,925",86,430,"2,099",105,"11,797",,,,,,,
44,セメント,-,330,-,-,390,-,90,420,44,セメント,900,420,-,-,90,-,1,,,,,,,
45,ガラス類,"49,384","1,427","6,497","10,233","5,917","1,271","1,696","5,703",45,ガラス類,"9,735","3,228","6,464","1,535","16,907","4,482","4,288",,,,,,,
46,窯業品,"8,399","5,184","16,253","2,391","3,324","8,309","7,631","8,545",46,窯業品,"2,386","15,270","5,290","1,572","5,381","5,211",420,,,,,,,
47,重油,-,-,-,-,-,-,-,-,47,重油,-,-,-,-,-,-,-,,,,,,,
48,揮発油,-,-,-,-,-,-,70,-,48,揮発油,-,60,-,-,-,-,-,,,,,,,
