,,,,,,,,,(単位：トン）,,,,,,,
品種,,平成31年(2019年),0,0,平成30年(2018年),0,0,前年比較,,,,,,,,
,,計,出貨,入貨,計,出貨,入貨,計：増減,前年比,,,,,,,
合計,,"87,806,264","27,788,922","60,017,342","91,543,456","29,040,080","62,503,376","-3,737,192",95.9%,,,,,,,
農水産品,,"5,635,093","465,032","5,170,061","5,899,529","537,162","5,362,367","-264,436",95.5%,,,,,,,
1,麦,"306,161","13,093","293,068","357,174","14,415","342,759","-51,013",85.7%,,,,,,,
2,米,"77,869","42,979","34,890","71,093","36,060","35,033","6,776",109.5%,,,,,,,
3,とうもろこし,"10,565",457,"10,108","8,898","1,854","7,044","1,667",118.7%,,,,,,,
4,豆類,"155,904","17,530","138,374","168,727","14,996","153,731","-12,823",92.4%,,,,,,,
5,その他雑穀,"8,429","1,897","6,532","8,648","1,069","7,579",-219,97.5%,,,,,,,
6,野菜・果物,"1,927,383","127,823","1,799,560","2,064,169","119,709","1,944,460","-136,786",93.4%,,,,,,,
7,綿花,525,201,324,476,85,391,49,110.3%,,,,,,,
8,その他農産品,"265,954","16,789","249,165","254,550","18,249","236,301","11,404",104.5%,,,,,,,
9,羊毛,506,21,485,959,126,833,-453,52.8%,,,,,,,
10,その他畜産品,"1,738,532","50,889","1,687,643","1,740,884","59,454","1,681,430","-2,352",99.9%,,,,,,,
11,水産品,"1,143,265","193,353","949,912","1,223,951","271,145","952,806","-80,686",93.4%,,,,,,,
林産品,,"1,148,024","96,629","1,051,395","1,260,547","112,618","1,147,929","-112,523",91.1%,,,,,,,
12,原木,"6,562","2,660","3,902","6,594","2,987","3,607",-32,99.5%,,,,,,,
13,製材,"983,920","80,092","903,828","1,084,870","94,647","990,223","-100,950",90.7%,,,,,,,
14,樹脂類,"85,900","8,255","77,645","98,452","11,197","87,255","-12,552",87.3%,,,,,,,
15,木材チップ,"12,476",174,"12,302","14,222",146,"14,076","-1,746",87.7%,,,,,,,
16,その他林産品,"9,355","5,183","4,172","5,895","3,130","2,765","3,460",158.7%,,,,,,,
17,薪炭,"49,811",265,"49,546","50,514",511,"50,003",-703,98.6%,,,,,,,
鉱産品,,"5,471,720","123,373","5,348,347","6,383,573","90,178","6,293,395","-911,853",85.7%,,,,,,,
18,石炭,"158,276",262,"158,014","129,533",256,"129,277","28,743",122.2%,,,,,,,
19,鉄鉱石,721,-,721,259,31,228,462,278.4%,,,,,,,
20,金属鉱,"6,841","1,954","4,887","13,848","4,090","9,758","-7,007",49.4%,,,,,,,
21,砂利・砂,"3,759,666","31,443","3,728,223","4,475,085","49,017","4,426,068","-715,419",84.0%,,,,,,,
22,石材,"934,780","17,455","917,325","1,154,396","6,481","1,147,915","-219,616",81.0%,,,,,,,
23,原油,"2,266",-,"2,266","1,958",38,"1,920",308,115.7%,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,,,,,,,
25,石灰石,"224,568",801,"223,767","364,528","1,100","363,428","-139,960",61.6%,,,,,,,
26,原塩,"16,213",70,"16,143","14,081",135,"13,946","2,132",115.1%,,,,,,,
27,非金属鉱物,"368,389","71,388","297,001","229,885","29,030","200,855","138,504",160.2%,,,,,,,
金属機械工業品,,"29,400,657","13,553,802","15,846,855","30,156,781","14,030,298","16,126,483","-756,124",97.5%,,,,,,,
28,鉄鋼,"91,463","46,031","45,432","107,266","50,369","56,897","-15,803",85.3%,,,,,,,
29,鋼材,"1,534,215","291,492","1,242,723","1,563,134","299,367","1,263,767","-28,919",98.1%,,,,,,,
30,非鉄金属,"304,634","107,176","197,458","298,972","101,146","197,826","5,662",101.9%,,,,,,,
31,金属製品,"1,830,276","349,923","1,480,353","1,878,730","397,378","1,481,352","-48,454",97.4%,,,,,,,
32,鉄道車両,"4,530",725,"3,805","4,324","1,370","2,954",206,104.8%,,,,,,,
33,完成自動車,"13,885,383","7,894,530","5,990,853","14,151,554","8,099,541","6,052,013","-266,171",98.1%,,,,,,,
34,その他輸送用車両,"114,695","11,853","102,842","135,672","18,262","117,410","-20,977",84.5%,,,,,,,
35,二輪自動車,"78,961","24,569","54,392","63,419","7,833","55,586","15,542",124.5%,,,,,,,
36,自動車部品,"2,452,282","1,605,810","846,472","2,651,174","1,640,199","1,010,975","-198,892",92.5%,,,,,,,
37,その他輸送機械,"643,810","155,502","488,308","606,300","136,215","470,085","37,510",106.2%,,,,,,,
38,産業機械,"3,497,069","1,952,674","1,544,395","3,764,129","2,130,101","1,634,028","-267,060",92.9%,,,,,,,
39,電気機械,"4,025,406","747,927","3,277,479","4,016,224","786,866","3,229,358","9,182",100.2%,,,,,,,
40,測量・光学・医療用機械,"633,053","264,922","368,131","611,606","243,949","367,657","21,447",103.5%,,,,,,,
41,事務用機器,"240,698","73,244","167,454","243,687","95,340","148,347","-2,989",98.8%,,,,,,,
42,その他機械,"64,182","27,424","36,758","60,590","22,362","38,228","3,592",105.9%,,,,,,,
化学工業品,,"13,790,683","2,871,897","10,918,786","14,318,293","2,935,628","11,382,665","-527,610",96.3%,,,,,,,
43,陶磁器,"152,628","10,486","142,142","149,666","11,957","137,709","2,962",102.0%,,,,,,,
44,セメント,"2,481,383","34,049","2,447,334","2,867,437","32,968","2,834,469","-386,054",86.5%,,,,,,,
45,ガラス類,"280,272","98,085","182,187","309,445","106,132","203,313","-29,173",90.6%,,,,,,,
46,窯業品,"409,350","156,110","253,240","433,885","178,125","255,760","-24,535",94.3%,,,,,,,
47,重油,"479,337","229,859","249,478","503,515","242,732","260,783","-24,178",95.2%,,,,,,,
48,揮発油,"3,130",901,"2,229","1,066",823,243,"2,064",293.6%,,,,,,,
49,その他の石油,"4,505,753","50,658","4,455,095","4,495,611","42,574","4,453,037","10,142",100.2%,,,,,,,
50,LNG/液化天然ガス,125,-,125,214,-,214,-89,58.4%,,,,,,,
51,LPG/液化石油ガス,"8,310","6,605","1,705","7,816","6,734","1,082",494,106.3%,,,,,,,
52,その他石油製品,"110,535","12,973","97,562","60,259","24,585","35,674","50,276",183.4%,,,,,,,
