,,,,,,,,,(単位：トン）,,,,,,,
37,その他輸送機械,"407,124","68,020","339,104","385,366","43,921","341,445","21,758",105.6%,,,,,,,
38,産業機械,"3,303,724","1,804,182","1,499,542","3,499,198","1,943,735","1,555,463","-195,474",94.4%,,,,,,,
39,電気機械,"3,963,658","701,533","3,262,125","3,952,421","742,676","3,209,745","11,237",100.3%,,,,,,,
40,測量・光学・医療用機械,"569,910","229,044","340,866","573,296","220,321","352,975","-3,386",99.4%,,,,,,,
41,事務用機器,"195,528","29,151","166,377","181,958","34,661","147,297","13,570",107.5%,,,,,,,
42,その他機械,"36,216","11,647","24,569","37,783","11,332","26,451","-1,567",95.9%,,,,,,,
化学工業品,,"5,860,736","2,381,380","3,479,356","6,045,535","2,414,249","3,631,286","-184,799",96.9%,,,,,,,
43,陶磁器,"152,511","10,389","142,122","148,992","11,303","137,689","3,519",102.4%,,,,,,,
44,セメント,"17,303",710,"16,593","16,676","3,356","13,320",627,103.8%,,,,,,,
45,ガラス類,"267,415","85,640","181,775","291,353","89,267","202,086","-23,938",91.8%,,,,,,,
46,窯業品,"322,791","120,701","202,090","371,388","146,981","224,407","-48,597",86.9%,,,,,,,
47,重油,-,-,-,-,-,-,-,-,,,,,,,
48,揮発油,354,-,354,243,-,243,111,145.7%,,,,,,,
49,その他の石油,"48,989","30,357","18,632","42,507","22,130","20,377","6,482",115.2%,,,,,,,
50,LNG/液化天然ガス,120,-,120,194,-,194,-74,61.9%,,,,,,,
51,LPG/液化石油ガス,"1,680",-,"1,680",930,-,930,750,180.6%,,,,,,,
52,その他石油製品,"20,858","6,423","14,435","36,557","16,979","19,578","-15,699",57.1%,,,,,,,
53,コークス,"8,849",-,"8,849","11,569",-,"11,569","-2,720",76.5%,,,,,,,
54,石炭製品,"7,186","6,129","1,057","5,429","4,810",619,"1,757",132.4%,,,,,,,
55,化学薬品,"885,249","293,597","591,652","927,712","294,194","633,518","-42,463",95.4%,,,,,,,
56,化学肥料,"54,966","3,033","51,933","54,842","2,249","52,593",124,100.2%,,,,,,,
57,その他化学工業品,"4,072,465","1,824,401","2,248,064","4,137,143","1,822,980","2,314,163","-64,678",98.4%,,,,,,,
軽工業品,,"5,390,562","624,075","4,766,487","5,458,931","646,357","4,812,574","-68,369",98.7%,,,,,,,
58,紙・パルプ,"980,045","219,248","760,797","966,663","263,254","703,409","13,382",101.4%,,,,,,,
59,糸及び紡績半製品,"55,303","6,175","49,128","56,960","3,492","53,468","-1,657",97.1%,,,,,,,
60,その他繊維工業品,"352,184","55,711","296,473","379,021","59,430","319,591","-26,837",92.9%,,,,,,,
61,砂糖,"45,725",855,"44,870","53,613",370,"53,243","-7,888",85.3%,,,,,,,
62,製造食品,"2,821,619","277,757","2,543,862","2,820,154","262,856","2,557,298","1,465",100.1%,,,,,,,
63,飲料,"701,813","55,248","646,565","754,795","50,720","704,075","-52,982",93.0%,,,,,,,
64,水,"201,421","8,135","193,286","178,136","5,320","172,816","23,285",113.1%,,,,,,,
65,たばこ,"96,953",233,"96,720","77,778",218,"77,560","19,175",124.7%,,,,,,,
66,その他食料工業品,"135,499",713,"134,786","171,811",697,"171,114","-36,312",78.9%,,,,,,,
雑工業品,,"11,654,105","1,229,793","10,424,312","11,630,444","1,174,765","10,455,679","23,661",100.2%,,,,,,,
67,がん具,"646,963","30,998","615,965","699,165","22,212","676,953","-52,202",92.5%,,,,,,,
68,衣服・身廻品・はきもの,"4,914,951","167,910","4,747,041","4,862,172","158,037","4,704,135","52,779",101.1%,,,,,,,
69,文房具・運動娯楽用品・楽器,"795,763","126,502","669,261","818,096","126,831","691,265","-22,333",97.3%,,,,,,,
70,家具装備品,"2,133,474","93,195","2,040,279","2,158,475","108,807","2,049,668","-25,001",98.8%,,,,,,,
71,その他日用品,"541,603","120,788","420,815","545,552","127,908","417,644","-3,949",99.3%,,,,,,,
72,ゴム製品,"815,870","387,696","428,174","803,330","354,845","448,485","12,540",101.6%,,,,,,,
73,木製品,"1,229,770","11,866","1,217,904","1,179,405","9,623","1,169,782","50,365",104.3%,,,,,,,
74,その他製造工業品,"575,711","290,838","284,873","564,249","266,502","297,747","11,462",102.0%,,,,,,,
特殊品,,"4,485,210","2,380,988","2,104,222","4,879,038","2,700,781","2,178,257","-393,828",91.9%,,,,,,,
75,金属くず,"159,830","99,479","60,351","143,357","71,316","72,041","16,473",111.5%,,,,,,,
76,再利用資材,"1,925,132","1,883,199","41,933","2,220,569","2,173,069","47,500","-295,437",86.7%,,,,,,,
77,動植物性製造飼肥料,"1,004,214","18,814","985,400","1,052,195","23,875","1,028,320","-47,981",95.4%,,,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,,,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,,,,,,,
80,輸送用容器,"1,119,006","206,307","912,699","1,150,053","196,466","953,587","-31,047",97.3%,,,,,,,
81,取合せ品,"277,028","173,189","103,839","312,864","236,055","76,809","-35,836",88.5%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
