,,,,,,,,,,（単位：トン）
,,総計,,,輸出,,,輸入,,
,,計,前年比,構成比,計,前年比,構成比,計,前年比,構成比
総計,2019年,"48,494,019",97.3%,100.0%,"12,734,557",95.8%,100.0%,"35,759,462",97.9%,100.0%
,2018年,"49,825,795",,,"13,288,658",,,"36,537,137",,
アジア,2019年,"35,245,151",98.0%,72.7%,"8,100,655",92.7%,63.6%,"27,144,496",99.7%,75.9%
,2018年,"35,980,727",,,"8,742,466",,,"27,238,261",,
ヨーロッパ,2019年,"3,457,212",95.9%,7.1%,"1,192,000",93.1%,9.4%,"2,265,212",97.5%,6.3%
,2018年,"3,604,732",,,"1,280,989",,,"2,323,743",,
北アメリカ,2019年,"8,693,887",96.1%,17.9%,"3,229,362",107.3%,25.4%,"5,464,525",90.6%,15.3%
,2018年,"9,044,702",,,"3,010,400",,,"6,034,302",,
南アメリカ,2019年,"532,409",90.3%,1.1%,"80,054",97.9%,0.6%,"452,355",89.1%,1.3%
,2018年,"589,475",,,"81,738",,,"507,737",,
アフリカ,2019年,"77,531",63.1%,0.2%,"55,341",54.9%,0.4%,"22,190",100.5%,0.1%
,2018年,"122,924",,,"100,851",,,"22,073",,
オセアニア,2019年,"487,829",101.0%,1.0%,"77,145",106.8%,0.6%,"410,684",99.9%,1.1%
,2018年,"483,235",,,"72,214",,,"411,021",,
その他,2019年,-,-,-,-,-,-,-,-,-
,2018年,-,,,-,,,-,,
