地域階層,地域コード,国・地域(人),総数,韓国・朝鮮,中国,フィリピン,米国,英国,ブラジル,タイ,ミャンマー,インド,マレイシア,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,310536,100099,95294,26639,17982,7640,4857,4930,3721,3725,3941,41708,305260,5276
1,13100,区部,259967,84086,81382,21001,15073,6878,2908,3960,3607,3386,3459,34227,256006,3961
2,13101,千代田区,1629,366,378,57,186,92,7,22,5,55,8,453,1578,51
2,13102,中央区,1903,603,603,70,138,79,8,31,8,30,28,305,1829,74
2,13103,港区,16125,2614,1780,864,4318,1492,221,147,22,370,100,4197,15701,424
2,13104,新宿区,24661,9712,7686,841,753,422,156,469,770,128,840,2884,24149,512
2,13105,文京区,5946,2166,1993,239,263,89,43,118,67,117,104,747,5839,107
2,13106,台東区,8284,4232,1947,965,127,80,65,118,31,247,32,440,8083,201
2,13107,墨田区,6571,2142,2057,1156,64,59,37,277,32,29,32,686,6384,187
2,13108,江東区,10510,3809,4019,1215,140,63,136,208,38,170,45,667,10265,245
2,13109,品川区,8989,2403,2752,688,636,279,103,109,253,194,77,1495,8869,120
2,13110,目黒区,8148,1569,1600,614,1109,462,65,101,15,189,139,2285,8029,119
2,13111,大田区,14349,4144,4276,1800,534,264,324,302,62,273,100,2270,14195,154
2,13112,世田谷区,14340,3843,2819,918,1819,686,191,190,85,261,320,3208,14125,215
2,13113,渋谷区,10734,1760,1568,390,2365,1103,129,130,66,177,231,2815,10566,168
2,13114,中野区,10987,2991,4486,437,380,322,76,144,439,172,199,1341,10912,75
2,13115,杉並区,10611,3067,3812,557,626,323,91,125,304,95,126,1485,10519,92
2,13116,豊島区,14960,3247,7717,514,354,242,95,177,828,62,495,1229,14781,179
2,13117,北区,11507,3221,5566,796,134,118,214,106,253,83,89,927,11293,214
2,13118,荒川区,11097,7199,2435,506,68,45,34,87,29,33,18,643,10979,118
2,13119,板橋区,12952,3336,6077,1142,231,171,200,167,127,73,145,1283,12936,16
2,13120,練馬区,10852,3449,3861,827,412,189,178,185,59,174,122,1396,10765,87
2,13121,足立区,19115,9032,4802,2889,129,91,266,354,27,105,109,1311,18793,322
2,13122,葛飾区,9621,4005,2978,1243,112,75,106,145,28,75,41,813,9464,157
2,13123,江戸川区,16076,5176,6170,2273,175,132,163,248,59,274,59,1347,15952,124
1,13200,市部,49847,15850,13845,5441,2852,753,1883,948,113,334,479,7349,48521,1326
2,13201,八王子市,5788,1644,1681,819,181,77,195,46,15,29,129,972,5672,116
2,13202,立川市,2787,940,919,352,124,17,137,26,,18,12,242,2784,3
2,13203,武蔵野市,2264,517,863,106,220,78,35,35,14,39,26,331,2237,27
2,13204,三鷹市,2916,710,891,172,388,106,23,57,12,16,30,511,3003,-87
2,13205,青梅市,1207,252,189,261,59,7,123,55,1,7,6,247,1159,48
2,13206,府中市,3398,908,971,471,273,43,152,49,5,8,35,483,3403,-5
2,13207,昭島市,2012,867,479,212,49,5,85,27,2,3,6,277,1972,40
2,13208,調布市,3262,1257,979,247,148,31,49,47,11,28,38,427,3249,13
2,13209,町田市,3295,1095,1003,334,174,54,46,58,13,17,14,487,3242,53
2,13210,小金井市,1846,486,613,76,156,42,17,36,5,47,35,333,1773,73
2,13211,小平市,3169,1895,598,137,69,24,180,33,6,9,17,201,3300,-131
2,13212,日野市,1535,472,516,159,49,20,32,37,4,11,17,218,1494,41
2,13213,東村山市,1281,483,353,171,59,21,12,31,2,1,8,140,1234,47
2,13214,国分寺市,1326,458,415,72,75,33,25,19,4,12,6,207,1298,28
2,13215,国立市,1256,352,472,55,60,22,17,24,1,14,6,233,1209,47
2,13218,福生市,1966,483,290,293,166,4,83,172,,2,16,457,1950,16
2,13219,狛江市,697,175,213,119,45,13,5,17,1,6,13,90,673,24
2,13220,東大和市,725,313,105,174,22,6,22,6,1,7,3,66,724,1
2,13221,清瀬市,716,147,234,153,31,11,7,15,2,2,6,108,688,28
2,13222,東久留米市,1087,272,214,116,202,30,10,22,,25,8,188,1088,-1
2,13223,武蔵村山市,911,227,175,167,30,3,197,20,2,1,4,85,902,9
2,13224,多摩市,1602,510,534,230,60,18,27,11,1,9,10,192,1584,18
2,13225,稲城市,766,285,235,61,30,13,34,16,1,4,4,83,758,8
2,13227,羽村市,1355,195,152,211,62,4,279,29,4,7,3,409,1349,6
2,13228,あきる野市,508,173,78,64,32,2,29,17,,,1,112,511,-3
2,13229,西東京市,2172,734,673,209,88,69,62,43,6,12,26,250,1265,907
1,13550,町村部,722,163,67,197,57,9,66,22,1,5,3,132,733,-11
2,13303,瑞穂町,373,53,30,84,27,3,47,16,1,5,3,104,375,-2
2,13305,日の出町,83,23,24,10,7,1,14,-,-,-,-,4,83,-
2,13307,檜原村,11,-,-,4,6,-,-,-,-,-,-,1,14,-3
2,13308,奥多摩町,19,5,2,6,6,-,-,-,-,-,-,-,19,-
2,13361,大島町,26,7,2,3,-,-,2,2,-,-,-,10,26,-
2,13362,利島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13363,新島村,7,1,4,-,-,-,1,-,-,-,-,1,8,-1
2,13364,神津島村,5,1,-,-,-,2,-,2,-,-,-,-,3,2
2,13381,三宅村,42,14,3,18,3,-,1,-,-,-,-,3,42,-
2,13382,御蔵島村,1,-,-,-,-,-,-,-,-,-,-,-,1,-
2,13401,八丈町,140,54,1,69,5,2,1,2,-,-,-,6,147,-7
2,13402,青ケ島村,1,-,-,-,-,-,-,-,-,-,-,-,1,-
2,13421,小笠原村,14,5,1,1,3,1,-,-,-,-,-,3,14,-
,,,,,,,,,,,,,,,,
外国人登録人口_平成13年4月,,,,,,,,,,,,,,,,
第１表　区市町村別主要１０か国外国人登録人口（平成１3年4月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成１3年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）区市町村別外国人登録人口総数が３以下の場合、内訳は秘匿した。秘匿数字は｢-｣表示とした。したがって、｢-｣は該当数字なしと秘匿数字の２つの意味を持つことになる。,,,,,,,,,,,,,,,,
地域階層（0:総数1:区部・市部・町村部2:郡部・島部3:支庁4:区市町村）,,,,,,,,,,,,,,,,
