"所管","町丁目","A～S全産業 事業所数","A～S全産業 従業者数[人]","A農業，林業 事業所数","A農業，林業 従業者数[人]","B漁業 事業所数","B漁業 従業者数[人]","C鉱業，採石業，砂利採取業 事業所数","C鉱業，採石業，砂利採取業 従業者数[人]","D建設業 事業所数","D建設業 従業者数[人]","E製造業 事業所数","E製造業 従業者数[人]","F電気・ガス・熱供給・水道業　事業所数","F電気・ガス・熱供給・水道業　従業者数[人]","G情報通信業 事業所数","G情報通信業 従業者数[人]","H運輸業，郵便業 事業所数","H運輸業，郵便業 従業者数[人]","I卸売業，小売業 事業所数","I卸売業，小売業 従業者数[人]","J金融業，保険業 事業所数","J金融業，保険業 従業者数[人]","K不動産業，物品賃貸業 事業所数","K不動産業，物品賃貸業 従業者数[人]","L学術研究，専門・技術サービス業 事業所数","L学術研究，専門・技術サービス業従業者数[人]","M宿泊業，飲食サービス業　事業所数","M宿泊業，飲食サービス業　従業者数[人]","N生活関連サービス業，娯楽業 事業所数","N生活関連サービス業，娯楽業 従業者数[人]","O教育，学習支援業 事業所数","O教育，学習支援業 従業者数[人]","P医療，福祉 事業所数","P医療，福祉 従業者数[人]","Q複合サービス事業 事業所数","Q複合サービス事業 従業者数[人]","Rサービス業(他に分類されない) 事業所数","Rサービス業(他に分類されない) 従業者数[人]"
"芝地区総合支所","芝１丁目","279","5807","-","-","-","-","-","-","18","322","13","179","-","-","35","1065","32","301","65","1911","5","168","18","232","34","234","16","193","7","85","1","122","2","120","1","6","32","869"
"芝地区総合支所","芝２丁目","560","15522","1","4","-","-","-","-","22","2578","34","368","-","-","55","1602","12","281","156","4592","19","752","47","2294","45","347","51","350","19","243","5","191","19","152","-","-","75","1768"
"芝地区総合支所","芝３丁目","526","17344","-","-","-","-","-","-","19","517","29","278","-","-","63","3947","13","244","141","5166","16","1404","39","1425","53","1227","48","372","21","174","11","70","15","162","2","12","56","2346"
"芝地区総合支所","芝４丁目","377","15897","1","44","-","-","-","-","33","1682","16","206","-","-","35","2977","11","147","96","2635","15","587","26","382","47","753","31","422","13","156","1","56","10","994","1","11","41","4845"
"芝地区総合支所","芝５丁目","1050","30624","-","-","-","-","-","-","34","1251","27","1202","-","-","110","4341","26","663","166","11963","31","1298","71","1985","112","1349","237","2672","53","471","22","300","54","414","2","20","105","2695"
"芝地区総合支所","海岸１丁目","359","19515","-","-","-","-","-","-","14","531","11","334","5","3554","32","4796","21","881","65","3814","9","1162","26","160","34","1122","53","1182","17","227","5","348","13","129","1","6","53","1269"
"芝地区総合支所","東新橋１丁目","444","52402","-","-","-","-","-","-","5","149","13","1274","2","98","60","17198","23","2683","86","18780","16","163","12","69","32","7212","98","2564","19","231","7","67","22","239","2","14","47","1661"
"芝地区総合支所","東新橋２丁目","272","6742","-","-","-","-","-","-","5","238","6","61","-","-","46","959","9","239","57","1673","13","398","26","341","49","588","13","241","8","48","1","1","3","11","-","-","36","1944"
"芝地区総合支所","新橋１丁目","444","7076","1","1","-","-","-","-","1","257","6","59","1","38","14","425","11","293","77","1094","31","1026","38","227","47","563","97","1744","23","358","5","64","38","259","1","15","53","653"
"芝地区総合支所","新橋２丁目","1042","12623","-","-","-","-","-","-","8","23","9","200","-","-","36","918","20","438","185","1915","20","774","66","473","92","509","377","3475","82","630","12","55","74","1006","1","14","60","2193"
"芝地区総合支所","新橋３丁目","621","6778","-","-","-","-","-","-","12","142","13","85","-","-","35","1179","30","415","59","427","6","73","40","283","37","216","303","2236","29","681","6","125","20","107","-","-","31","809"
"芝地区総合支所","新橋４丁目","419","5100","1","16","-","-","-","-","24","284","7","31","1","2","20","832","12","74","78","1067","5","104","33","186","34","414","147","841","14","58","6","94","7","44","1","10","29","1043"
"芝地区総合支所","新橋５丁目","672","11719","-","-","-","-","1","-","42","620","37","1172","-","-","78","1773","26","1271","151","2397","21","788","46","338","71","450","59","565","35","277","6","54","25","197","-","-","74","1817"
"芝地区総合支所","新橋６丁目","427","10763","-","-","-","-","-","-","26","514","22","136","-","-","40","2665","21","217","100","2699","9","332","40","203","58","464","29","1801","12","46","2","52","14","669","-","-","54","965"
"芝地区総合支所","西新橋１丁目","1058","16323","-","-","-","-","1","162","10","53","24","354","3","4","54","1514","36","643","145","3420","37","818","120","2122","342","2436","105","718","23","368","7","30","33","321","1","17","117","3343"
"芝地区総合支所","西新橋２丁目","606","11572","-","-","-","-","-","-","19","227","22","1170","-","-","51","2341","21","486","121","2917","15","298","45","710","153","1363","53","350","20","520","4","26","17","164","-","-","65","1000"
"芝地区総合支所","西新橋３丁目","452","11823","-","-","-","-","-","-","27","828","12","130","-","-","47","975","20","1299","101","2620","14","402","25","261","77","553","33","183","16","195","6","385","16","3207","1","2","57","783"
"芝地区総合支所","三田１丁目","229","9191","-","-","-","-","-","-","9","114","13","265","-","-","29","3358","4","62","59","1446","2","65","14","196","19","292","13","270","5","45","3","21","20","2314","1","6","38","737"
"芝地区総合支所","三田２丁目","236","15745","-","-","-","-","-","-","5","41","7","27","1","12","26","414","6","125","54","468","4","31","22","136","37","241","19","701","5","49","11","12543","9","91","-","-","30","866"
"芝地区総合支所","三田３丁目","492","20292","-","-","-","-","-","-","23","1806","21","1315","-","-","53","4951","20","403","141","5182","7","450","31","255","54","1447","34","489","17","1013","9","138","16","194","1","399","65","2250"
"芝地区総合支所","浜松町１丁目","619","9305","1","5","-","-","-","-","30","340","32","483","1","38","64","1500","19","242","164","2126","5","29","39","337","69","811","66","561","17","487","8","76","30","491","-","-","74","1779"
"芝地区総合支所","浜松町２丁目","655","14201","-","-","-","-","-","-","29","593","20","713","-","-","53","1326","32","778","150","2907","15","532","35","1448","64","1333","118","1316","32","547","5","24","32","172","2","24","68","2488"
"芝地区総合支所","芝大門１丁目","505","11228","-","-","-","-","-","-","14","539","20","1469","-","-","43","2809","18","526","141","2388","8","93","37","457","63","609","58","411","14","84","3","14","18","626","1","8","67","1195"
"芝地区総合支所","芝大門２丁目","472","7675","-","-","-","-","-","-","25","585","21","214","-","-","37","1076","21","212","106","2074","8","181","46","175","53","509","77","941","16","96","6","19","16","387","2","11","38","1195"
"芝地区総合支所","芝公園１丁目","132","2722","-","-","-","-","-","-","1","21","4","118","-","-","16","196","12","277","37","1025","2","39","6","68","15","216","8","300","5","60","2","157","2","9","1","8","21","228"
"芝地区総合支所","芝公園２丁目","266","10481","-","-","-","-","-","-","18","537","17","222","3","255","17","1420","24","1148","76","3291","2","13","17","376","22","567","21","221","3","407","-","-","8","346","-","-","38","1678"
"芝地区総合支所","芝公園３丁目","156","2796","-","-","-","-","-","-","1","3","2","12","-","-","7","102","3","115","29","768","2","67","6","40","15","131","7","518","-","-","3","248","6","124","1","6","74","662"
