"年[西暦]","用途","建築物数[棟]","床面積の合計[平方メートル]"
"2017","居住専用住宅","210","184465"
"2017","居住専用準住宅","0","0"
"2017","居住産業併用建築物","43","392843"
"2017","農林水産業用建築物","0","0"
"2017","鉱工・建設業用建築物","1","74"
"2017","製造業用建築物","0","0"
"2017","電気・ガス・熱供給・水道業用建築物","1","16"
"2017","情報通信業用建築物","2","69"
"2017","運輸業用建築物","9","8313"
"2017","卸売・小売業用建築物","20","9458"
"2017","金融・保険業用建築物","0","0"
"2017","不動産業用建築物","42","552011"
"2017","飲食店、宿泊業用建築物","41","130938"
"2017","教育、学習支援業用建築物","8","984"
"2017","医療、福祉用建築物","1","68"
"2017","その他のサービス業用建築物","27","194277"
"2017","公務用建築物","7","43116"
"2017","他に分類されない建築物","42","1743"
"2017","合計","454","1518375"
"2018","居住専用住宅","166","193657"
"2018","居住専用準住宅","0","0"
"2018","居住産業併用建築物","41","153746"
"2018","農林水産業用建築物","0","0"
"2018","鉱工・建設業用建築物","1","16"
"2018","製造業用建築物","1","323"
"2018","電気・ガス・熱供給・水道業用建築物","0","0"
"2018","情報通信業用建築物","7","280"
"2018","運輸業用建築物","9","34235"
"2018","卸売・小売業用建築物","17","12851"
"2018","金融・保険業用建築物","0","0"
"2018","不動産業用建築物","23","225791"
"2018","飲食店、宿泊業用建築物","61","54616"
"2018","教育、学習支援業用建築物","11","12793"
"2018","医療、福祉用建築物","9","68217"
"2018","その他のサービス業用建築物","48","95701"
"2018","公務用建築物","6","18589"
"2018","他に分類されない建築物","1","26"
"2018","合計","401","870841"
"2019","居住専用住宅","163","138690"
"2019","居住専用準住宅","1","40"
"2019","居住産業併用建築物","38","1011304"
"2019","農林水産業用建築物","0","0"
"2019","鉱工・建設業用建築物","1","53"
"2019","製造業用建築物","1","170"
"2019","電気・ガス・熱供給・水道業用建築物","1","428"
"2019","情報通信業用建築物","1","26"
"2019","運輸業用建築物","12","25556"
"2019","卸売・小売業用建築物","20","7467"
"2019","金融・保険業用建築物","1","9653"
"2019","不動産業用建築物","24","304532"
"2019","飲食店、宿泊業用建築物","67","33352"
"2019","教育、学習支援業用建築物","12","40937"
"2019","医療、福祉用建築物","7","6313"
"2019","その他のサービス業用建築物","46","51893"
"2019","公務用建築物","3","5458"
"2019","他に分類されない建築物","0","0"
"2019","合計","398","1635872"
"2020","居住専用住宅","130","200152"
"2020","居住専用準住宅","1","1175"
"2020","居住産業併用建築物","46","72128"
"2020","農林水産業用建築物","0","0"
"2020","鉱工・建設業用建築物","1","16489"
"2020","製造業用建築物","2","20820"
"2020","電気・ガス・熱供給・水道業用建築物","0","0"
"2020","情報通信業用建築物","0","0"
"2020","運輸業用建築物","3","87"
"2020","卸売・小売業用建築物","20","15353"
"2020","金融・保険業用建築物","0","0"
"2020","不動産業用建築物","36","642798"
"2020","飲食店、宿泊業用建築物","20","49692"
"2020","教育、学習支援業用建築物","4","21664"
"2020","医療、福祉用建築物","3","2660"
"2020","その他のサービス業用建築物","74","13292"
"2020","公務用建築物","5","547"
"2020","他に分類されない建築物","3","600"
"2020","合計","348","1057457"
"2021","居住専用住宅","180","273098"
"2021","居住専用準住宅","4","817"
"2021","居住産業併用建築物","28","260960"
"2021","農林水産業用建築物","0","0"
"2021","鉱工・建設業用建築物","2","411"
"2021","製造業用建築物","3","5046"
"2021","電気・ガス・熱供給・水道業用建築物","1","41"
"2021","情報通信業用建築物","8","5253"
"2021","運輸業用建築物","9","1553"
"2021","卸売・小売業用建築物","10","14174"
"2021","金融・保険業用建築物","0","0"
"2021","不動産業用建築物","43","1533611"
"2021","飲食店、宿泊業用建築物","26","27757"
"2021","教育、学習支援業用建築物","3","27375"
"2021","医療、福祉用建築物","4","4830"
"2021","その他のサービス業用建築物","22","12270"
"2021","公務用建築物","14","17197"
"2021","他に分類されない建築物","3","4829"
"2021","合計","360","2189222"

"令和5年度港区行政資料集　用途分類項目別建築物数","Ver202303",,
