階層コード,地域コード,地域,人口総数／平成15年1月１日,人口総数／平成14年12月１日,人口総数／平成14年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12340432,12339082,12238627,1350,0.01,101805,0.83
1,13100,区部,8369438,8368770,8300059,668,0.01,69379,0.84
1,13200,市部,3878610,3877978,3845894,632,0.02,32716,0.85
1,13300,郡部,61481,61438,61451,43,0.07,30,0.05
1,13350,島部,30903,30896,31223,7,0.02,-320,-1.02
,,,,,,,,,
住民基本台帳による世帯と人口_平成15年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
