階層コード,地域コード,地域,人口総数／平成15年７月１日,人口総数／平成15年６月１日,人口総数／平成14年７月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12407536,12402244,12314093,5292,0.04,93443,0.76
1,13100,区部,8414360,8410849,8352821,3511,0.04,61539,0.74
1,13200,市部,3901421,3899654,3869002,1767,0.05,32419,0.84
1,13300,郡部,61259,61226,61337,33,0.05,-78,-0.13
1,13350,島部,30496,30515,30933,-19,-0.06,-437,-1.41
,,,,,,,,,
住民基本台帳による世帯と人口_平成15年７月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
