"年度","区・財団関係 件数[件]","区・財団関係 人数[人]","社会教育関係団体 件数[件]","社会教育関係団体 人数[人]","その他団体 件数[件]","その他団体 人数[人]","合計 件数[件]","合計 人数[人]"
"2015","749","16470","4087","45594","4473","36649","9309","98713"
"2016","734","18651","3838","41287","4549","38058","9121","97996"
"2017","901","21072","3896","42632","4491","37508","9288","101212"
"2018","950","20700","3608","40243","4613","40572","9171","101515"
"2019","1086","19077","3635","39086","4617","38436","9338","96599"

"令和2年度港区行政資料集　施設利用状況一覧 生涯学習センター","Ver202003",,,,,,,
