 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,29,256,29,256,
,総トン数,,"366,444","3,234,816","366,444","3,234,816",
取扱貨物,計,計,"840,150","7,209,455","840,150","7,209,455",
,,出荷,"428,205","3,691,490","428,205","3,691,490",
,,入荷,"411,945","3,517,965","411,945","3,517,965",
取　扱　台　数,バ　ス,計,5,55,5,55,
,,出荷,2,9,2,9,
,,入荷,3,46,3,46,
,トラック,計,"7,631","65,601","7,631","65,601",
,,出荷,"3,929","33,917","3,929","33,917",
,,入荷,"3,702","31,684","3,702","31,684",
,乗用車,計,"4,174","33,306","4,174","33,306",
,,出荷,"2,254","18,263","2,254","18,263",
,,入荷,"1,920","15,043","1,920","15,043",
乗降人員,計,,"1,620","13,979","1,620","13,979",
,乗船,,923,"7,455",923,"7,455",
,降船,,697,"6,524",697,"6,524",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
