（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"882,659",81.4%,"8,216,164",91.6%,100.0%
1,中国,"236,380",94.6%,"1,976,629",87.8%,24.1%
,(香港),"35,726",88.9%,"308,420",100.1%,3.8%
2,アメリカ,"204,971",67.7%,"1,860,981",80.7%,22.7%
3,ベトナム,"59,742",99.2%,"738,064",142.3%,9.0%
4,タイ,"49,184",80.9%,"565,079",94.4%,6.9%
5,台湾,"58,175",106.0%,"532,722",126.7%,6.5%
6,オランダ,"34,823",69.5%,"332,010",89.3%,4.0%
7,韓国,"30,406",110.8%,"283,600",85.9%,3.5%
8,マレーシア,"25,530",67.9%,"280,756",89.9%,3.4%
9,インドネシア,"18,350",40.1%,"252,090",81.4%,3.1%
10,インド,"41,064",118.1%,"234,334",84.8%,2.9%
11,ドイツ,"19,115",75.2%,"186,291",102.5%,2.3%
12,シンガポール,"15,894",75.7%,"161,985",99.0%,2.0%
13,フィリピン,"13,722",64.8%,"124,627",73.7%,1.5%
14,カナダ,"9,198",91.7%,"94,358",96.8%,1.1%
15,イギリス,"11,534",75.3%,"87,099",77.9%,1.1%
16,ロシア,"5,785",101.3%,"58,172",82.1%,0.7%
17,ブラジル,"5,273",88.7%,"45,059",88.7%,0.5%
18,オーストラリア,"4,881",90.5%,"44,114",119.1%,0.5%
19,フランス,"3,337",64.9%,"38,880",90.0%,0.5%
20,アラブ首長国,"3,683",56.2%,"36,879",71.8%,0.4%
,その他,"31,612",82.3%,"282,435",94.8%,3.4%
,,,,,,
（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,797,998",95.9%,"24,855,491",95.9%,100.0%
1,中国,"1,301,669",105.0%,"10,738,377",96.6%,43.2%
,(香港),"99,681",74.9%,"993,870",82.0%,4.0%
2,アメリカ,"304,022",98.0%,"2,897,078",98.1%,11.7%
3,ベトナム,"177,739",88.6%,"1,572,130",96.6%,6.3%
4,タイ,"149,893",80.5%,"1,553,008",90.3%,6.2%
5,台湾,"128,392",93.9%,"1,149,876",95.4%,4.6%
6,韓国,"108,237",104.5%,"1,006,038",100.2%,4.0%
7,カナダ,"84,610",87.1%,"864,329",94.9%,3.5%
8,シンガポール,"114,821",87.8%,"850,494",94.9%,3.4%
9,マレーシア,"96,578",113.2%,"797,948",105.6%,3.2%
10,インドネシア,"54,672",70.9%,"583,993",87.2%,2.3%
11,オランダ,"41,550",101.8%,"418,546",116.4%,1.7%
12,ドイツ,"37,831",71.9%,"404,105",97.0%,1.6%
13,フィリピン,"45,261",108.1%,"326,222",77.7%,1.3%
14,フランス,"21,477",67.6%,"195,930",79.0%,0.8%
15,ニュージーランド,"9,476",65.0%,"160,496",91.8%,0.6%
16,イタリア,"15,443",78.6%,"155,257",113.9%,0.6%
17,チリ,"1,136",4.8%,"125,593",56.2%,0.5%
18,ブラジル,"8,532",58.4%,"112,492",110.9%,0.5%
19,イギリス,"4,434",28.8%,"94,738",75.3%,0.4%
20,フィンランド,"11,847",196.1%,"88,125",159.5%,0.4%
,その他,"80,378",91.0%,"760,716",94.8%,3.1%
