 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,741","13,447,496","15,645","125,605,753",682,"11,741,401","6,175","109,693,258"
外航計,399,"9,902,498","3,714","93,316,005",381,"9,720,158","3,532","90,976,595"
外航定期計,384,"9,750,260","3,547","91,191,164",381,"9,720,158","3,532","90,976,595"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),29,"2,154,073",276,"19,683,675",29,"2,154,073",272,"19,628,978"
北米東岸(カリビア海含む),8,"801,652",88,"7,597,418",8,"801,652",88,"7,597,418"
北欧・地中海,11,"1,093,888",95,"9,158,583",11,"1,093,888",94,"9,151,581"
南米西岸,-,-,15,"1,881,070",-,-,15,"1,881,070"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"147,569",39,"1,669,763",3,"136,765",36,"1,639,008"
印パ･ペルシャ･ベンガル,-,-,1,"7,487",-,-,-,-
東南アジア,137,"3,430,268","1,269","32,019,783",135,"3,410,970","1,265","31,981,279"
台湾,-,-,-,-,-,-,-,-
韓国,35,"307,507",355,"3,093,013",35,"307,507",355,"3,093,013"
中国(香港含む),160,"1,815,303","1,409","16,080,372",160,"1,815,303","1,407","16,004,248"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,15,"152,238",167,"2,124,841",-,-,-,-
内航計,"1,342","3,544,998","11,931","32,289,748",301,"2,021,243","2,643","18,716,663"
内航定期計,479,"2,549,425","4,478","24,256,515",279,"1,999,965","2,452","18,559,429"
北海道,105,"1,177,677",932,"10,293,503",105,"1,177,677",932,"10,293,503"
東北,70,"49,180",550,"471,030",70,"49,180",550,"471,030"
関東,59,"22,850",647,"228,963",2,"4,928",7,"13,567"
伊豆諸島,114,"165,094","1,130","2,246,874",-,-,-,-
中部,20,"12,972",163,"113,275",20,"12,972",163,"113,275"
近畿,10,"7,490",111,"289,367",10,"7,490",111,"289,367"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,84,"932,455",735,"8,396,514",55,"566,011",479,"5,161,698"
沖縄,17,"181,707",210,"2,216,989",17,"181,707",210,"2,216,989"
内航不定期,863,"995,573","7,453","8,033,233",22,"21,278",191,"157,234"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
