 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,661,999","59,491,113","932,116","8,660,678","882,659","8,216,164","2,858,658","25,732,307","2,797,998","24,855,491","1,181,708","10,460,016","1,689,517","14,638,112"
農水産品,,"400,635","4,047,428","16,177","232,522","16,177","232,515","344,151","3,560,857","295,656","2,928,305","15,982","116,846","24,325","137,203"
1,麦,"15,165","250,505",-,3,-,3,"4,411","181,609","1,815","17,720",240,"3,724","10,514","65,169"
2,米,"6,107","67,106",157,"3,171",157,"3,171",690,"20,505",690,"20,505","2,840","29,680","2,420","13,750"
3,とうもろこし,555,"6,660",-,75,-,75,555,"6,585",555,"6,585",-,-,-,-
4,豆類,"6,761","105,190",56,126,56,126,"4,975","92,389","4,975","92,389","1,345","9,555",385,"3,120"
5,その他雑穀,160,"4,430",-,-,-,-,90,"3,245",90,"3,245",10,925,60,260
6,野菜・果物,"136,882","1,333,480","2,645","18,727","2,645","18,720","123,545","1,244,215","77,646","775,557","4,367","37,742","6,325","32,796"
7,綿花,30,605,-,63,-,63,30,542,30,542,-,-,-,-
8,その他農産品,"21,596","204,999","1,203","9,228","1,203","9,228","19,307","190,762","19,307","190,757","1,086","4,909",-,100
9,羊毛,30,396,-,-,-,-,15,381,15,381,15,15,-,-
10,その他畜産品,"140,293","1,311,692","2,940","27,576","2,940","27,576","135,957","1,272,368","135,957","1,272,368","1,186","8,288",210,"3,460"
11,水産品,"73,056","762,365","9,176","173,553","9,176","173,553","54,576","548,256","54,576","548,256","4,893","22,008","4,411","18,548"
林産品,,"66,867","827,321","1,524","14,059","1,524","14,059","61,405","745,151","61,405","716,238","2,709","54,624","1,229","13,487"
12,原木,264,"4,352",-,"1,241",-,"1,241",264,"2,287",264,"2,287",-,734,-,90
13,製材,"59,609","714,394","1,501","12,404","1,501","12,404","55,221","651,048","55,221","622,135","2,059","43,029",828,"7,913"
14,樹脂類,"3,026","54,310",16,257,16,257,"2,250","46,843","2,250","46,843",575,"5,015",185,"2,195"
15,木材チップ,940,"9,261",6,69,6,69,810,"8,156",810,"8,156",-,-,124,"1,036"
16,その他林産品,333,"9,174",1,5,1,5,165,"1,200",165,"1,200",75,"5,756",92,"2,213"
17,薪炭,"2,695","35,830",-,83,-,83,"2,695","35,617","2,695","35,617",-,90,-,40
鉱産品,,"404,033","3,219,053","2,349","23,118","2,349","23,118","20,112","314,710","20,112","207,653","3,974","62,536","377,598","2,818,689"
18,石炭,"7,920","117,050",-,-,-,-,"3,517","95,565","3,517","36,413",-,"5,964","4,403","15,521"
19,鉄鉱石,-,"2,420",-,30,-,30,-,"2,390",-,890,-,-,-,-
20,金属鉱,135,"3,205",-,-,-,-,120,"2,850",120,"2,850",15,355,-,-
21,砂利・砂,"279,627","2,120,183",49,440,49,440,"1,170","14,681","1,170","14,681","2,084","15,756","276,324","2,089,306"
22,石材,"75,904","564,358",311,"2,948",311,"2,948","6,743","63,195","6,743","63,195",110,"6,920","68,740","491,295"
23,原油,160,"1,764",-,3,-,3,160,"1,761",160,"1,761",-,-,-,-
24,りん鉱石,-,14,-,-,-,-,-,14,-,14,-,-,-,-
25,石灰石,"17,434","144,287",-,-,-,-,-,96,-,96,50,420,"17,384","143,771"
26,原塩,957,"8,855",3,17,3,17,934,"8,618",934,"8,618",-,-,20,220
27,非金属鉱物,"21,896","256,917","1,986","19,680","1,986","19,680","7,468","125,540","7,468","79,135","1,715","33,121","10,727","78,576"
金属機械工業品,,"2,220,600","19,652,380","343,221","3,175,340","338,189","3,150,772","653,396","5,952,660","649,145","5,903,287","642,191","5,567,635","581,792","4,956,745"
28,鉄鋼,"4,211","52,636","1,336","18,409","1,336","12,304","2,010","30,502","2,010","21,502",325,"1,630",540,"2,095"
29,鋼材,"83,771","881,970","17,845","157,337","14,848","151,313","9,743","89,598","6,985","72,515","2,807","18,679","53,376","616,356"
