 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"284,053","109,552","2,504,653","1,004,618","80,438","105,487","733,799","978,586","203,615","4,065","1,770,854","26,032"
,91.5%,89.6%,93.7%,95.5%,82.8%,87.7%,93.3%,95.1%,95.5%,200.9%,93.8%,113.5%
外航計,"261,242","84,967","2,308,108","868,240","69,960","82,984","631,335","858,521","191,282","1,983","1,676,773","9,719"
,90.8%,82.0%,93.5%,97.0%,81.1%,80.7%,91.6%,96.6%,95.0%,265.1%,94.3%,154.3%
外航定期計,"261,242","84,967","2,308,108","868,240","69,960","82,984","631,335","858,521","191,282","1,983","1,676,773","9,719"
,90.8%,82.0%,93.5%,97.0%,81.1%,80.7%,91.6%,96.6%,95.0%,265.1%,94.3%,154.3%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"23,313","9,371","228,830","121,915","7,452","8,469","41,092","117,711","15,861",902,"187,738","4,204"
,71.3%,63.2%,72.6%,96.8%,82.5%,58.7%,42.7%,95.0%,67.0%,225.5%,85.8%,207.3%
北米東岸(カリビア海含む),"7,119","1,567","71,014","20,119","2,971","1,560","30,360","19,839","4,148",7,"40,654",280
,76.6%,67.0%,82.7%,94.3%,63.8%,67.1%,75.7%,93.7%,89.5%,46.7%,88.9%,185.4%
北欧・地中海,"31,387","3,483","273,922","30,118","14,916","2,832","150,561","28,229","16,471",651,"123,361","1,889"
,90.1%,143.3%,127.4%,138.0%,72.0%,118.5%,127.2%,131.4%,116.9%,1587.8%,127.5%,549.1%
南米西岸,-,-,"12,093","7,611",-,-,"1,513","7,267",-,-,"10,580",344
,-,-,46.3%,42.0%,-,-,43.5%,40.8%,-,-,46.8%,107.5%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
