 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,661,999","2,113,824","4,548,175","59,491,113","19,120,694","40,370,419","4,639,908","1,435,244","3,204,664","41,330,805","13,035,786","28,295,019"
外航計,"3,790,774","932,116","2,858,658","34,392,985","8,660,678","25,732,307","3,694,563","884,956","2,809,607","33,364,349","8,230,549","25,133,800"
外航定期計,"3,721,082","885,091","2,835,991","33,484,048","8,237,186","25,246,862","3,694,563","884,956","2,809,607","33,364,349","8,230,549","25,133,800"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"319,721","84,618","235,103","3,461,213","543,113","2,918,100","319,721","84,618","235,103","3,422,451","542,829","2,879,622"
北米東岸(カリビア海含む),"93,745","33,159","60,586","965,401","369,483","595,918","93,745","33,159","60,586","965,401","369,483","595,918"
北欧・地中海,"423,661","182,980","240,681","3,744,048","1,924,528","1,819,520","423,661","182,980","240,681","3,743,617","1,924,097","1,819,520"
南米西岸,-,-,-,"168,792","13,801","154,991",-,-,-,"168,792","13,801","154,991"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"22,876","3,132","19,744","213,224","26,435","186,789","11,774","3,132","8,642","182,055","26,435","155,620"
印パ･ペルシャ･ベンガル,-,-,-,"5,250","5,250",-,-,-,-,-,-,-
東南アジア,"1,587,531","396,751","1,190,780","14,732,600","3,790,374","10,942,226","1,572,114","396,616","1,175,498","14,702,150","3,789,937","10,912,213"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"133,677","35,079","98,598","1,158,170","267,247","890,923","133,677","35,079","98,598","1,158,170","267,247","890,923"
中国(香港含む),"1,139,871","149,372","990,499","9,035,350","1,296,955","7,738,395","1,139,871","149,372","990,499","9,021,713","1,296,720","7,724,993"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"69,692","47,025","22,667","908,937","423,492","485,445",-,-,-,-,-,-
内航計,"2,871,225","1,181,708","1,689,517","25,098,128","10,460,016","14,638,112","945,345","550,288","395,057","7,966,456","4,805,237","3,161,219"
内航定期計,"1,798,309","975,527","822,782","15,464,545","8,572,301","6,892,244","921,245","529,360","391,885","7,824,964","4,685,114","3,139,850"
北海道,"310,036","164,970","145,066","2,496,296","1,383,554","1,112,742","310,036","164,970","145,066","2,496,296","1,383,554","1,112,742"
東北,"48,535","22,872","25,663","374,698","205,877","168,821","48,535","22,872","25,663","374,698","205,877","168,821"
関東,"34,495","15,447","19,048","383,949","164,407","219,542","1,061",-,"1,061","3,817","2,756","1,061"
伊豆諸島,"3,480","2,515",965,"49,994","34,046","15,948",-,-,-,-,-,-
中部,"14,391","4,067","10,324","108,789","23,287","85,502","14,391","4,067","10,324","108,789","23,287","85,502"
近畿,"7,694","1,451","6,243","107,798","54,772","53,026","7,694","1,451","6,243","107,798","54,772","53,026"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,284,289","694,324","589,965","10,940,124","5,975,838","4,964,286","444,139","266,119","178,020","3,730,669","2,284,348","1,446,321"
沖縄,"95,389","69,881","25,508","1,002,897","730,520","272,377","95,389","69,881","25,508","1,002,897","730,520","272,377"
内航不定期,"1,072,916","206,181","866,735","9,633,583","1,887,715","7,745,868","24,100","20,928","3,172","141,492","120,123","21,369"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
