 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,661,999","59,491,113","3,790,774","932,116","2,858,658","34,392,985","8,660,678","25,732,307","2,871,225","1,181,708","1,689,517","25,098,128","10,460,016","14,638,112"
公共計,"3,093,654","27,391,475","981,462","195,219","786,243","9,173,193","1,667,257","7,505,936","2,112,192","1,091,263","1,020,929","18,218,282","9,658,498","8,559,784"
ドルフィン,"6,884","61,773",-,-,-,-,-,-,"6,884","6,884",-,"61,773","61,773",-
芝浦ふ頭,"62,756","509,939",-,-,-,-,-,-,"62,756","1,738","61,018","509,939","13,376","496,563"
芝浦物揚場,"6,379","66,476",-,-,-,-,-,-,"6,379","4,791","1,588","66,476","44,858","21,618"
日の出ふ頭,"2,880","25,655",-,-,-,-,-,-,"2,880",-,"2,880","25,655",-,"25,655"
竹芝ふ頭,"6,967","62,333",-,-,-,-,-,-,"6,967","4,727","2,240","62,333","41,985","20,348"
品川岸壁,"518,223","4,513,761","312,633","63,316","249,317","2,839,685","520,666","2,319,019","205,590","114,212","91,378","1,674,076","984,002","690,074"
 品川コンテナ,"305,266","2,765,970","305,266","62,201","243,065","2,760,984","508,731","2,252,253",-,-,-,"4,986","2,466","2,520"
 品川外貿,"7,367","78,701","7,367","1,115","6,252","78,701","11,935","66,766",-,-,-,-,-,-
 品川内貿,"205,590","1,669,090",-,-,-,-,-,-,"205,590","114,212","91,378","1,669,090","981,536","687,554"
月島ふ頭,171,"14,189",-,-,-,-,-,-,171,171,-,"14,189","6,565","7,624"
10号西岸壁,"483,827","4,209,560",-,-,-,-,-,-,"483,827","301,615","182,212","4,209,560","2,661,474","1,548,086"
10号東岸壁,"29,824","256,137",-,-,-,-,-,-,"29,824","1,106","28,718","256,137","2,063","254,074"
東京港フェリーふ頭,"840,150","7,209,455",-,-,-,-,-,-,"840,150","428,205","411,945","7,209,455","3,691,490","3,517,965"
辰巳ふ頭,"28,285","260,347",-,-,-,-,-,-,"28,285","13,241","15,044","260,347","115,470","144,877"
青海コンテナふ頭（公共）,"672,525","6,052,947","656,706","131,903","524,803","5,908,639","1,146,591","4,762,048","15,819","10,931","4,888","144,308","108,630","35,678"
大井水産物ふ頭,-,146,-,-,-,-,-,-,-,-,-,146,50,96
大井食品ふ頭（OL）,"12,910","227,713","2,596",-,"2,596","163,889",-,"163,889","10,314",-,"10,314","63,824",-,"63,824"
大井食品ふ頭（OM）,"8,909","78,713","8,909",-,"8,909","78,713",-,"78,713",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"11,493",-,-,-,"10,843",-,"10,843",-,-,-,650,650,-
若洲内貿ふ頭,"34,664","450,283",-,-,-,-,-,-,"34,664","26,622","8,042","450,283","328,756","121,527"
15号地木材ふ頭,-,"31,503",-,-,-,"26,963",-,"26,963",-,-,-,"4,540","3,518","1,022"
若洲建材ふ頭,"47,189","437,564",-,-,-,-,-,-,"47,189","1,500","45,689","437,564","38,892","398,672"
大井建材ふ頭,"110,362","848,962",-,-,-,-,-,-,"110,362",-,"110,362","848,962",600,"848,362"
城南島建設発生土ふ頭,"100,720","1,000,480",-,-,-,-,-,-,"100,720","100,720",-,"1,000,480","1,000,480",-
中央防波堤内側ばら物ふ頭,"5,021","182,025",618,-,618,"144,461",-,"144,461","4,403",-,"4,403","37,564","14,854","22,710"
中央防波堤内側建設発生土ふ頭,"29,550","163,075",-,-,-,-,-,-,"29,550","29,550",-,"163,075","163,075",-
中央防波堤内側内貿ふ頭,"85,458","716,946",-,-,-,-,-,-,"85,458","45,250","40,208","716,946","375,937","341,009"
東京港埠頭㈱計,"2,357,826","22,230,189","2,232,215","652,456","1,579,759","21,362,385","6,356,381","15,006,004","125,611","51,252","74,359","867,804","402,932","464,872"
青海コンテナふ頭(埠頭㈱),"235,993","3,249,516","233,498","51,640","181,858","3,166,178","694,225","2,471,953","2,495","2,495",-,"83,338","82,918",420
お台場ライナーふ頭,"76,360","549,718","57,569","47,025","10,544","493,822","429,408","64,414","18,791","6,026","12,765","55,896","18,673","37,223"
大井コンテナふ頭,"2,045,473","18,430,955","1,941,148","553,791","1,387,357","17,702,385","5,232,748","12,469,637","104,325","42,731","61,594","728,570","301,341","427,229"
民間計,"1,210,519","9,869,449","577,097","84,441","492,656","3,857,407","637,040","3,220,367","633,422","39,193","594,229","6,012,042","398,586","5,613,456"
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
