"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","議会費","701848","0.4","711758","0.4"
"2022","総務費","24330113","15.3","29503226","16.6"
"2022","環境清掃費","6887567","4.3","6877691","3.9"
"2022","民生費","57881465","36.3","65444502","36.9"
"2022","衛生費","7179082","4.5","11339764","6.4"
"2022","産業経済費","4090020","2.6","5470514","3.1"
"2022","土木費","19805509","12.4","18437397","10.4"
"2022","教育費","29499649","18.5","30708373","17.3"
"2022","公債費","121572","0.1","121572","0.1"
"2022","諸支出金","7803175","4.9","7325319","4.1"
"2022","予備費","1000000","0.6","1500000","0.8"
"2022","歳出合計","159300000","100.0","177440116","100.0"
"2023","議会費","708862","0.4",,
"2023","総務費","27686295","17.0",,
"2023","環境清掃費","6791017","4.2",,
"2023","民生費","63369164","38.8",,
"2023","衛生費","7453818","4.6",,
"2023","産業経済費","3507209","2.1",,
"2023","土木費","20665514","12.7",,
"2023","教育費","23717496","14.5",,
"2023","公債費","33556","0.0",,
"2023","諸支出金","8337069","5.1",,
"2023","予備費","1000000","0.6",,
"2023","歳出合計","163270000","100.0",,

"令和5年度港区行政資料集　 一般会計歳出予算（款別）","Ver202303",,,,
