区分,年齢,平成14年,平成15年,平成16年,平成17年,平成18年
全国,０歳児,第４位,第５位,第５位,第３位,第５位
全国,１～４歳児,第１位,第１位,第１位,第１位,第１位
東京,０歳児,第５位,第４位,第６位,第３位,第７位
東京,１～４歳児,第２位,第２位,第３位,第３位,第１位
