乳児用,幼児用,学童用
新生児から１歳くらい,1歳から４歳くらい,4歳から10歳くらい
体重10kg未満,9kg～18kg以下,15kg～36kg以下
乳児期は首がすわっていないため、寝かせる姿勢で乗せる,幼児の首がすわり、自分で座れることが、使い始めの目安,おしりの位置を高くすることで、大人用のシートベルトが正しい位置に掛けられるようにする。
