年齢（歳）,回答数,気をつければ防止可能とした回答数,割合（％）
0,75,67,89.3
1,140,109,77.9
2,123,91,74.0
３～４歳,129,78,60.5
５～６歳,24,14,58.3
不明,4,3,75.0
総数,495,362,73.1
