区分,年,総死亡数,不慮の事故による死亡数,不慮の事故の内訳／交通事故,不慮の事故の内訳／転倒・転落,不慮の事故の内訳／不慮の溺死及び溺水,不慮の事故の内訳／不慮の窒息,不慮の事故の内訳／煙、火及び火災への曝露,不慮の事故の内訳／有害物質による不慮の中毒及び有,不慮の事故の内訳／その他の不慮の事故
全国,9,6103,700,170,51,146,245,45,1,42
全国,10,6088,710,175,44,136,256,50,2,47
全国,11,5567,566,127,53,120,194,34,2,36
全国,12,5269,525,120,48,84,209,31,0,33
全国,13,4936,543,149,38,97,195,33,4,27
全国,14,4746,460,117,41,100,161,24,2,15
全国,15,4518,382,104,27,45,156,26,1,23
全国,16,4281,427,120,31,76,155,31,0,14
全国,17,4102,410,82,28,65,172,43,1,19
全国,18,3940,356,80,18,60,148,23,3,24
東京,9,518,36,5,7,6,14,3,0,1
東京,10,473,32,8,5,3,14,1,0,1
東京,11,439,30,5,7,2,15,0,0,1
東京,12,451,33,4,5,3,17,1,0,3
東京,13,406,36,10,4,3,15,1,1,2
東京,14,392,20,5,3,2,8,2,0,0
東京,15,384,30,8,1,5,15,0,0,1
東京,16,341,18,4,2,1,11,0,0,0
東京,17,358,29,1,1,5,17,2,0,3
東京,18,389,26,3,5,6,9,1,1,1
